4:26:001:1	The Second Registration of Israel 's Troops
4:26:025:0	These were the clans of Issachar . Their registered troops numbered 64,300 .
4:26:026:0	These were the clans descended from the sons of Zebulun : The Seredite clan , named after their ancestor Sered.The Elonite clan , named after their ancestor Elon.The Jahleelite clan , named after their ancestor Jahleel .
4:26:008:1	The Tribe of Manasseh
4:26:027:0	These were the clans of Zebulun . Their registered troops numbered 60,500 .
4:26:028:0	Two clans were descended from Joseph through Manasseh and Ephraim .
4:26:029:0	These were the clans descended from Manasseh : The Makirite clan , named after their ancestor Makir.The Gileadite clan , named after their ancestor Gilead , Makir 's son .
4:26:030:0	These were the subclans descended from the Gileadites : The Iezerites , named after their ancestor Iezer.The Helekites , named after their ancestor Helek .
4:26:031:0	The Asrielites , named after their ancestor Asriel.The Shechemites , named after their ancestor Shechem .
4:26:032:0	The Shemidaites , named after their ancestor Shemida.The Hepherites , named after their ancestor Hepher .
4:26:033:0	( One of Hepher 's descendants , Zelophehad , had no sons , but his daughters ' names were Mahlah , Noah , Hoglah , Milcah , and Tirzah . )
4:26:009:1	The Tribe of Ephraim
4:26:034:0	These were the clans of Manasseh . Their registered troops numbered 52,700 .
4:26:035:0	These were the clans descended from the sons of Ephraim : The Shuthelahite clan , named after their ancestor Shuthelah.The Bekerite clan , named after their ancestor Beker.The Tahanite clan , named after their ancestor Tahan .
4:26:036:0	This was the subclan descended from the Shuthelahites : The Eranites , named after their ancestor Eran .
4:26:010:1	The Tribe of Benjamin
4:26:037:0	These were the clans of Ephraim . Their registered troops numbered 32,500.These clans of Manasseh and Ephraim were all descendants of Joseph .
4:26:038:0	These were the clans descended from the sons of Benjamin : The Belaite clan , named after their ancestor Bela.The Ashbelite clan , named after their ancestor Ashbel.The Ahiramite clan , named after their ancestor Ahiram .
4:26:039:0	The Shuphamite clan , named after their ancestor Shupham.The Huphamite clan , named after their ancestor Hupham .
4:26:040:0	These were the subclans descended from the Belaites : The Ardites , named after their ancestor Ard.The Naamites , named after their ancestor Naaman .
4:26:011:1	The Tribe of Dan
4:26:041:0	These were the clans of Benjamin . Their registered troops numbered 45,600 .
4:26:042:0	These were the clans descended from the sons of Dan : The Shuhamite clan , named after their ancestor Shuham .
4:26:012:1	The Tribe of Asher
4:26:043:0	These were the Shuhamite clans of Dan . Their registered troops numbered 64,400 .
4:26:044:0	These were the clans descended from the sons of Asher : The Imnite clan , named after their ancestor Imnah.The Ishvite clan , named after their ancestor Ishvi.The Beriite clan , named after their ancestor Beriah .
4:26:045:0	These were the subclans descended from the Beriites : The Heberites , named after their ancestor Heber.The Malkielites , named after their ancestor Malkiel .
4:26:046:0	Asher also had a daughter named Serah .
4:26:013:1	The Tribe of Naphtali
4:26:047:0	These were the clans of Asher . Their registered troops numbered 53,400 .
4:26:048:0	These were the clans descended from the sons of Naphtali : The Jahzeelite clan , named after their ancestor Jahzeel.The Gunite clan , named after their ancestor Guni .
4:26:049:0	The Jezerite clan , named after their ancestor Jezer.The Shillemite clan , named after their ancestor Shillem .
4:26:014:1	Results of the Registration
4:26:050:0	These were the clans of Naphtali . Their registered troops numbered 45,400 .
4:26:051:0	In summary , the registered troops of all Israel numbered 601,730 .
4:26:052:0	Then the Lord said to Moses ,
4:26:053:0	“ Divide the land among the tribes , and distribute the grants of land in proportion to the tribes ' populations , as indicated by the number of names on the list .
4:26:054:0	Give the larger tribes more land and the smaller tribes less land , each group receiving a grant in proportion to the size of its population .
4:26:055:0	But you must assign the land by lot , and give land to each ancestral tribe according to the number of names on the list .
4:26:015:1	The Tribe of Levi
4:26:056:0	Each grant of land must be assigned by lot among the larger and smaller tribal groups . ”
4:26:057:0	This is the record of the Levites who were counted according to their clans : The Gershonite clan , named after their ancestor Gershon.The Kohathite clan , named after their ancestor Kohath.The Merarite clan , named after their ancestor Merari .
4:26:058:0	The Libnites , the Hebronites , the Mahlites , the Mushites , and the Korahites were all subclans of the Levites.Now Kohath was the ancestor of Amram ,
4:26:059:0	and Amram 's wife was named Jochebed . She also was a descendant of Levi , born among the Levites in the land of Egypt . Amram and Jochebed became the parents of Aaron , Moses , and their sister , Miriam .
4:26:060:0	To Aaron were born Nadab , Abihu , Eleazar , and Ithamar .
4:26:061:0	But Nadab and Abihu died when they burned before the Lord the wrong kind of fire , different than he had commanded .
4:26:062:0	The men from the Levite clans who were one month old or older numbered 23,000 . But the Levites were not included in the registration of the rest of the people of Israel because they were not given an allotment of land when it was divided among the Israelites .
4:26:063:0	So these are the results of the registration of the people of Israel as conducted by Moses and Eleazar the priest on the plains of Moab beside the Jordan River , across from Jericho .
4:26:064:0	Not one person on this list had been among those listed in the previous registration taken by Moses and Aaron in the wilderness of Sinai .
4:26:065:0	For the Lord had said of them , “ They will all die in the wilderness. ” Not one of them survived except Caleb son of Jephunneh and Joshua son of Nun .
