4:7:001:1	Offerings of Dedication
4:7:062:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:063:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:064:0	and a male goat for a sin offering .
4:7:065:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Abidan son of Gideoni .
4:7:066:0	On the tenth day Ahiezer son of Ammishaddai , leader of the tribe of Dan , presented his offering .
4:7:067:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:068:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:069:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:070:0	and a male goat for a sin offering .
4:7:071:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Ahiezer son of Ammishaddai .
4:7:072:0	On the eleventh day Pagiel son of Ocran , leader of the tribe of Asher , presented his offering .
4:7:073:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:074:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:075:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:076:0	and a male goat for a sin offering .
4:7:077:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Pagiel son of Ocran .
4:7:078:0	On the twelfth day Ahira son of Enan , leader of the tribe of Naphtali , presented his offering .
4:7:079:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:080:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:081:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:082:0	and a male goat for a sin offering .
4:7:083:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Ahira son of Enan .
4:7:084:0	So this was the dedication offering brought by the leaders of Israel at the time the altar was anointed : twelve silver platters , twelve silver basins , and twelve gold incense containers .
4:7:085:0	Each silver platter weighed 31/4 pounds , and each silver basin weighed 13/4 pounds . The total weight of the silver was 60 pounds ( as measured by the weight of the sanctuary shekel ) .
4:7:086:0	Each of the twelve gold containers that was filled with incense weighed four ounces ( as measured by the weight of the sanctuary shekel ) . The total weight of the gold was three pounds .
4:7:087:0	Twelve young bulls , twelve rams , and twelve one-year-old male lambs were donated for the burnt offerings , along with their prescribed grain offerings . Twelve male goats were brought for the sin offerings .
4:7:088:0	Twenty-four bulls , sixty rams , sixty male goats , and sixty one-year-old male lambs were donated for the peace offerings . This was the dedication offering for the altar after it was anointed .
4:7:089:0	Whenever Moses went into the Tabernacle to speak with the Lord , he heard the voice speaking to him from between the two cherubim above the Ark 's cover—the place of atonement—that rests on the Ark of the Covenant . The Lord spoke to him from there .
