50:3:001:1	Ts'ídá t'áá ákwii é'ét'é t'áá aaníinii
50:3:002:1	Nihonít'i'jį' t'ááłáhígi át'éego hoodzo bich'į' yishwoł
50:3:011:0	ts'ídá shá bohónéedzą́ągo daneeznáanii bitahdę́ę́' náádideeshdáłígíí laanaa nisin .
50:3:012:0	T'áá íídą́ą́' ákónísht'é , áádóó t'áá íídą́ą́' ts'ídá hadaałt'éii sélį́į́' , doo dishníigo ádíshníi da . Nidi ákónísht'ée doo biniyé Christ bíí' áshiilaago t'ááłáhígi át'éego naasdzil .
50:3:013:0	Shik'isóó , shí nidi éí díí ch'ídasé'ánígíí t'ah doo shee haleehgóó shił bééhózin , nidi shikéédę́ę́' danilíinii baa yisénah áádóó shilą́ąjį' hólónígíí t'éiyá t'áá íináwołí bee bíká yisdziłgo t'ááłáhígo haz'ánígíí t'éiyá baa naashá .
50:3:014:0	Aghánáhóó'áádę́ę́' Diyin God éí Christ Jesus bee shíizhi'ígíí hodínéeshnééł biniyé t'áá shizááká nihoneel'ą́ąjį' yishwoł .
50:3:015:0	Áko haa'íshą' Níłch'i Diyinii k'ehgo nidaniniilzánígíí t'áá áníiltso t'áá ákót'éego nitsídeiikees doo , nidi ha'át'íhígíida t'áá ał'ąą át'éego baa nitsídaahkeesgo , éí ałdó' Diyin God nihił ííshjání íidoolííł .
50:3:016:0	Áyąądą́ą́' náás deekaígíí t'áá éí bik'ehgo náás yiikah doo .
50:3:017:0	Shik'isóó , t'ááłá'í nootínígo shida'oł'į́ , áádóó nihí bik'eh oodáałii nihá nihee hólónígíí éí yik'ehgo dayíkáhígíí hazhó'ó baa ákodanoosįįh .
50:3:018:0	Háálá tsin ałnáoszid bąąhjį' Christ daaztsą́ągo baa hane'ígíí yi'ana'í danilíinii t'óó ahayóí deíkááh , éí t'áá ahą́ą́h bee nihił náháshnih nít'éé' , áádóó k'ad nidi shinák'eeshto' náálį́įgo bee nihił nááháshne' .
50:3:019:0	Éí há nidahwiizt'i'di ádahodi'dooldįįł , háálá ch'iyáán t'éí bíchą́deízhdéelni'go hodiyin ádadzósin , áádóó hoł baa yádahasin dooleeł yę́ę t'óó bee ádaa dahoji'niih , nahasdzáán bikáa'gi dahólóonii t'éiyá baa nitsídadzikees .
50:3:020:0	Nidi nihí yá'ąąsh dine'é daniidlį́ , áko áádę́ę́' Yisdá'iiníiłii , Bóhólníihii Jesus Christ , t'áá íiyisí nideíníidlíigo biba' ádaniit'é .
50:3:021:0	Éí bibee adziilii bee t'áá ałtsoní nidi bídahółníihgo íidoolíiłgo yíneel'ą́ , éí nihits'íís doo dahayóígíí t'áá bí bits'íís ayóó át'éhígi át'éego nihá ánéidoodlííł .
