6:15:001:1	Territory of Judah
6:15:016:0	And Caleb said , “ The one who attacks Kiriath-sepher and captures it , I will give him Achsah my daughter as a wife . ”
6:15:017:0	Othniel the son of Kenaz , the brother of Caleb , captured it ; so he gave him Achsah his daughter as a wife .
6:15:018:0	It came about that when she came to him , she persuaded him to ask her father for a field . So she alighted from the donkey , and Caleb said to her , “ What do you want ? ”
6:15:019:0	Then she said , “ Give me a blessing ; since you have given me the land of the Negev , give me also springs of water . ” So he gave her the upper springs and the lower springs .
6:15:020:0	This is the inheritance of the tribe of the sons of Judah according to their families .
6:15:021:0	Now the cities at the extremity of the tribe of the sons of Judah toward the border of Edom in the south were Kabzeel and Eder and Jagur ,
6:15:022:0	and Kinah and Dimonah and Adadah ,
6:15:023:0	and Kedesh and Hazor and Ithnan ,
6:15:024:0	Ziph and Telem and Bealoth ,
6:15:025:0	and Hazor-hadattah and Kerioth-hezron ( that is , Hazor ) ,
6:15:026:0	Amam and Shema and Moladah ,
6:15:027:0	and Hazar-gaddah and Heshmon and Beth-pelet ,
6:15:028:0	and Hazar-shual and Beersheba and Biziothiah ,
6:15:029:0	Baalah and Iim and Ezem ,
6:15:030:0	and Eltolad and Chesil and Hormah ,
6:15:031:0	and Ziklag and Madmannah and Sansannah ,
6:15:032:0	and Lebaoth and Shilhim and Ain and Rimmon ; in all , twenty-nine cities with their villages .
6:15:033:0	In the lowland : Eshtaol and Zorah and Ashnah ,
6:15:034:0	and Zanoah and En-gannim , Tappuah and Enam ,
6:15:035:0	Jarmuth and Adullam , Socoh and Azekah ,
6:15:036:0	and Shaaraim and Adithaim and Gederah and Gederothaim ; fourteen cities with their villages .
6:15:037:0	Zenan and Hadashah and Migdal-gad ,
6:15:038:0	and Dilean and Mizpeh and Joktheel ,
6:15:039:0	Lachish and Bozkath and Eglon ,
6:15:040:0	and Cabbon and Lahmas and Chitlish ,
6:15:041:0	and Gederoth , Beth-dagon and Naamah and Makkedah ; sixteen cities with their villages .
6:15:042:0	Libnah and Ether and Ashan ,
6:15:043:0	and Iphtah and Ashnah and Nezib ,
6:15:044:0	and Keilah and Achzib and Mareshah ; nine cities with their villages .
6:15:045:0	Ekron , with its towns and its villages ;
6:15:046:0	from Ekron even to the sea , all that were by the side of Ashdod , with their villages .
6:15:047:0	Ashdod , its towns and its villages ; Gaza , its towns and its villages ; as far as the brook of Egypt and the Great Sea , even its coastline .
6:15:048:0	In the hill country : Shamir and Jattir and Socoh ,
6:15:049:0	and Dannah and Kiriath-sannah ( that is , Debir ) ,
6:15:050:0	and Anab and Eshtemoh and Anim ,
6:15:051:0	and Goshen and Holon and Giloh ; eleven cities with their villages .
6:15:052:0	Arab and Dumah and Eshan ,
6:15:053:0	and Janum and Beth-tappuah and Aphekah ,
6:15:054:0	and Humtah and Kiriath-arba ( that is , Hebron ) , and Zior ; nine cities with their villages .
6:15:055:0	Maon , Carmel and Ziph and Juttah ,
6:15:056:0	and Jezreel and Jokdeam and Zanoah ,
6:15:057:0	Kain , Gibeah and Timnah ; ten cities with their villages .
6:15:058:0	Halhul , Beth-zur and Gedor ,
6:15:059:0	and Maarath and Beth-anoth and Eltekon ; six cities with their villages .
6:15:060:0	Kiriath-baal ( that is , Kiriath-jearim ) , and Rabbah ; two cities with their villages .
6:15:061:0	In the wilderness : Beth-arabah , Middin and Secacah ,
6:15:062:0	and Nibshan and the City of Salt and Engedi ; six cities with their villages .
6:15:063:0	Now as for the Jebusites , the inhabitants of Jerusalem , the sons of Judah could not drive them out ; so the Jebusites live with the sons of Judah at Jerusalem until this day .
