3:20:001:1	Doo ak'eh hojíł'į́į́góó biniinaa há nihodoot'ááł
3:20:011:0	Áádóó diné ła' bizhé'é be'asdzą́ą́ yił neezhtéezhgo éí hazhé'é t'áá łichí'ígo ájiilaago át'é ; éí t'áá ájíłah ts'ídá nahodi'dootsxił ni ; hadił t'áá hó hak'éidoot'ih .
3:20:012:0	Diné ła' bizháá'áád yił neezhtéezhgo éí t'áá ájíłah ts'ídá nahodi'dootsxił ni ; t'áadoo é'él'į́įgi ádziidzaaígíí bąą hadił t'áá hó hak'éidoot'ih .
3:20:013:0	Diné ła' éí t'áá diné nilį́įgo yił neezhtéezhgo asdzání bił aneezhtézhígíigi át'éego éí t'áá ájíłah doo haldinígi ádziidzaago át'é ; éí ts'ídá nahodi'dootsxiłgi hadił t'áá hó hak'éidoot'ih .
3:20:014:0	Diné ła' éí asdzání áádóó bimá t'áá bił hwe'asdzą́ą́ ájiilaago éí doo yá'áshónígi áhóót'įįdii át'é ; éí t'áá hwíighah adahodidoolk'ą́ą́ł ; hó áádóó asdzání t'áá áłah bił akóhodi'doolnííł , áko nihitahgi doo yá'áshóonii doo hólǫ́ǫ da doo .
3:20:015:0	Áádóó diné ła' naaldlooshii yá'ázyehgo éí diné ts'ídá diyoolyééł , índa naaldlooshii ałdó' diyoolyééł .
3:20:016:0	Áko asdzání ła' naaldlooshii yaa níyáago bá'ázyehgo éí asdzání diyoolyééł , naaldlooshii ałdó' ; ts'ídá nahodi'dootsxiłgi hadił t'áá hó hak'éidoot'ih .
3:20:017:0	Índa diné ła' hazhé'é bitsi' , doodaii' hamá bich'é'é bił ahizniidzį́į'go áádóó hoł neezhtéezhgo éí doo yá'áshóonii át'é ; hadine'é binááł nahodi'dootsxił , háálá halah t'áá łichí'ígo ájiilaa ; t'áá hó doo ákwii ájíít'įįdígíí ts'ídá bee hohodiit'i' doo .
3:20:018:0	Diné ła' éí asdzání ąądii nilį́įgo bił jineezhtéezhgo áádóó t'áá łichí'ígo ájiilaago chooyin silį́'ígíí jiiłtsą́ áádóó asdzání t'áá bí íinízingo ákójiilaa , áko t'áá ájíłah hodine'é bits'ą́ąjį' hodi'yoolyééł .
3:20:019:0	Nimá yił háá'áázh , doodaii' nizhé'é bilah doo t'áá łichí'ígo ádíílíił da , háálá éí hánígo hak'éí nilíinii t'áá łichí'ígo ájiilaa , áko t'áá ájíłah doo ákwii ájíít'įįdígíí bee hohodiit'i'go niji'aash doo .
3:20:020:0	Diné ła' hadá'í , doodaii' hazhé'é yázhí be'asdzą́ą́ bił jineezhtéezhgo éí hadá'í , doodaii' hazhé'é yázhí t'áá łichí'ígo ájiilaago át'é ; ádił adzisiihígíí bee hohodiit'i'go niji'aash doo , índa ha'áłchíní doo hodooleełgóó áhodi'doolníiłgo jidínóonééł .
3:20:021:0	Diné ła' yił háá'áázh be'asdzą́ą́ bighajíltį́įgo éí doo bee ho'didoodahii ájiilaago át'é ; éí yił háá'áázh t'áá łichí'ígo áyiilaago át'é ; éí ha'áłchíní doo hodooleeł da .
3:20:022:0	Éí bąą bee nihodiyé'áanii t'áá át'é bik'eh dahonoł'į́į doo índa bee nihodiish'aahii t'áá át'é bida'oł'į́į doo , áko kéyah biih nihideesh'ishígíí doo nihídoołkoh da .
3:20:023:0	Dine'é nihits'ą́ąjį' ch'íhinishkaadígíí éí deíkáhígi át'éego t'áadoo deínóhkáhí , háálá éí díí t'áá át'é yaa nidaakaigo ádayoołííł ; éí bąą bik'ee dinish'niih .
3:20:024:0	Nidi ánihidííniid , Dabikéyah danihíí' dooleeł , nihaa dideesh'áałgo nihíí' ádadoohłííł ; éí kéyah bii' abe' áádóó tsésná bitł'izh bee áda'azįįd ; jó , shí Bóhólníihii nihiDiyin God nishłį́ ; éí ał'ąą dine'é bits'ánihinínilígíí ásht'į́ .
3:20:025:0	Éí bąą naaldlooshii daadánígíí áádóó doo daadánígíí índa nidaat'a'ii doo daadánígíí áádóó daadánígíí nihił ał'ąą át'éii át'é . Áko naaldlooshii , doodaii' nidaat'a'ii , doodaii' t'áá ha'át'íhída nihokáá'góó nidaa'na'ii t'ááká bee baa'ihii áda'doołnééh lágo , éí nihits'ádiní'ą́ągo doo dadoohsį́į́łgóó ánihiishłaa .
3:20:026:0	Áko nihí shich'į'go dadinohyin doo , háálá shí Bóhólníihii ts'ídá dinishyin , ał'ąą dine'é bits'ánihidiní'ą́ , áko shíí' dadoohłeeł .
3:20:027:0	Diné ła' , doodaii' asdzání ła' ch'į́įdii yábiiłti'ii , doodaii' adiłgąshii nilį́įgo éí ts'ídá nidabidi'tseed doo ; tsé bee bił nidahizdoolniiłgi bidił t'áá bí bik'éidoot'ih .
