3:8:001:1	Éran áádóó biye'ké ats'ábidee'nilgo daalzį́į́'
3:8:023:0	Mózes éí deenásts'aa' yiyiisxį́įgo diłígíí ła' néidiiką́ągo éí yee Éran bijaa' nish'náájí yaa ninít'i'ígi dah yiyiiłchii' áádóó bílátsoh nish'náájí índa bikétsoh nish'náájí bílátahgi dah yiyiiłchii' .
3:8:024:0	Áádóó Mózes éí Éran biye'ké hágo yidííniidgo diłígíí ła' néidiiką́ągo éí yee dabijaa' nish'náájí yaa nidaazt'i'gi áádóó dabílátsoh nish'náájí índa dabikétsoh nish'náájí dah dayiiłchii' , índa dił yidziihígíí bikáá' náá'iiniihí bikáa'gi t'áá át'é yik'íístah .
3:8:025:0	Deenásts'aa' bik'ah áádóó bitsee' neesk'ahígíí áádóó bitsą́ siláí bąąh ak'ahígíí t'áá át'é áádóó azid bíighahgi ak'ahígíí áádóó bitsą́ áshk'azhí bąąh ak'ahígíí t'áá biłgo índa bijáád nish'náájíígíí ałdó' néidiinil .
3:8:026:0	Índa díík'ǫsh t'áágééd bááh ádaalyaii Bóhólníihii binááł ts'iizis bee sikánígíí bii'dę́ę́' bááh áádóó łees'áán ak'ah bił ályaii índa bááh dá'áka'í t'áá daała'ígo néidiinilgo ak'ah áádóó ajáád nish'náájíígíí yikáa'gi dah yiznil .
3:8:027:0	Áko éí t'áá ałtso Éran índa biye'ké yílák'ee yíínilgo Bóhólníihii binááł náásee bił nídi'dilnihgo nááhániihii át'éego náásee yił dadideesnii' .
3:8:028:0	Áádóó Mózes éí dahálák'eedóó néidiinilgo bikáá' náá'iiniihí yikáa'jį' yiidiłidgo didlidgo nááhániihii át'éego nááyiisnii' , áko éí diyingo bits'ąą hasti'go Bóhólníihii bich'į' há nááhániihii łikání dahalchinii didlidgo nááhaaznii'ii ádaat'é .
3:8:029:0	Áko Mózes éí ajéíts'iinígíí néidii'ą́ągo Bóhólníihii binááł náásee yił nídi'dilnihgo nááhániihii át'éego náásee yił nídi'dilnih nít'éé' ; diyingo hats'ąą hasti'go há deenásts'aa' nááhániihii bijéíts'iinígíí éí Mózes bí ; Bóhólníihii éí Mózes áyidííniidígíí yi'iilaa .
3:8:030:0	Áádóó Mózes éí ak'ah ak'i yahiidzíidii áádóó diłígíí bikáá' náá'iiniihí yik'íístahii t'áá bíí'ohígíí néidiiką́ągo Éran áádóó biye'ké índa dabi'éé' t'áá yił yik'íístahgo Éran áádóó bi'éé' áádóó biye'ké índa dabi'éé' dadílzingo ájiilaa .
3:8:031:0	Áko Mózes éí Éran áádóó biye'ké ííłní , Níbaal bii' dahozdísinii bich'éédą́ą'gi atsį'ígíí dadoołbishgo diyingo bits'ąą hasti'go nihá nááhániihii ts'iizis bee bááh sikánígíí biłgo dadoohsį́į́ł ; t'áá bee haasdzí'ígi át'éego ádíshní , Éran áádóó biye'ké deidooyį́į́ł .
3:8:032:0	Éí atsį' áádóó bááh ła' t'áá ch'ínííłna'go éí dadidoohłił .
3:8:033:0	Tsosts'id yiską́ąjį' níbaal bii' dahozdísinii bii'dóó doo ch'ídoohkah da ; diyingo bits'ąą hasti'ii bíighah yiską́ągo índa ch'ídoohkah , áko tsosts'id jį́ diyingo nihits'ąą hasti'go ánihizhdoolííł .
3:8:034:0	Díí jį́ ída'iilyaaígi át'éego Bóhólníihii yee haadzí'ígíí bik'ehgo bee nihá k'ééhodoodǫǫłii náádahiilnii' .
3:8:035:0	Éí bąą níbaal bii' dahozdísinii bich'éédą́ą'gi shá bíighah áádóó tł'éé' bíighah nahísóotą́ągo tsosts'id yidoołkááł , áko Bóhólníihii bik'eh ádanoht'éego doo dínóohnéeł da ; jó , shí ákót'éego bee shich'į' ha'oodzíí' .
3:8:036:0	Áko Éran áádóó biye'ké éí Mózes binahjį' Bóhólníihii hach'į' yee haadzíi'ii t'áá ałtso bida'jiilaa .
