3:4:001:1	Ádił ni'iidzííhjí náádahaniihii
3:4:014:0	ádił ni'iidzííh yee ádił da'asiihígíí bił béédahoozingo Ízrel dine'é éí dóola yázhí ádił ni'iidzííhjí nááhániihii níbaal bii' dahozdísinii bich'éédą́ą'gi deidoolóós .
3:4:015:0	Áádóó Ízrel dine'é yiląąjį' naazíinii éí Bóhólníihii binááł dóola yázhí yitsiit'áagi dah dadidoolnihgo Bóhólníihii binááł dóola yázhí deidiyoołhééł .
3:4:016:0	Áko náá'iiłniihii ak'ah bik'i yaadziidgo bi'doolzį́į'ii éí dóola yázhí bidił ła' níbaal bii' dahozdísinii si'áníjį' yidookááł .
3:4:017:0	Áádóó náá'iiłniihii éí diłígíí yiih didoolnihgo Bóhólníihii binááł dáádiníbaalígíí bidáahjį' tsosts'idi ałkéé' ni'jį' dił iidoołkał .
3:4:018:0	Índa níbaal bii' dahozdísinii góne' bikáá' náá'iiniihí Bóhólníihii binááł si'áanii bidee' dadeez'áhígíí diłígíí ła' yąąh íidoolííł áádóó dił yidziihígíí t'áá át'é níbaal bii' dahozdísinii bich'é'étiingi didlidgo nááhániihii biniyé bikáá' náá'iiniihí bitsį́įjį' yeidooził .
3:4:019:0	Ak'ahígíí t'áá át'é yits'éidooniłgo bikáá' náá'iiniihí yikáa'jį' yididoołił .
3:4:020:0	Ádił ni'iidzííhjí nááhániihii éí dóola yázhí nááyiisnii' yę́ęgi át'éego náá'iiłniihii ákó'doolííł ; kót'éego náá'iiłniihii éí há bee k'ééhodoodǫǫłii há nááyiisnii'go ádił nida'dziisí'ígíí há yóó'anídidoot'ááł .
3:4:021:0	Áádóó níbaal haal'á bits'áhwiiní'ą́ą́góó iidoojihgo áłtséédą́ą́' dóola yázhí yiidííłid yę́ęgi át'éego yiididoołił ; díí ádił ni'iidzííhjí nááhániihii át'éego Ízrel dine'é bá át'ée doo .
3:4:022:0	Naat'áanii ła' ádił adzisiihgo t'áadoo ádaa ákoznidziní Bóhólníihii haDiyin God bibik'eh ó'oo'níiłii doo ádoolníił da , nínígíí doo bik'eh ádziidzaagóó bee ádihozhdiilt'i'go
3:4:023:0	ádił ni'iidzííh bee ádił adzisiihígíí hoł bééhoozingo éí nááhizhdoołnihii tł'ízíchǫǫh hadaałt'éii jidoolóós .
3:4:024:0	Áádóó tł'ízíchǫǫh bitsiit'áagi dashdidoolnihgo didlidgo náádahaniihii nidaatseedígi Bóhólníihii binááł jidiyoołhééł ; éí ádił ni'iidzííhjí nááhániihii át'ée doo .
3:4:025:0	Áko náá'iiłniihii éí ádił ni'iidzííhjí nááhániihii bidił yiih didoolnihgo didlidgo nááhániihii biniyé bikáá' náá'iiniihí bidee' dadeez'áhígíí yąąh íidoolííł áádóó dił yidziihígíí éí didlidgo nááhániihii biniyé bikáá' náá'iiniihí si'ánígíí bitsį́įjį' yeidooził .
3:4:026:0	Áádóó ak'ahígíí t'áá át'é bikáá' náá'iiniihí yikáa'jį' yididoołił ; nááhidoonihii éí hózhǫ́ǫ́jí nááhániihii bik'ah didlidígi át'éego yiididoołił ; kót'éego náá'iiłniihii éí há bee k'ééhodoodǫǫł ii há nááyiisnii'go ádił ni'dziisíi'ii há yóó'anídidoot'ááł .
3:4:027:0	Índa diné t'áá azlį́'ígíí ła' t'áadoo ádaa ákoznidziní ádił adzisiihgo Bóhólníihii bibik'eh ó'oo'níiłii doo ádoolníił da , nínígíí doo bik'eh ádziidzaagóó bee ádihozhdiilt'i'go
3:4:028:0	ádił ni'iidzííh bee ádił adzisiihígíí hoł bééhoozingo , éí nááhizhdoołnihii tł'ízí bi'áadii hadaałt'éii ádił ni'iidzííh bee ádił adzisiihígíí biniinaa jidoołtééł .
3:4:029:0	Áádóó éí ádił ni'iidzííhjí nááhániihii bitsiit'áagi dashdidoolnihgo ádił ni'iidzííhjí nááhániihii didlidgo náá'iiniihígi jidiyoołhééł .
3:4:030:0	Índa náá'iiłniihii éí nááhániihii bidił yiih didoolnihgo didlidgo nááhániihii biniyé bikáá' náá'iiniihí bidee' dadeez'áhígíí yąąh íidoolííł , áádóó dił yidziihígíí bikáá' náá'iiniihí biyaajį' yeidooził .
3:4:031:0	Áádóó ak'ahígíí t'áá át'é nááhidoonihii éí hózhǫ́ǫ́jí nááhániihii bik'ah bits'á'nilígi át'éego yits'éidoonił ; náá'iiłniihii éí bikáá' náá'iiniihí yikáa'jį' ak'ahígíí yididoołiłgo Bóhólníihii bich'į' łikání halchin doo ; kót'éego náá'iiłniihii éí há bee k'ééhodoodǫǫłii há nááyiisnii'go ádił ni'dziisí'ígíí há yóó'anídidoot'ááł .
3:4:032:0	Ádił ni'iidzííhjí nááhániihii biniyé dibé yázhí jiníłtį́įgo éí dibé yázhí bi'áadii hadaałt'éii jidoołtééł .
3:4:033:0	Áko ádił ni'iidzííhjí nááhániihii bitsiit'áagi dashdidoolnihgo ádi ł ni'iidzííhjí nááhániihii át'éego didlidgo nááhániihii naatseedígi jidiyoołhééł .
3:4:034:0	Áádóó náá'iiłniihii éí ádił ni'iidzííhjí nááhániihii bidił yiih didoolnihgo didlidgo nááhániihii biniyé bikáá' náá'iiniihí bidee' dadeez'áhígíí yąąh íidoolííł , áádóó dił yidziihígíí t'áá át'é bikáá' náá'iiniihí bitsį́įjį' yeidooził .
3:4:035:0	Áádóó ak'ahígíí t'áá át'é dibé yázhí bik'ah nááhidoonihii éí hózhǫ́ǫ́jí nááhániihii bik'ah bits'á'nilígi át'éego yits'éidoonił , áko náá'iiłniihii éí bikáá' náá'iiniihí yikáa'jį' Bóhólníihii bich'į' didlidgo náádahaniihii bik'ehgo yididoołił ; kót'éego náá'iiłniihii éí há bee k'ééhodoodǫǫłii há nááyiisnii'go ádił ni'dziisíi'ii há yóó'anídidoot'ááł .
