3:22:001:1	Náádahaniihii t'áá íiyisí dadílzin
3:22:011:0	Nidi náá'iiłniihii t'áá bí bibéeso yee naalte' nayiis'nii'go áádóó bighangi yizhchíinii éí dílzingo shaa náhidit'aahígíí yidooyį́į́ł .
3:22:012:0	Náá'iiłniihii bitsi' éí diné t'áá azlį́'ígíí yił ahaa yít'áazhgo éí dílzingo shaa nídeidii'aahígíí ła' nááyiisnii'ii doo ła' yidooyį́įł da .
3:22:013:0	Nidi náá'iiłniihii bitsi' bąąh áhásdįįdgo , doodaii' bahastiin yóó'abidíí'ą́ągo índa ba'áłchíní ádingo éí t'áá ániid nijigháádą́ą́' ájít'é yę́ęgi át'éego hazhé'é bighangi nídzídzáago éí hazhé'é bich'iyą' jiyą́ą doo , nidi diné t'áá azlį́'ígíí éí doo yidooyį́įł da .
3:22:014:0	Índa diné ła' dílzingo shaa náhidit'aahígíí doo bił bééhózingóó yiyííyą́ą'go bą́ą́h ílínígíí éí ashdla'go ałts'áádzoígíí t'ááłá'í haadzogo bínéizdoozohgo náá'iiłniihii bich'į' nizhdoolééł .
3:22:015:0	Áko Ízrel dine'é éí dílzingo Bóhólníihii yaa nídeidii'aahígíí t'ááká doo dílzingóó ádayólééh lágo , jó , éí Bóhólníihii yich'į' náádayiiłniih .
3:22:016:0	Áko dílzingo shaa nídeidii'aahígíí doo dazdísingóó dajííyą́ą'go doo ákwii át'éii bee Ízrel dine'é bidahodiit'i'go deíkáahgo ádazhdoolííł ; jó , shí Bóhólníihii nishłį́įgo dazhdiyingo áhwíínísin .
3:22:017:0	Áádóó Bóhólníihii éí Mózes ííłní ,
3:22:018:0	Éran áádóó biye'ké índa Ízrel dine'é t'áá ałtso bich'į' handziihgo kóbidiní , Ízrel dine'é bitahdóó ła' , doodaii' dé'éyóní éí Ízrel kéyahgi kéédahat'íinii ła' náádi'yoołnihgo éí yee ádee haadzíi'ii t'áá át'é índa t'áá bí íinízingo nááyiiłniihii t'áá át'é éí Bóhólníihii bich'į' didlidgo nááhániihii náádayiiłnihgo
3:22:019:0	t'áá nihí ádeinohsingo dóola , doodaii' deenásts'aa' , doodaii' tł'ízíchǫǫh hadaałt'éii náádahołniih doo .
3:22:020:0	Nidi bąąh dahaz'ánígíí doo ła' náádahidoołnih da ; éí Bóhólníihii doo nihá yidínóozįįł da .
3:22:021:0	Áádóó t'áá háiida náádi'yoołnihgo nááhidoonihii hózhǫ́ǫ́jí nááhániihii át'éego Bóhólníihii bich'į' néidiyoołnihgo yee ádee haadzíi'ii , doodaii' t'áá bí íinízingo nááyiiłniihii éí béégashii , doodaii' dibé hadaałt'éii t'áá noodzį́'ígi át'éii nááyiiłniih doo ; doo tídiilyaii t'éí nááhániih doo .
3:22:022:0	Alį́į́' doo oo'į́į́góó , doodaii' bits'in k'é'éltǫ'go , doodaii' bąąh dahaz'áanii , doodaii' łóód , doodaii' dishch'id bąąh hólóonii , doodaii' bikáá'góó sidgo kódaat'éhígíí doo Bóhólníihii bich'į' nááhidoołnih da , doodaii' éí bikáá' náá'iiniihí bikáa'jį' doo didlidgo nááhániihii Bóhólníihii bich'į' nááhidoołnih da .
3:22:023:0	Dóola yázhí , doodaii' dibé yázhída éí bits'íís t'áá ha'át'éhígida alááh , doodaii' a'oh níísánígíí éí náádi'yííłnihgo t'áá ni íinínízingo nááhániihii t'éí nááhíłniih doo , nidi ádee háínídzíí'jí nááhániihii át'éego éí doo ná dínóodzįįł da .
3:22:024:0	Alį́į́' bicho' ayęęzhii yishtłishii , doodaii' yishjizhii , doodaii' sits'ilii , doodaii' haa'nilii éí doo Bóhólníihii bich'į' náádahidoołnih da , doodaii' ákót'éhígíí nihikéyahgi doo náádahidoołnih da .
3:22:025:0	Doodaii' dé'éyóní bits'ą́ą́dóó díí ha'át'íhída ła' nihiDiyin God bibááh át'é ; doo óolzinii éí doo náádahidoołnih da , háálá éí yíchxǫ'go áádóó bąąh dahaz'ą́ągo át'é ; éí doo nihá dínóodzįįł da .
3:22:026:0	Áádóó Bóhólníihii éí Mózes ííłní ,
3:22:027:0	Dóola yázhí , doodaii' dibé yázhí , doodaii' tł'ízí yázhí yichíihgo bimá t'áá yił naa'aashgo tsosts'id yidoołkááł , áko tseebíí yiską́ą́dóó bik'ijį' índa éí Bóhólníihii bich'į' didlidgo nááhániihii át'éego dínóodzįįł .
3:22:028:0	Áádóó béégashii , doodaii' dibétsa'ii biyázhí t'áá bił doo t'áá ła'óo jį́ nidadoołtsił da .
3:22:029:0	Índa náádi'yííłnihgo nááhidoonihii bee ahééh hwiindzingo nááhániihii Bóhólníihii bich'į' náádahołniihgo éí t'áá nihí ádeinohsingo náádahołniih doo .
3:22:030:0	T'áá éí bijį́ ałtso dadoohsį́į́ł ; biiskání doo ła' t'áá yidziih da doo ; jó , shí Bóhólníihii nishłį́ .
3:22:031:0	Éí bąą shibik'eh ó'oo'níiłii bik'eh dahonoł'į́įgo bida'oł'į́į doo ; jó , shí Bóhólníihii nishłį́ .
3:22:032:0	Doodaii' shízhi' dílzinii t'ááká doo dílzinii ádaohłe' lágo , nidi Ízrel dine'é bitahgóó dashizdósin doo ; jó , shí Bóhólníihii diyingo ats'ánihidiní'áanii nishłį́ .
3:22:033:0	Shí t'éiyá nihiDiyin God nishłį́į doo biniyé Ííjip kéyahdę́ę́' dah nihidii'eezh ; jó , shí Bóhólníihii nishłį́ .
