3:26:001:1	Ak'eh hól'į́ biniit'aa ak'ihojidlíii
3:26:022:0	Naaldlooshii dahashkéii ałdó' nihich'į' bi'deesh'nihgo éí niha'áłchíní nihee deini'įįhgo atídeile' doo , áádóó nihilį́į́' ádeidoołdįįł , áádóó t'áá díkónółt'éhígo ádanihidoolííł índa niheda'atiingóó doo nidaagháhí da doo .
3:26:023:0	Áádóó díí bee doo shee łahgo ínída'dołnééhgóogo , nidi t'óó shik'ijį' danoh łį́įgo deínóhkáahgo
3:26:024:0	shí ałdó' nihik'ijį' nishłį́į doo , áádóó nida'ayoohsí'ígíí biniinaa t'ah yówehgo tsosts'idi ahą́ą́h nániiláago atínáánihideeshdlííł .
3:26:025:0	Áádóó diltłish bił nihi'ana'í nihik'ijį' bi'deesh'nih ; éí nihił aha'dinisht'áanii doo bik'eh ádanoht' éégóó t'óó k'éénihidideeshdlííł áádóó nihikin hadaas'áagi áłah nídaahdleehgóó nihitahgóó naałniih bee nihich'į' hodiyeesh'nááł , índa nihi'ana'í bílák'ee nihidi'doot'ááł .
3:26:026:0	Áko nihich'iyą' łahjį' nihits'ą́ą́' ni'kóshłaago , asdzání neeznált'éego bááh bighan t'ááłá'ígíí biyi' nihá bááh áńdayiil'įįh doo , áádóó ahádahaasti'go dah hidiidlohígíí bik'ehgo nihitaa nídeijih doo , áádóó éí nídaohdį́įhgo doo bee hwiih daohłe' át'ée da doo .
3:26:027:0	Áko azhą́ díí t'áá át'é kónihi'diilyaa nidi , doo dashíínółts'ą́ą́'góogo t'óó shik' ijį' danohłį́įgo deínóhkáahgo
3:26:028:0	shí ałdó' t'óó kónihideeshłííł ; nihik'ijį' nishłį́įgo t'óó báhádzidgo sháháchį' doo ; nida'iyoohsí'ígíí biniinaa tsosts'idi ahą́ą́h nániiláago t'áá shí atínihideeshłííł .
3:26:029:0	Áádóó nihiye'ké bitsį' índa nihitsi'ké bitsį' nídaołgha ł doo .
3:26:030:0	Índa ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaohłaaígíí nihideeshchxǫǫłgo e'elyaii danihíhígíí dadideeséigo bikáa'jį' danihits'íís ahideeshtł'ił , áko doo nihinisin da doo .
3:26:031:0	Áádóó nihikin hadaas'áhígíí t'áá ádzaaí ádeeshłííł , índa nihihodiyingo nahaz'áanii nihideeshchxǫǫłgo t'áadoo dabiniyéhí da doo , áko łikání halchingo náádahołniihii doo deeshchį́įł da .
3:26:032:0	Áko kéyahgi ałtso nihodiyeeshchxǫǫł ; ákwii nihi'ana'í nidahanéhígíí éí yik'ee t'óó bił adahayói doo .
3:26:033:0	Áádóó ał'ąą dine'é bitahgóó tanihidínéeshkał , índa nihich'į' diltłish bił hanáshdił doo áádóó nihikéyah ałtso nidahwiizhchxǫ' doo , índa nihikin hadaas'áhígíí t'áá ádzaaí dadooleeł .
3:26:034:0	Áko kéyah háá'áyį́į́h yee ná'áldįįhgo bił hóóchxǫ'go hoolzhish doo áádóó nihí éí nihi'ana'í bikéyahdi naałdeehgo kéyah háádoolyįhgo háá'áyį́į́h yee ná'áldįįh doo .
3:26:035:0	Haa nízádígi shį́į́ kéyah bił hóóchxǫ'go hanályį́įh doo , háálá bikáá' kéédahoht'į́į́ nít'éé' yę́ędą́ą́' háá'áyį́į́h baa náhwiilzhíishgo t'áadoo hanáályį́į' da .
3:26:036:0	Áádóó nihits'ą́ą́dóó ch'éékaigo daadzí'ígíí bida' ana'í bikédaayahgi bił dayée'go biyandahalyizgo ádeeshłííł ; tsin bit'ąą' dadiits'a'go yik'ee nídadíníchéeh doo ; diltłish yik'ee danéechééh nahalingo nidanichée doo ; t'áadoo dabineełchéhí da nidi nidanichéego dahidigeeh doo .
3:26:037:0	Áádóó ałk'i dahiniidéehgo t'áadoo dabinéełchéhí da nidi diltłish yik'ee nidanichéhígíigi ádaat'ée doo . Áádóó nihi'ana'í binááł bee adziilii nihee ádaadingo ch'ééh ádaaht'į́į doo .
3:26:038:0	Áádóó ał'ąą dine'é bitahgóó ádoohdįįł ; nihida'ana'í bikéyah t'óó danihildeeł doo .
3:26:039:0	Áko t'áá díkwíí nihits'ą́ą́dóó ch'éékaigo daadzí'ígíí éí doo ákwii ádáát'įįdígíí biniinaa nihida'ana'í bikéyahgi yínííł bidooghą́ą́ł áádóó danihizhé'é yę́ę doo ákwii ádáát'įįdígíí ałdó' biniinaa t'áá bił yínííł bidooghą́ą́ł .
3:26:040:0	Áádóó doo ákwii ádáát'įįdígíí yee ádaa dahalne'go dabizhé'é yę́ę doo ákwii ádáát'įįdígíí doo ákǫ́ǫ́ áhát'íinii yee doo ákǫ́ǫ́ ádashííł'įįdgóó yee ádaa dahoolne'go áádóó ałdó' shits'ą́ą́jí t'óó shik'ijį' danilínígíí áádóó ałdó' shik'ijį' danilį́įgo deíkááh nít'é'ígíí yee ádaa dahalne' .
3:26:041:0	Shí ałdó' dabik'ijį' nishłį́į́ nít'éé' bida'ana'í bikéyah góne' íí'eezhígíí yaa ákodaniizį́į́' ; jó'áko dabijéí doo daalzį́į' da nít'éé' yę́ę a'ohgo ádaat'é ádabi'diilyaago índa doo ákwii ádáát'įįdígíí biniinaa atídabi'diilyaaígíí t'éí bada'ahódlíigo
3:26:042:0	t'áá shí bénáshniihii Jéíkab áádóó Áízak índa Éíbraham éí shibee aha'deet'áanii bee bił ahadadi'nisht'áanii bénáshniih doo áádóó dabikéyah bénáshniih doo .
3:26:043:0	Kéyahdóó nahjį' hajookaigo kéyah háá'áyį́į́h yee ná'áldįįhígíí bikáá' dahóóchxǫ'go nahaz'ą́ą doo , áko doo ákwii ádáát'įįdígíí biniinaa atídabidi'doolníłígíí bada'ahódlíi doo , háálá bee nihodiish'aahii deiz'įįd áádóó bee nihoyé'áanii t'óó yádadoolnih .
3:26:044:0	Azhą́ díí t'áá át'é kódajíít'įįd nidi hweda'ana'í bikéyahdi nijildeehgo doo yóó'ahodeeshkał da , doodaii' doo t'áá k'ad hádésh'nihgo ałtso áhoséłdįįd da , áádóó doo t'áá k'ad shibee aha'deet'áanii hoł k'íníti' da , háálá shí Bóhólníihii haDiyin God nishłį́ .
3:26:045:0	Nidi dahazhé'é yę́ę bił ahadadi'nisht'áanii há bénáshniih doo ; éí ał'ąą dine'é dabinááł Ííjip kéyahdę́ę́' ch'ééhoní'eezh , ákót'éego t'éiyá haDiyin God nishłį́į doo ; jó , shí Bóhólníihii nishłį́ .
3:26:046:0	Díí éí yee nihwiiz'áanii áádóó yee nihodiiz'áanii índa bee haz'áanii Bóhólníihii t'áá bí haidiilaaígíí áádóó éí yee Ízrel dine'é yił aha'deet'ą́ągo Dził Sáínai si'ánígi éí yee Mózes ak'e'ashchį́ .
