3:23:001:1	Hodílzingo áłah ná'ádleeh nídeit'aahígíí
3:23:022:0	Ákohgo nihikéyahgi da'ohizhgo dá'ák'eh nídaastł'ahgóó t'áadoo ałtso daohizhí , doodaii' nidahineezdee'ígíí t'áadoo nínáádahohdlahí ; bíni' éí badahojoobá'ígíí índa dé'éyóní danilíinii nihitahgóó kéédahat'íinii bá áá dahohsįįh ; jó , shí Bóhólníihii nihiDiyin God nishłį́ .
3:23:023:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:23:024:0	Ízrel dine'é bich'į' handziihgo kóbidiní , Tsosts'id nídízííd binih ła'a jį́į́ góne' háá'áyį́į́h jį́ deidooł'aałgo bee ééhániihii át'éego dilní didoots'į́įłgo hodílzingo áłah doohłeeł .
3:23:025:0	Ákóne' doo nidoołnish da , nidi náádahidoołnihii Bóhólníihii bich'į' didlidgo náádahołniih doo .
3:23:026:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:23:027:0	Áádóó ałdó' díí tsosts'id nídízííd binih neeznáá jį́į́ góne' éí á k'ééhodoodǫǫłgo yoołkáłígíí át'é ; éí hodílzingo áłah náhdleehígíí nihá át'ée doo , ákóne' doo adą́ą́góó nihii' naazíinii dahodísingo sohodizin áńdaał'įįh doo , áko náádahidoołnihii Bóhólníihii bich'į' didlidgo náádahołniih doo .
3:23:028:0	T'áá éí bijį́ ts'ídá doo nidoołnish da , háálá á k'ééhoodǫǫłii yoołkáłígíí át'éego Bóhólníihii nihiDiyin God binááł nihá k'ééhodoodǫǫł .
3:23:029:0	T'áá éí bijį́ t'áá háiida doo adą́ą́góó hodílzingo sohodizin doo áńjiil'įįhígíí éí hodine'é bits'ą́ąjį' hodi'yoolyééł .
3:23:030:0	Áádóó t'áá éí bijį́ t'áá háiida nijishnishígíí t'áá éí hodine'é bits'ą́ą́' áhodeeshdįįł .
3:23:031:0	T'áá ha'át'éegoda doo nidoołnish da ; díí bee nihoní'áanii ahóyéel'áágóó náás da'ahíínółchííhgóó t'áá danihiníghanígi t'áá ánółtso nihá át'ée doo .
3:23:032:0	Áko díí háá'áyį́į́h jį́ nihá át'ée doo , áádóó doo adą́ą́góó nihii' naazíinii dahodísingo sohodizin áńdaał'įįh doo ; t'áá éí yiziłígíí binih náhást'éí jį́į́ góne' i'íí'ą́ą́dóó anáá'oot'ą́ąjį' nihiháá' áyį́į́h jį́ baa dahonohsą́ą doo .
3:23:033:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:23:034:0	Ízrel dine'é bich'į' handziihgo kóbidiní , Tsosts'id nídízííd binih ashdla'áadah jį́į́ góne' éí chaha'oh ándaoł'įįhgo tsosts'id yiską́ąjį' hodílzingo áłah ná'ádleehgo Bóhólníihii bich'į' ninádahohłaah doo .
3:23:035:0	Hahóóyá bijį́ dahodíínóhsingo áłah náhdleeh doo ; éí bijį́ doo nidoołnish da .
3:23:036:0	Tsosts'id jį́ náádadi'yoołnihgo Bóhólníihii bich'į' didlidgo nááhániihii náádahołniih doo . Áádóó tseebíí yiską́ągo dahodíínóhsingo áłah náhdleehgo náádadi'yoołnihii Bóhólníihii bich'į' didlidgo nááhániihii náádahołniih doo ; éí hodílzingo áłah náhdleeh doo ; éí bijį́ doo nidoołnish da .
3:23:037:0	Díí Bóhólníihii bich'į' hodílzingo áłah ná'ádleeh baa náhwiilzhíishgo nídeit'aahígíí éí hodílzingo áłah náhdleehgo baa ch'éédahoht'áah doo , áko náádadi'yoołnihgo Bóhólníihii bich'į' didlidgo nááhániihii náádahołniih doo ; éí didlidgo nááhániihii áádóó ak'áán nááhániihii áádóó nááhidoonihii índa yanáadzi'go nááhániihii t'áá ałtsoní náádayiiłniihígíí ła'a jį́ bá náhoot'aah doo .
3:23:038:0	Bóhólníihii biháá'áyį́į́h jį́į́ góne' náádahaniihii áádóó aa nooláhígíí áádóó bee ádee haohdzíi'ii t'áá át'é índa t'áá nihí ádeinohsingo náádahołniihii t'áá át'é Bóhólníihii baa nídahidoh'aahígíí ádaat'éego ínáádaóltą'go Bóhólníihii bich'į' náádahołniih doo .
3:23:039:0	Tsosts'id nídízííd binih ashdla'áadah jį́į́ góne' ałdó' nihikéyahgi nídaneest'ánígíí áłah ádaohłaago tsosts'id jį́ Bóhólníihii bich'į' hodílzingo áłah ná'ádleeh nídaoł'aah doo . Hahóóyá bijį́ háá'áyį́į́h jį́ át'ée doo índa tseebíí jį́į́ góne' ałdó' háá'áyį́į́h jį́ át'ée doo .
3:23:040:0	Áko hahóóyá bijį́ tsin naazkaad dabi'iil danizhóníii éí tsin naazkaadii páam wolyéhígíí bi'iil áádóó tsin dadíłch'ilii bi'iil índa tó nílį́į́dę́ę́' k'ai' ałdó' nidahidoołjołgo bee chaha'oh ádadoohłííł , áko Bóhólníihii nihiDiyin God binááł nihił dahózhǫ́ǫgo tsosts'id yidoołkááł .
3:23:041:0	Díí Bóhólníihii bich'į' dahodíínóhsingo áłah náhdleeh nídaoł'aah dooígíí tsosts'id néíłkáahjį' nínáhahgo ákóndaoł'įįh doo ; nihá bee nihoní'áanii át'éego ahóyéel'áágóó náás da'ahíínółchíih doo ; tsosts'id nídízííd binih baa nináhkah doo .
3:23:042:0	Chaha'oh bii' danihighango tsosts'id yidoołkááł ; Ízrel dine'é danilį́įgo nidahaazhchíinii t'áá ałtso chaha'oh yii' dabighan doo .
3:23:043:0	Ákohgo nihits'ą́ą́dóó náás da'ahílchíihii bił béédahózin dooígíí éí Ízrel dine'é danilį́įgo chaha'oh yii' dabighango áshłaaígíí Ííjip kéyahdę́ę́' ch'ééní'eezh . Jó , shí Bóhólniihii nihiDiyin God nishłį́ .
3:23:044:0	Áko Mózes éí Ízrel dine'é bił hojoolne'go Bóhólníihii bich'į' hodílzingo éí áłah ná'ádleeh nídajiił'aah dooleeł lá .
