3:14:001:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:14:019:0	Áádóó náá'iiłniihii éí náádi'yoołnihgo ádił ni'iidzííhjí nááhániihii diné bííłchxǫ'ii bits'ą́ą́dóó bi'didéhígíí yee yá k'ééhodoołdǫǫł , áádóó bik'ijį' didlidgo nááhániihii yidiyoołhééł .
3:14:020:0	Áko náá'iiłniihii éí didlidgo nááhániihii áádóó ak'áán nááhániihii bikáá' náá'iiniihí yikáa'jį' néidiyoołnih ; kót'éego náá'iiłniihii éí há k'ééhodoołdǫǫł índa ho'didéeh doo .
3:14:021:0	T'áá hahojoobá'ígo nááhizhdoołnihígíí bi'oshneel'ą́ągo éí dibé yázhí t'ááłá'ígo jidoołtééł ; doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii át'éego náásee bił nídi'dilnihgo nááhizhdoołnih , áko há k'ééhodoodǫǫł , áádóó ómer bee í'neel'ąąhí bee ak'áán dibahí t'ááłáhídi haaką́ągo éí ak'ah bił ałtahgo áádóó bąąh ha'íízhahí bii' ak'ah hadeezbingo nááhizhdoołnih .
3:14:022:0	Áádóó hasbídí naakigo , doodaii' hasbídí łigaii yázhí naakigo t'áá shójoost'e'ígíí t'ááłá'ígo éí ádił ni'iidzííhjí nááhizhdoołnih índa ła'ígíí didlidgo nááhizhdoołnih .
3:14:023:0	Áádóó éí tseebíí yiską́ągo náá'iiłniihii baazhdoojihgo ho'didéhígíí biniyé níbaal bii' dahozdísinii bich'éédą́ą'jį' Bóhólníihii binááł nááhidoonih .
3:14:024:0	Áádóó náá'iiłniihii éí dibé yázhí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii áádóó ak'ah yíkánígíí nááyiiłniihgo Bóhólníihii binááł náásee bił nídi'dilnihgo néidiyoołnih .
3:14:025:0	Áko dibé yázhí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii yidiyoołhééł áádóó náá'iiłniihii éí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii bidił ła' néididookááł ; éí bi'didéehgo ábi'dilnéhígíí bijaa' nish'náájí yaa ninít'i'ígi áádóó bílátsoh nish'náájí índa bikétsoh nish'náájí dah deidiyoołchih .
3:14:026:0	Áádóó náá'iiłniihii éí nishtł'ají bílák'eejį' ak'ah ła' yeidooziłgo
3:14:027:0	náá'iiłniihii bíla' nish'náájí yee nishtł'ajį' bílák'eejį' ak'ah yiih nídílchi'go Bóhólníihii binááł tsosts'idi iidoołtah .
3:14:028:0	Áádóó náá'iiłniihii éí ak'ah bílák'ee siziidígíí ła' diné bi'didéhígíí bijaa' nish'náájí yaa ninít'i'ígi áádóó bílátsoh nish'náájí índa bikétsoh nish'náájí éí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii bidił yee dah dayiiłchii' yę́ęgóó ak'ah yąąh íidoolííł .
3:14:029:0	Ákohgo náá'iiłniihii bílák'eegi ak'ah yidziihígíí éí diné bi'didéhígíí bitsiit'áagi yąąh íidoolííł , áko Bóhólníihii binááł há k'ééhodoodǫǫł .
3:14:030:0	Áádóó hasbídí , doodaii' hasbídí łigaii yázhí t'áá shójoost'e'ígíí ła' nááhizhdoołnih .
3:14:031:0	T'áá shójoost'e'ígíí éí ła' ádił ni'iidzííhjí nááhániihii át'éego áádóó ła'ígíí éí didlidgo nááhániihii át'éego ak'áán nááhániihii biłgo nááhizhdoołnih , áko náá'iiłniihii éí diné ho'didéhígíí Bóhólníihii binááł há k'ééhodoołdǫǫł .
3:14:032:0	Díí éí kót'éego naałniih łóód ats'íís yiyáanii naałdzidii hodoolna'ii há bee haz'áanii át'é ; éí ho'didééh biniyé nááhizhdoołnihígíí t'áá bi'oshneel'áanii há át'é .
3:14:033:0	Áádóó Bóhólníihii éí Mózes índa Éran yich'į' haadzíi'go ííłní ,
3:14:034:0	Kéyah Kéínan hoolyéego danihíí' dooleełgo nihaa dinish'aahígíí biih woonáago éí kéyah nihíí' dooígíí bikáa'gi kin ła' biyi'gi łóód ats'íís yiyáanii háíłnii'go
3:14:035:0	éí haghan ílíinii náá'iiłniihii baazhdoogáałgo kóbizhdidooniił , Kin bii' naałniih hólǫ́ǫgi át'é nisin .
3:14:036:0	Náá'iiłniihii naałniih t'ah doo yiníł'į́į́góó , Kin bii' naaznilígíí ałtso ch'ídahohjááh , hodidooniił ; kót'éego kin bii' naaznilígíí t'áá ałtso doo t'óó baa'ih dadooleeł da áádóó bik'ijį' índa náá'iiłniihii yah adoogáałgo kin yidínóoł'įįł .
3:14:037:0	Áko naałniih yinéeł'į́į'go , jó , naałniihígíí éí kin bá nástł'inígíí biták'izgóó tátł'id nahalinígíí yee yidiiłtł'iizhgo , doodaii' yiyiiłchíi'go binídahasdzą́ągo áádóó t'áadoo bahat'aadí daabąąhgo
3:14:038:0	éí náá'iiłniihii kindę́ę́' ch'éédoodáałgo tsosts'id yiską́ąjį' kin déidi'doołkał .
3:14:039:0	Áádóó tsosts'id yiską́ągo náá'iiłniihii náádoodáałgo kin néidínóoł'įįł ; jó , hont'ahgóó naałniih k'ee'ąą deeshzhiizhgo
3:14:040:0	náá'iiłniihii éí , Naałniih tsé bąąh hólónígíí nahjį' hadaohnííł , hodidooniił áádóó kin haal'á bits'áhwiiní'ą́ądi doo yá'át'éehii kódaal'į́įjį' yadahooheeh ,
3:14:041:0	áádóó , Kin biyi'dę́ę́' bídaohaas , hodidooniił áádóó ítł'inígíí biták'izdę́ę́' łeezh bąąh naagazígíí kin haal'á bits'áhwiiní'ą́ądi doo yá'át'éehii kódaal'į́įjį' yadahooheeh .
3:14:042:0	Áko tsé nahjį' hadeiznilí góne' tsé náánáła' anídeidiyoo'niłgo hashtł'ish náánáła' yee kin biyi'dę́ę́' nídeidoodlish .
3:14:043:0	Áádóó kin bii'dóó tsé nahgóó kójiilaago índa bídzííghazgo níjízhdléézh yę́ędóó bik'ijį' éí kin bii' naałniih hanáánááłnii'go
3:14:044:0	náá'iiłniihii doogáałgo yidínóoł'įįł , áko jó , naałniih kin góne' k'ee'ąą deeshzhiizh lágo éí łóód ats'íís yiyáanii naałdzidii kin góne' hólǫ́ ; éí t'óó baa'ih .
3:14:045:0	Áko éí kin táidoo'nił ; tsé áádóó tsin neheeshjíí' índa hashtł'ish bee kin náshdlézhígíí t'áá át'é éí kin haal'á bits'áhwiiní'ą́ą́góó doo yá'át'éehii kódaal'į́įjį' yadeidiyooyééł .
3:14:046:0	Náá'áłdó' t'áá háiida kin dá'deelkaal yę́ędą́ą́' ákóne' yah ajííyáhígíí éí i'íí'ą́ąjį' doo ho'didoodah da .
3:14:047:0	T'áá háiida éí kin góne' jineeztį́įgo éí ha'éé' jidoogis , áádóó t'áá háiida éí kin góne' ajííyą́ą'go éí ha'éé' jidoogis .
3:14:048:0	Nidi náá'iiłniihii yah ííyáago yinééł'į́į'go nít'éé' ; jó , kin náshdléézhdóó bik'ijį' naałniihígíí kin góne' t'áadoo hanáánááłnii'góogo náá'iiłniihii éí kinígíí , Bi'díídee' , didooniił , háálá naałniih bąąh ásdįįd lá .
3:14:049:0	Áko kin bi'didoodah biniyé tsídii naakigo áádóó dilk'is áádóó na'at'ą́hí łichxí'ígíí índa ch'il hísap wolyéhígíí néididoonił .
3:14:050:0	Áádóó tsídii t'ááłá'ígo tó nílínídę́ę́' tóhígíí hashtł'ish łeets'aa' bee siką́ągo bik'ijį' yidiyoołhééł .
3:14:051:0	Ákohgo dilk'is áádóó ch'il hísap wolyéhígíí áádóó na'at'ą́hí łichxí'ígíí índa tsídii hinánígíí néididooniłgo éí tsídii seesyínígíí bidił áádóó tó biyi'jį' dił náána'ígíí yiih yił didoolchiłgo kinígíí tsosts'idi yik'íidoołtah .
3:14:052:0	Kót'éego kin yidi'doołdah biniyé tsídii bidił tó biłgo áádóó tsídii hinánígíí áádóó dilk'is áádóó ch'il hísap wolyéhígíí índa na'at'ą́hí łichxí'ígíí yee yidiłdéeh doo .
3:14:053:0	Nidi tsídii hinánígíí éí kin haal'á bits'áhwiiní'ą́ąjį' halgaigóó yiididoochił ; kót'éego kinígíí bá k'ééhodoodǫǫłgo bi'didéeh doo .
3:14:054:0	Díí bee haz'áanii éí naałniih łóód ats'íís yiyáanii naałdzidii ał'ąą át'éii t'áá ałtso índa łóód ílch'iiłígíí bá át'é ,
3:14:055:0	áádóó łóód ats'íís yiyáanii naałdzidii éé' bąąh naałniihii áádóó kin bąąh naałniihii
3:14:056:0	áádóó ąąh hadzííyáii áádóó łóód bisgą'ii índa dah yiigaiígíí bá át'é .
3:14:057:0	Díí bee na'nítin doo : doo bi'didéehii , doodaii' bi'didéehii baa ákohwiindzin ; díí éí łóód ats'íís yiyáanii naałdzidii biniyé bee haz'áanii át'é .
