45:4:001:1	Éíbraham áát'įįdii bee na'nitin
45:4:015:0	Háálá bee haz'áanii Mózes baa deet'áanii doo bik'eh dahojíł'íinii Diyin God t'óó báhádzidgo bibee até'él'íinii yee atíhodoolííł , nidi bee haz'áanii ádingo doo hitíih da doo nít'éé' .
45:4:016:0	Éí bąą Éíbraham bi'oodlą' binahjį' ba'áłchíní náás da'ahidoolchíłígíí t'áá ałtso t'áádóo nídí Diyin God yee bá nihoní'áanii bíí' dadooleeł biniyé Diyin God bibee ajooba' yee bá nihoní'ą́ . Jó , bee haz'áanii bik'eh ádajít'éhígíí doo éí t'éiyá da , nidi Éíbraham hwe'oodlą' bik'ehgo joogááł yę́ęgi át'éego hwe'oodlą' bik'ehgo dajíkáahii ałdó' hwíí' dadooleeł . Háálá da'iiniidláanii t'áá áníiltso Éíbraham yę́ę nihizhé'é jílį́ .
45:4:017:0	Éíbraham éí Diyin God joodlánígíí bidááhdóó dzizį́įgo , Ał'ąą dine'é bizhé'é nílį́įgo ániishłaa , níigo bee há hoo'a' , t'áá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego . Diyin God éí daneeznáanii dahináago ánídeidle' , índa doo hólóonii dahólǫ́ǫgo ádeile' .
45:4:018:0	Áko ał'ąą dine'é t'óó ahayóí bizhé'é jidooleeł ch'ééh bíká hoł chohoo'į́ , ákondi bíká hoł chohoo'į́ . T'áá na'áłchíní ahoolchíiłii lą'í dooleeł , ho'doo'niidii ts'ídá joodlą́ .
45:4:019:0	Neeznádiin honááhai nidi hats'íís k'adę́ę daatsaahgo doo baa nitsídzíkees da , áádóó Sarah doo ałchíi daígíí ałdó' doo baa nitsídzízkéez da , nidi hwe'oodlą' t'áadoo łahgo ádzaa da .
45:4:020:0	Hwe'oodlą' t'áadoo hats'ą́ą́' niitł'áhí Diyin God yee há nihoní'ánígíí t'áádóo nídí nijólí , áko Diyin God baa hojiniihgo hwe'oodlą' bee hadziil dzizlį́į́' .
45:4:021:0	Diyin God yee nihoní'ánígíí ła'yidoolíiłgo yíneel'ą́ jinízingo ts'ídá doo hoł naaki nilį́į da .
45:4:022:0	Éí bąą hwe'oodlą' bee ts'ídá t'áá ákogi át'éii dzizlį́į́' , hałníigo Diyin God há haadzíí' .
45:4:023:0	Ts'ídá t'áá ákogi át'éii dzizlį́į́' , níigo bee ak'e'ashchínígíí doo t'áá hó t'éiyá há bee ha'oodzíi' da ,
45:4:024:0	nidi nihí ałdó' nihá bee ha'oodzíí' . Nihí Jesus nihiBóhólníihii daaztsą́ą́dę́ę́' néidiisáii deiniidlánígíí ts'ídá t'áá ákogi ádaniit'éego ałdó' nihá ha'doodzih .
45:4:025:0	Doo ákǫ́ǫ́ ádeiit'įįdii biniinaa Jesus ho'diisyį́ , índa t'áá ákogi ádaniit'éego nihá ha'doodzih biniyé dadziztsą́ą́dę́ę́' nááho'diilzá .
