45:9:001:1	Diyin God éí Ízrel dine'é néidiinil
45:9:012:0	Rebékah áyidííniid , Alą́ąjį'ígíí éí akéédę́'ígíí yá naal'a' doo .
45:9:013:0	T'áá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego , Jéíkab ayóó'óósh'ní , nidi Íisa éí jiiséłxáá' .
45:9:014:0	Ákoshą' ha'át'íí dadidii'niił ? Diyin God daats'í doo ákwii át'éégóó áánííł ? Ts'ídá dooda lą́ą !
45:9:015:0	Háálá Mózes ííłní , T'áá háiida baa jiideeshbaałii éí baa jooshba' doo , áádóó t'áá háiida baa a'ááh dínéesįįłii éí baa a'ááh nisin doo .
45:9:016:0	Áko diné t'áá hó íiznízinii índa ájooníiłii bik'ehgo éí Diyin God doo náhodiiłteeh da , nidi t'áá bí haa a'ááh niizį́į'go t'éiyá náhodiiłtééh .
45:9:017:0	Háálá Diyin God bizaad bee ak'e'ashchíinii biyi'dóó Féro kwííłní , Nidi t'áá aaníí díí biniyé aláahgo naat'áanii ániishłaa ; ninahjį' shibee adziilii bééhózingo ádeeshłííłáádóó nahasdzáán bikáá'góó shízhi' baa hane' doo .
45:9:002:1	Diyin God hashkénídzin áádóó aa a'ááh nízin
45:9:018:0	Áko Diyin God t'áá bí nízinígíí yaa a'ááh hiniizįįh , áádóó t'áá bí nízinígíí bízhą́ da'ílį́įgo áyósin .
45:9:019:0	Nihí ła' áshididoohniił , Diyin God t'áá hó íiznízinígíí t'éiyá bik'ehgo diné ááníiłgo , ha'át'íishą' biniyé t'ahdii bik'íhoji'ááh ? Jó , háishą' íiznízinígíí yich'į' naaldzilgo yíneel'ą́ ?
45:9:020:0	Nidi shik'is nílíinii , t'óó diné nílíinii , Diyin God bidááh yáníłti'go háishą' ásht'į́ nínízin ? Da' hashtł'ish łeets'aa'ásh diné ábiilaii áyididooniił , Ha'át'íí biniyé kót'éego áshiinilaa ?
45:9:021:0	Hashtł'ish łeets'aa' ííł'íinii hashtł'ish t'ááłá'íígíí bits'ą́ą́dóó łeets'aa' ílíinii áádóó łeets'aa' t'áá bóhólníhígíí íidoolíiłgo bee bóhólnííh .
45:9:022:0	T'áá ákót'éego Diyin God t'óó báhádzidgo atí'deeshłííł índa shidziil ayóó át'éii ííshjání ádeeshłííł nízingo , t'óó báhádzidgo diné atíidoolíiłgo yá nihwiiz'ą́ą́ nít'éé' yę́ę t'óó nízaadgóó yich'į' ha'oosniidgoshą' hait'ée doo ?
45:9:023:0	Bee ayóó ánísht'éii yit'íní ádeeshłííł nízingo , t'áá bítséedi yee ayóó át'éii nihee dahodooleełgo hasht'e'ninihinínilii nihaa a'ááh nízinii yee nihilááh neel'ą́ .
45:9:024:0	Jó , nihí nihíká ázhdííniidii daniidlį́ , doo t'áá hazhó'ó Jew dine'é bitahdóó t'éiyá da , nidi doo Jew dine'é danilíinii bitahdóó ałdó' nihíká ázhdííniid .
45:9:025:0	Hozéíya wolyéii binaaltsoos biyi' ánínígi át'éego : Doo shidine'é danilį́į da yę́ę shidine'é bidideeshniił , áádóó doo ayóó'ádaósh'níi da yę́ę ayóó'ádaósh'níinii bidideeshniił .
45:9:026:0	Áádóó ákót'ée dooleeł , Shidine'é doo danohłį́į da , bi'doo'niidiits'ídá t'áá éí haz'ą́ągi , Diyin God hináanii ba'áłchíní danilį́ bi'di'níi dooleeł .
45:9:027:0	Áádóó Aizéíyah wolyéii Ízrel dine'é yaa yáłti'go yee haadzíí' , Azhą́ Ízrel ba'áłchíní tónteel bibąąhgóó séíigi ánéelą́ą' nidit'áá díkwííhígo t'éiyá yisdádoo'nił ,
45:9:028:0	háálá nahasdzáán bikáa'gi Bóhólníihii yee aa nídóot'įįłii t'áadoo ła' ááhásįįhíts'ídá t'áá ákoh góne' tsį́įłgo ałtso ła'yidoolííł .
45:9:003:1	Ízrel dine'é hane' yá'át'éehii doo bił adaaníi da
45:9:029:0	T'ah doo áhánééhdą́ą́' Aizéíyah yee haadzíí' yę́ęgi át'éego , T'áá ałtsoní bee Bóhólníihii nihidine'é doo ła' ánéisįįdgóogo , Ízrel dine'é daniidlíinii Sádam índa Gomárah dine'é ábi'disdįįd yę́ęgi ádaniit'ée doo nít'éé' .
45:9:030:0	Ákoshą' ha'át'íí dadidii'niił ? Jó , kódadidii'niił , Doo Jew dine'é danilíinii ts'ídá t'áá ákogi ádaat'éii doo hádaat'į́į da nidi Jesus dayoodlą́ągo yaa dadzólíigo ts'ídá t'áá ákogi ádaat'é daazlį́į́' ,
45:9:031:0	nidi Ízrel dine'é t'éiyá , bee haz'áanii bik'eh dahoniil'į́įgo ts'ídá t'áá ákogi ádaniit'ée dooleeł danízin nít'éé' , ákondi éí yee ts'ídá t'áá ákogi át'éii ch'ééh yíká ádáát'įįd .
45:9:032:0	Ha'át'éegoshą' ? Jó , Jesus doo dajoodlą́ą́góó bee haz'áanii binahjį' ch'ééh ádajíít'įįdgo éí bąą . Tsé bik'ee dazhdidoogohii biniinaa dazdeezgo' .
45:9:033:0	Diyin God bizaad bee ak'e'ashchíinii éí tsé yaa halne'go kóní : Jó'akon , Záíyangi tsé biniinaa dazhdidoogohii ninish'aah . Tsé biniinaa ádił ayoolzihii át'é . Nidi hoodlą́ągo haa dzólíhígíí dooyaa yánízingóó ábidi'doolnííł .
