45:15:001:1	T'áadoo t'áá ádííghahígo ádił dahonohshóní
45:15:010:0	Áádóó ánáádí'ní : Doo Jew dine'é danohłíinii , Diyin God bíí' danilíinii bił nihił dahózhǫ́ !
45:15:011:0	Áádóó náá'áłdó' : Doo Jew dine'é danohłíinii , t'áá ánółtso Bóhólníihii baa dahohniih , ał'ąą dine'é danohłíinii , yéego Bóhólníihii baa dahohniih doo !
45:15:012:0	Índa Aizéíyah ánáádí'ní : Jésii bihétł'óól nilíinii ła' doogááł . Éí doo Jew dine'é danilíinii binazhnit'áa dooleeł biniyé jidoogááł . Doo Jew dine'é danilíinii hwee bił chodahoo'į́į doo .
45:15:003:1	Paul éí hane' yá'át'éehii yaa hodoolnih biniyé bi'dool'aad
45:15:013:0	Níłch'i Diyinii bibee adziilii binahjį' yéego nihił chodahoo'į́į doo biniyé Diyin God bee nihił chodahoo'íinii deinohdlą́ągo t'áá yíní át'éegi nihił dahózhǫ́ǫgo , índa k'é danohdzingo ánihósin le' .
45:15:014:0	Shik'isóó , t'áá íiyisí yá'át'éehgo ádanoht'é , índa t'áá ałtsojį' nihił éédahózin , índa nida'ahinohtingi bídanooł'ą́ągo ts'ídá doo shił naaki nilį́į́góó shił bééhoozin .
45:15:015:0	Nidi béénihiishnííh biniyé łahgo nahaz'áanii t'áadoo bíká sísti'í bee nihich'į' ak'eda'shéłchį́ , háálá Diyin God ajooba' sheidiní'ánígíí bąą
45:15:016:0	shí Jesus Christ binaal'a'í nishłį́įgo Diyin God baa hane' yá'át'éehii bee naash'a'go doo Jew dine'é danilíinii éí Níłch'i Diyinii diyingo ádabile'go Diyin God dabidínóozįįłígíí biniyé , náá'iiniih k'ehgo Diyin God baa hodideesh'ááł biniyé hoł dahashne' .
45:15:017:0	Éí bąą Christ Jesus binahjį' Diyin God bá naashnishígíí bee ádaa hash'niih .
45:15:018:0	Háálá doo t'áá k'ad ha'át'íida bee haasdzíi' da , t'áá hazhó'ó Christ shinahjį' ła'yiyiilaii t'éiyá bee hadeesdzih . Jó , éí Christ baa hweeshne'ígíí índa ásdzaaígíí bee shinahjį' doo Jew dine'é danilíinii Diyin God yik'eh dahół'į́į doo biniyé ,
45:15:019:0	áádóó Diyin God bibee adziilii bee béédahózinii índa bik'ee t'óó ił adahayóii áádóó Níłch'i Diyinii bibee adziilii bee shinahjį' doo Jew dine'é danilíinii Diyin God yik'eh dahół'į́į doo . Áko Jerúsalem hoolyéédóó Ilírikam hoolyéejį' Christ baa hane' yá'át'éehii t'áá át'é baa nahosisne' .
45:15:020:0	T'áá éigi át'éego hane' yá'át'éehii baa hashne' dooleeł nisingo bidiishkaal , diné éí Christ yee nida'neeztą́ą́'góó éí dooda , t'áá íídą́ą́' atł'ááh nástł'inii ályaa nahalingo Christ t'áá íídą́ą́' baa dahóóne'góó éí doo deesháał da ,
45:15:004:1	Paul éí Romegóó doogáłígíí yinaha'á
45:15:021:0	nidi t'áá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego : Ts'ídá t'ah doo hwee bił dahane' da yę́ę haa ákodadínóozįįł , Áádóó t'ah doo haa dahodiits'į́įh da yę́ę hak'idadi'dootį́į́ł .
45:15:022:0	Díí biniinaa nihaa deeshááł nisin yę́ę lą'ídi shidi'neestł'ah .
45:15:023:0	Nidi náásgóó kwe'é t'áadoo hane' yá'át'éehii baa nááhóshne'ígi da hazlį́į́' , áádóó lą'í nááhaídą́ą́' nihaa jóya' laanaa ch'ééh níízįįd .
45:15:024:0	Áko ákǫ́ǫ́ yisháałgo nihaa deesháałgo danihiideestséełgo shił chohoo'į́ . Spéin hoolyéégóó déyáago danihiideestsééł nisin . Áadi t'áá haa danízahjį' ahee nídasiildįįdóó bik'ijį' índa déyáágóó shíká adoohjah nihósh'ní .
45:15:025:0	Nidi k'ad Jerúsalemdi Diyin God bidiyį́į́' béeso bá naashchínígíí bich'į' díjaa' .
45:15:026:0	Háálá Masedóniyadi índa Akéyadi kéédahat'ínígíí bił dahózhǫ́ǫgo Jerúsalemdi Diyin God bidiyį́į́' danilíinii bitahgóó badahojoobá'íígíí béeso yee yíká ííjéé' .
45:15:027:0	Éí t'áá bí ádeinízingo Diyin God bidiyį́į́' yíká ííjéé' . Jó , éí t'áá aaníí bąąh hadaaz'áii danilį́ , háálá Jew dine'é danilíinii Níłch'i Diyinii bee ak'ihojidlíii éí doo Jew dine'é danilíinii bił ałts'ą́ą́' da'jíłk'iiz hazlį́į́' , áko doo Jew dine'é dajílíinii ałdó' hanaalye'é bee hak'ihodzisdli'ígíí ła' t'áá ákónéehee bee Jew dine'é bíká anízhdoojah .
45:15:028:0	Díí béeso naashchínígíí ałtso bich'į' kóshłaago índa Spéin hoolyéégóó dah diishááh , áko nihik'eh yisháał doo .
45:15:029:0	Áádóó nihaa níyáago Christ baa hane' yá'át'éehii yee ak'ijidlíii nihilááh neel'ą́ągo bił nihaa deesháałgo shił bééhózin .
45:15:030:0	Shik'isóó , nihiBóhólníihii Jesus Christ binahjį' áádóó Níłch'i Diyinii bee ayóó'áda'ahííníi'nínígíí ałdó' binahjį' nánihooshkąąh , Diyin God bich'į' shił sodadołzingo t'áá awołí bee shá sodadołzin ,
45:15:031:0	Judíyagi doo da'oodlání bits'ąą shaa áháyą́ą dooleełgo , áádóó Jerúsalemgi choideesh'įįłígíí Diyin God bidiyį́į́' bił yá'ádaat'éeh doo ałdó' biniyé shá sodadołzin .
45:15:032:0	Áádóó Diyin God íinízinii bee shił hózhǫ́ǫgo nihaa deeshááł áádóó ałk'éé dahodiiltahgo bíká sodadołzin .
45:15:033:0	Diyin God bits'ą́ą́dę́ę́' bee ach'į' hózhǫ́ náhásdlį́į'ii t'áá ánółtso nihił hólǫ́ǫ doo . T'áá ákót'ée doo .
