23:41:001:1	Bóhólníihii éí Ízrel dine'é yił chohóół'įįd
23:41:011:0	Jó , t'áá ałtso nich'į' bádahachį'ii ádaa yádadínóozįįł áádóó bíni' dadooląąłgo t'áadoo nídandlíní da doo índa yéego nich'į' nidaaldzilii ádadoodįįł .
23:41:012:0	Hanítáa doo , nidi doo bik'ídíínáał da ; nił nidaabaahgo nik'ijį' danilíinii éí t'áadoo nídandlíní da índa t'áadoo le'é t'áadoo násdlį́'ígíí nidahalin doo .
23:41:013:0	Háálá shí Bóhólníihii niDiyin God nishłíinii níla' nish'náájí yíníshtą'go kóndishníi doo , T'áadoo nił yé'í ; níká adeeshwoł .
23:41:014:0	Bóhólníihii nik'é niná'ídláii éí Ízrel dine'é biDiyin nilíinii ání , T'áadoo nił yé'í ; Jéíkab ch'osh nahonílinii áádóó Ízrel dine'é hastóí danohłíinii , nihíká adeeshwoł .
23:41:015:0	Jó , bee alghaa łí ániidíii , deeníinii biwoo' hólóonii ná ádeeshłííł ; dził naaznilii hadííłhałgo ádaałts'íísígo nihidííłhał áádóó dah daask'idii azhool nahalingo ádíílííł .
23:41:016:0	Bíidííłch'ihgo níyol yóó'adabidiyoojih , áádóó nááts'ó'oołdísii tadabiidooghas ; ni éí Bóhólníihii bee nił hózhǫ́ǫgo Ízrel dine'é biDiyin nilíinii bee nił nihoozhǫǫh doo .
23:41:017:0	Badahojoobá'íii áádóó hojooba' nahas'áanii tó hadeintáago , nidi tó ádingo dibáá' bik'ee bitsoo' nídááltseigo shí Bóhólníihii nishłíinii hach'į' éédahodeesįįł ; shí , Ízrel dine'é biDiyin God nishłíinii , doo yóó'ahodideesh'áał da .
23:41:018:0	Wódahgo nahaz'ą́ądi tooh hadaazlį́įgo áádóó dahoníteel góyaa ałníi'gi tó hadaazlį́įgo ádadeeshłííł ; honoojíigi tó siyį́įgo ádeeshłííł , áádóó hóółtseígi tó hadaazlį́įgo ádadeeshłííł .
23:41:019:0	Honoojíigi gad áádóó tsin akéísha áádóó mértal áádóó áliv daolyéhígíí k'idadideeshłééł ; halgaidi nídíshchíí' áádóó ch'ó índa tsin sáípres wolyéhígíí adadeestsih ,
23:41:002:1	Diyin dabidi'níinii éí Bóhólníihii nabíneeztą́ą́'
23:41:020:0	áko Bóhólníihii éí Ízrel dine'é biDiyin nilíinii díí yaa naayáago áádóó áyiilaago t'áá ádzíłtso deizdoołtséełgo hoł béédahodoozįįł índa baa nitsídadzikeesgo bik'idazhdidootį́į́ł .
23:41:021:0	Bóhólníihii ání , Ádá hadíídzih ; biniyéii yéego bee hadíídzih , ní Jéíkab biNanit'a'í nilíinii .
23:41:022:0	Bíni'dii ádá hadadidziihgo náásgóó áhodooníłígíí nihich'į' ííshją́ą́ ádeiilééh ; bíni'dii ałk'idą́ą́' ádahoodzaa yę́ę ha'át'íí ádaat'éego yit'íní ádeiiléehgo baa nitsídeiikees doo áádóó bee bá nidahwiizt'i' dooleełii nihił béédahodoozįįł ; éí doodaii' , ádahodooníłígíí yee nihił dahodoolnih .
23:41:023:0	Náásgóó ádahodooníłígíí nihich'į' yit'íní ádaohłééh , áko Diyin danohłį́į́ lágo nihił béédahodoozįįł ; jó , yá'át'éehii , doodaii' doo yá'át'éehii ádaahłééh , áko t'áá ła' deidiiltséełgo yéego nihąąh nidahodookał .
23:41:024:0	Shoo , t'áadoo danohłíní da , nihinaanish nidi t'áadoo nídandlíní da ; nihich'į' nidahałáhígíí éí doo daaldinii nidahaleeh .
23:41:025:0	Náhookǫsdę́ę́' diné ła' biisį'ii doogááł ; ha'a'aahdę́ę́' shízhi' yíídóozhiił áádóó hashtł'ish ásaa' ííł'íinii hashtł'ish yik'i naagháhígi át'éego naat'áanii danilíinii éí hashtł'ish ditłée'ii nidahojílingo yik'i nidoogaał .
23:41:026:0	Hodeeshzhiizhdę́ę́' áádóó t'áá bítséedi háísh díí yee nihił hoolne' , áko nihił béédahózin doogo ádadidii'niił , Éí t'áá ákogi át'éii nilį́ ? T'áá aaníí , doo ła'da nihich'į' yit'íní áyiilaa da , t'áá aaníí , nihił hodoolnihii ádin , t'áá aaníí , doo ła'da nizaad yiyíists'ą́ą' da .
23:41:027:0	Shí átsé Záíyan ábidideeshniił , Níníł'į́ , níníł'į́ , áko hane' yá'át'éehii yaa halne'ii Jerúsalem baa dideesh'ááł .
23:41:028:0	Áádóó déé'į́į'go doo ła'da yiiłtsą́ą da ; bitahgóó déé'į́į' nidi kót'éego níinii ádin , áko nideídééłkidgo shich'į' hadadoodzihgo doo yídaneel'ą́ą da .
23:41:029:0	Jó , t'áá ałtso t'áadoo nídandlíní da ; binaanish nidi t'áadoo biniyéhí da ; doolyį́į'go bi'eda'alyaii éí níyol áádóó ił dahółą́ .
