23:49:001:1	Bóhólníihii binaal'a'í éí ał'ąą dine'é yá adiníłdíin doo
23:49:010:0	Doo dichin áádóó dibáá' danilį́į da doo , doo nidi hadoh áádóó jį́honaa'éí bee bił nidadoołdoh da , háálá baa a'ááh nízinii éí boo'ish doo ; t'áá éí tó hadaazlį́į́góó bá yigáał doo .
23:49:011:0	Áádóó shidził daní'áágóó t'áá ałtso atiingo áhodeeshłííł , índa shida'nítiinígíí wódahgo ádadoolnííł .
23:49:012:0	Jó , díí nízaadę́ę́' ninádahidookah áádóó shoo , díí náhookǫs áádóó e'e'aahdę́ę́' índa Sáínim kéyahdę́ę́' éí ninádahidookah .
23:49:013:0	Yá biyi'di hiníláii danohłíinii , dahohtaał ; nahasdzáán bikáa'gi dahonohłóonii , nihił dahózhǫ́ ; dził danohłíinii , sin hadadoh'aah , háálá Bóhólníihii bidine'é yił náhóóshǫǫd índa bich'į' nidahwii'náanii yaa a'ááh dínóozįįł .
23:49:014:0	Nidi Záíyan ání , Bóhólníihii yóó'ashidíí'ą́ áádóó shiBóhólníihii shaa yooznah .
23:49:015:0	Da' asdzáníísh be'awéé' biłt'o'ii t'áá yeidiyoonah , áko biyáázh yishchíiniísh doo yaa a'ááh nízin da ? Aoo' , éí shį́į́ yaa deidiyoonah , nidi shí éí ts'ídá doo neidiyeeshnah da .
23:49:016:0	Shílátł'áahgi ni'iishłaa , jó'akon ; ninaa ahééda'astł'inii t'áá áłahjį' yish'į́ nahalin .
23:49:017:0	Nidine'é tsį́į́ł danilį́ , áádóó ánísdįįdii índa t'óó nee nidaazne'ii nits'ą́ąjį' dah didookah .
23:49:018:0	Ádínaagóó nanighalgo díní'į́į́' ; díí t'áá ałtso ahíhiikáahgo naa hikááh . Bóhólníihii ání , Hinishná ; t'áá ákót'éego ts'ídá t'áá aaníí , t'áá ádzíłtso yoo' niłchiní bee na'ázhdeeshch'ąą'ígi át'éego hwee hadidíínííł índa bá'iigehii ééh yíyá nahalingo ádídahodiyííłtł'óół .
23:49:019:0	Jó , t'áadoo biniyéhígóó nahaz'ánígóó índa doo nidaagháhígóó áádóó kéyah bii' ánihi'disdįįdígóó k'ad ahineestihgo kééhat'į́įgo bąą doo bíhóoghah da áádóó adanisna'ii éí nízaadi dahólǫ́ǫ doo .
23:49:020:0	Áłchíní nits'ą́ą́' ásdįįdígi , bikéédę́ę́' na'áłchíní náádadoodleełígíí nił dahodoolnihgo ánáádandidoo'niił , Kwe'é doo shihóóghah da ; łahgo shaa hodiní'aahgo ákwii kééhasht'į́į doo .
23:49:021:0	Áko nijéí biyi'di ádidííniił , Sha'áłchíní shits'ą́ą́' ábidisdįįdgo áádóó ałtso shąąh áhásdįįdgo yisnááh nishłį́įgo índa t'áá áhoodzaadi tádísháahgo , dííyee' háishą' bá niheezhchį́ ? Dííyee' háishą' néidiiłjéé' ? T'áá shí t'éí ch'ééyáá nít'éé' , áko díishą' háádę́ę́' neheeskai ?
23:49:022:0	Bóhólníihii Diyin God kóní , Ał'ąą dine'é bich'į' k'ídideeshnih , jó'akon , áádóó dine'é danilíinii shidah na'at'a'í bá dah dideestsos índa niyáázhké nideidiyoojih áádóó nich'é'éké biwosgi dah naazdáago nideidiyoojih .
23:49:023:0	Áádóó aláahgo naat'áanii nizhé'é danilį́įgo nihada'ałtso' doo áádóó asdzą́ą́ naat'ááh éí nimá danilį́įgo nihaa ádahalyą́ą doo ; ni'jį' nihéédadíníit'áahgo nihich'į' yaa áńdaat'įįh doo , índa nihikee' bąąh łeezh dibahí deiłnaad doo , áádóó Bóhólníihii nishłį́įgo nihił béédahodoozįįł , áko shiba' ádaat'éii doo ádaa yádandzin da doo .
23:49:024:0	Da' diné hayóii shóyoost'e'iísh bigha doo'nił , éí doodaii' da' daasnáaniísh béédidoochił ?
23:49:025:0	Nidi Bóhólníihii kóní , Diné hayóii éí yisnáanii ts'ídá bits'ą́ą́' nídidoo'nił índa diné t'óó báhádzidii shóyoost'e'ii bigha doo'nił , háálá nił ahigáanii éí bił ahideeshgą́ą́ł ; na'áłchíní éí yisdádeeshnił .
23:49:026:0	Áko nide ádahósinii éí t'áá hó dahatsį' nídahodiyeesį́į́ł áádóó wáin łikanígi át'éego t'áá hó dahadił hoł nídahodínóołdoh índa ats'íís t'áá ałtso shí Bóhólníihii niYisdá'iiníiłii índa niK'é Niná'ídláii , Jéíkab biDiyin God Ayóó'ábóodziilii nishłį́įgo bił béédahodoozįįł .
