23:36:001:1	Senákerib wolyéii éí anaa' hasłį́į́'
23:36:011:0	Nít'éé' Iiláíyakim áádóó Shébna índa Jó'ah éí Rábshakeh ádeiłní , T'áá shǫǫdí , ná nidaal'a'í bich'į' Síriya dine'é bizaad bee yáníłti' , háálá éí dadiits'a' ; Jew dine'é bizaad éí t'áadoo bee nihich'į' yáníłti'í , áko tsé ahénátł'inígíí bikáá'dę́ę́' diné doo dandidoots'į́įł da .
23:36:012:0	Nidi Rábshakeh ání , Shinanit'a'íísh nihinanit'a'í áádóó nihí nihich'į' hadeesdzihgo biniyé shííł'aad ? Tsé ahénátł'inígíí bighą́ą'di diné dah naháaztánígíí da' éísh doo bich'į' shi'dool'aad da ? Áko t'áá bí dabichaan áádóó dabilizh bił nídadíídį́į́ł .
23:36:013:0	Áko Rábshakeh yiizį'go ayóó íits'a'go Jew dine'é bizaad yee haadzíi'go ání , Asíriya dine'é aláahgo binanit'a'í ayóó át'é nanit'a'í nilíinii yee hahaasdzí'ígíí dadoohts'į́į́h .
23:36:014:0	Éí aláahgo naat'áanii kóní , T'ááká Heziikáíyah nihi'dóleeh lágo , háálá éí yisdánihidoojihígíí doo yíneel'ą́ą da .
23:36:015:0	Áádóó Heziikáíyah éí Bóhólníihii baa dadzíínóhłíigo ánihólééh lágo , kóníigo , Bóhólníihii t'áá aaníí yisdánihidoonił ; díí kin haal'áii Asíriya dine'é aláahgo binanit'a'í doo baa didoot'áał da .
23:36:016:0	Heziikáíyah t'áadoo deísółts'ą́'í , háálá Asíriya dine'é aláahgo binanit'a'í kóní , Aa doolyéełii bee shił lą́ da'ohłeehgo wóshdę́ę́' shich'į' ch'ínóhkááh , áádóó t'ááłá'í nootínígo nihich'il na'atł'o'ii áádóó nihifig sikaadii bąąhdóó da'ohsą́ą doo áádóó t'ááłá'í nootínígo nihito' bá na'az'ą́ą́dóó da'ohdlą́ą doo ;
23:36:017:0	kéyah t'áá nihí nihikéyah nahalingo , kéyah bikáá' tł'oh naadą́ą́' áádóó wáin ániidíii hólóníjį' índa kéyah bikáá' bááh áádóó ch'il na'atł'o'ii hólǫ́ǫjį' anihideesh'ish biniyé nisháahjį' ákódanoht'ée doo .
23:36:018:0	Hada'ísídół'į́į́' , áko Heziikáíyah nihi'dóleeh lágo kóníigo , Bóhólníihii éí yisdánihidoojih . Ał'ąą dine'é bidiyin danilíiniísh ła' dahakéyah Asíriya dine'é aláahgo binanit'a'í yighadeideest'ą́ ?
23:36:019:0	Héímath kin haal'áádóó índa Árpad kin haal'áádóó dabidiyinii éí háájí ? Séfarvéíyim kin haal'áádóó dabidiyinii éí háájí ? Da' éísh Samériya kéyah shighadeideest'ą́ ?
23:36:020:0	Kédaayahdóó dadiyin t'áá ałtso bitahdóó háídíígíishą' hakéyah shighaideet'ą́ , áko Bóhólníihii éí Jerúsalem doo shighaididoot'áał da ?
23:36:021:0	Nidi dine'é dadéesxéelgo saad t'ááłá'í nidi , t'áadoo yee yich'į' hadaasdzíi' da , háálá aláahgo naat'áanii haadzíi'go ání , Doo bich'į' háádadoohdzih da .
23:36:022:0	Áko Hilkáíyah biye' , Iiláíyakim éí aláahgo naat'áanii bighan bee bóhólníhígíí áádóó Shébna éí naaltsoos ííł'íní índa Jó'ah éí naat'áaniishchíín ák'inda'iisdláadgo Heziikáíyah yaa yíkai áádóó Rábshakeh bizaad yee yił dahoolne' .
