27:2:001:1	The King’s Forgotten Dream
27:2:041:0	In that you saw the feet and toes , partly of potter’s clay and partly of iron , it will be a divided kingdom ; but it will have in it the toughness of iron , inasmuch as you saw the iron mixed with common clay .
27:2:042:0	As the toes of the feet were partly of iron and partly of pottery , so some of the kingdom will be strong and part of it will be brittle .
27:2:007:1	The Divine Kingdom
27:2:043:0	And in that you saw the iron mixed with common clay , they will combine with one another in the seed of men ; but they will not adhere to one another , even as iron does not combine with pottery .
27:2:044:0	In the days of those kings the God of heaven will set up a kingdom which will never be destroyed , and that kingdom will not be left for another people ; it will crush and put an end to all these kingdoms , but it will itself endure forever .
27:2:008:1	Daniel Promoted
27:2:045:0	Inasmuch as you saw that a stone was cut out of the mountain without hands and that it crushed the iron , the bronze , the clay , the silver and the gold , the great God has made known to the king what will take place in the future ; so the dream is true and its interpretation is trustworthy . ”
27:2:046:0	Then King Nebuchadnezzar fell on his face and did homage to Daniel , and gave orders to present to him an offering and fragrant incense .
27:2:047:0	The king answered Daniel and said , “ Surely your God is a God of gods and a Lord of kings and a revealer of mysteries , since you have been able to reveal this mystery . ”
27:2:048:0	Then the king promoted Daniel and gave him many great gifts , and he made him ruler over the whole province of Babylon and chief prefect over all the wise men of Babylon .
27:2:049:0	And Daniel made request of the king , and he appointed Shadrach , Meshach and Abed-nego over the administration of the province of Babylon , while Daniel was at the king’s court .
