43:8:001:1	Tr'injaa Vakai' T'inchy'aa Kwaa Giiky'aanjik
43:8:049:0	“Shizhit ch'anky'aa iizųų kwaa t'oonchy'aa,” Jesus gavahnyąą, “Shiti' hooł'e', gaa nakhwan ąįį shahooh'ee kwaa. 
43:8:050:0	Sharahoh'e' yiihthan kwaa, gaa ch'ihłak zhrįh sharahoh'e' yiindhan, ts'ą' adan ąįį jidii gwiizųų akwat gwinzii haa heenjyaa. 
43:8:051:0	Jii t'ee łyaa łi'didlii. Juu shik'eegwahthat t'ee duuyeh niighit.” 
43:8:052:0	Israel nąįį jyaa giiyahnyąą, “Et'ee nizhit ch'anky'aa iizųų dhidii naagwiindaii! Abraham chan niindhat, yeenii Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį chan niinjik, googaa gwiizhit jyaa diinyąą, ‘Juu shik'eegwahthat t'ee duuyeh niighit.’ 
43:8:053:0	Diilak Abraham chan ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį niinjik. Abraham vandaa t'agwahtsii sheegoo'aii diinyąą lee t'iinyąą? Jidii ihłii niindhan?” 
43:8:054:0	Jesus jyaa gavahnyąą, “Ideenjit zhrįh yinjiihooh'ee ji', ąįį yeenjihooh'ee giilį' nilii. Shiti' sheeyinjihił'ee. Ąįįt'ee nakhwan chan Vit'eegwijyąhchy'aa vohnyąą reh. 
43:8:055:0	Ch'ihłok gaa vaakhwandaii kwaa gaa shįį ąįį gwinzii vaashandaii. Vaashandaii kwaa dihnyąą ji' t'ee nakhwak'it oohihts'it. Gaa vaashandaii ts'ą' viginjik k'eegwałthat. 
43:8:056:0	Nakhwalak Abraham nijin drin shahąąh'yaa ji' geenjit shoo nilii, ch'adąį' gwąąh'ya' ts'ą' shoo dhidlit.” 
43:8:057:0	Jews nąįį jyaa giiyahnyąą, “Tth'aii googaa 50 years old inlii kwaa gwiizhit Abraham nah'ya'?” 
43:8:058:0	“Łi'didlii haa giihkhii! Abraham vehkii dąį' gwats'an Shįį Ihłii!” Jesus gavahnyąą 
43:8:059:0	Kii giiyeenjit teegwįłjik gaa Jesus gweentak Kharigidiinjii Zhee Gwachoh cheehoozhii.
