43:9:001:1	Jesus, Dinjii Vandee Kwaa Haagweech'in Neegwiłtsąįį
43:9:022:0	Ąįį viyehghan nąįį Israel kįh dilk'ii nąįį agąąnjat geh'an jyaa diginyąą t'iginyąą, ąįį juu Jesus ąįį Christ t'inchy'aa nyąą t'ee Israel tr'igiinkhii zheh cheerahahchyaa ch'adąį' ginyą' geh'an. 
43:9:023:0	Izhit geh'an t'ee “Vaghaii lęįį t'inchy'aa ts'ą' oohkat!” googahnyąą. 
43:9:024:0	Chan hee ąįį dinjii vandee kwaa iinli' chy'aa aanaii giiyahnyąą ts'ą' jyaa giiyahnyąą “Vit'eegwijyąhchy'aa vandah łi'didlii haa geegwandak! Jii dinjii vatr'agwaanduu gwanlii ts'ą' vaagwiindaii.” 
43:9:025:0	“Vatr'agwaanduu gwanlii akwat vatr'agwaanduu gwakwaa ji' gaa vaashandaii kwaa t'inchy'aa,” ąįį dinjii nyąą. “Ch'ihłak gwizhrįh gaashandaii, shandee kwaa gwiili' gaa juk shaagweech'in neegakhwadlit.” 
43:9:026:0	“Deeniinlik? Nats'ąą naagweech'in neegwiłtsąįį?” giiyųąhkat. 
43:9:027:0	“Ch'adąį' nakhwaagwaldak t'oonchy'aa, gaa khų' ch'oodǫǫhk'įį. Jaghaii chan hee geenakhwaagwaldak yuuhthan? Nakhwan chan vitsyaa ǫhłį' nohthan?” gavahnyąą 
43:9:028:0	Ąįįts'ą' shruk haa giits'ą' khaginkhee, “Ąįį dinjii vitsyaa iinlii; diikhwan ąįį vitsyaa tr'iinlii. 
43:9:029:0	Vit'eegwijyąhchy'aa, Moses ts'ą' giinkhe' gaagwiindaii; ąįį dinjii t'avaiinyąą, nijin gwats'an tr'iinzhii gaa vaagwiindaii kwaa t'inchy'aa!” 
43:9:030:0	Ąįį dinjii jyaa gavahnyąą, “Łyaa shandaa t'ohnyąą, nijin gwats'an tr'iinzhii vaakhwandaii kwaa gaa shaa gweech'in neegwiłtsąįį! 
43:9:031:0	Vit'eegwijyąhchy'aa vatr'agwaanduu gwanlii nąįį oołk'įį kwaa vaagwiindaii. Dinjii nikiigwah'ee ts'ą' doo'ya' gavoonyąą gwik'it t'inchy'aa nąįį oołk'įį vaagwiindaii. 
43:9:032:0	Jii nan goodlit dąį' gwats'an dinjii ch'izhii dinjii haagweech'in neegwiłtsąįį gwinyąą gwiriitth'ak kwaa. 
43:9:033:0	Jii dinjii Vit'eegwijyąhchy'aa vats'an t'inchy'aa kwaa ji' duuyeh k'eegwiichy'aa t'ii'in.” 
43:9:003:1	Gwik'injigwiighit Gwiky'aanjii Kwaa Nąįį
43:9:034:0	Jyaa giiyahnyąą, “Tr'agwaanduu gwitr'it gwizhit nagoodlit ts'ą' gwizhit diink'iindhat. Geediinǫąąhtan gwik'eegwiindaii lee t'iinyąą?” Ąįįts'ą' Israel tr'igiinkhii zheh gwizhit cheet'eegiiheełnaii. 
43:9:035:0	Ąįį dinjii cheet'eeheełnaii gwinyąą ąįį Jesus gwiitth'ak. Yagwąh'ąįį ts'ą' jyaa yahnyąą, “Gwidinji' k'injiinghit?” 
43:9:036:0	Ąįį dinjii jyaa nyąą, “Juu t'inchy'aa veeshaagwandak vik'injihihthaa eenjit!” 
43:9:037:0	Jesus jyaa yahnyąą, “Ch'adąį' nah'ya' t'inchy'aa, ąįį juu t'avaiinyąą et'ee juk zhat nats'ą' giihkhii.” 
43:9:038:0	“K'eegwaadhat iinlii it'ee nik'iinjihkhit!” Ąįį dinjii yahnyąą ts'ą' yats'ą' nikiigwiintthaii. 
43:9:039:0	Jesus jyaa nyąą, “Dinjii oohaałkat eenjit dząą nankat gwats'ą' hoiizhii t'ishi'in. Vaagweech'in kwaa nąįį haagweech'in neegwahałtsyaa ts'ą' juu vaagweech'in adoodiinyąą nąįį chan haagweech'in kwaa neehałtsyaa eenjit.” 
43:9:040:0	Pharisee lat juu zhat yaadilk'ii nąįį jyaa nyąą giiyiitth'ak dąį' jii giiyųąhkat, “Diikhwan chan diinaagweech'in kwaa diinyąą lee t'inyąą?” 
43:9:041:0	Jesus jyaa gavahnyąą, “Nakhwaa gweech'in kwaa ji', duuyeh nakhwatr'agwaanduu gwilii gaa ‘Diinaagweech'in,’ dohnyąą gwiizųų t'ohnyąą gaakhwandaii gaa jyaa dohnyąą t'ohnyąą ąįį ji' tth'aii nakhwatr'agwaanduu gwanlii.” 
