43:6:001:1	Jesus 5,000 Nąįį Ach'ah'al
43:6:033:0	Vit'eegwijyąhchy'aa jidii łųhchy'aa gwantł'ahchak ąįį t'ee zheekat gwats'an nilii ts'ą' jii nankat gwandaii gwats'an ąhtsii.” 
43:6:034:0	“K'eegwaadhat, jii łųhchy'aa khit geenjit diinantł'ahtsit.” giiyahnyąą. 
43:6:035:0	“Ąįį łųhchy'aa vik'iighai' gwarandaii, ąįįt'ee shįį t'ihchy'aa,” Jesus gavahnyąą. “Juu shaa nilii nąįį duuyeh goozhit gwiłts'ik. Juu shik'iinjiighit nąįį duuyeh chųų dahłįį. 
43:6:036:0	Shǫǫh'ya', nakhwaiinyą' gaa reh nihk'it gwik'iinjuhkhit kwaa. 
43:6:037:0	Shiti' juu shantł'ahchįį ąįį nąįį shats'ą' heedaa. Juu shaa nilii nąįį duuyeh an gavaal'ee. 
43:6:038:0	Zheekat gwats'an tr'iizhii ts'ą' jidii shi'yaa goo'aii sharahnyąą ąįį gwik'it t'ishi'yaa, shįį shakhai' t'ishi'in kwaa. 
43:6:039:0	Juu shihił'e' t'ee jii kwaii t'ooshi'ya' shoonyąą: juu shantł'eegoovinlii nąįį gaatr'agwałjii shrǫ' shoonyąą, gaa Khaiinkǫǫ Drinzhit ndaanąą'ąį' ji', datthak gwandaii neegoohałtsyaa eenjit. 
43:6:040:0	Shiti' jii kwaii gwinkeet'iindhan: Juu Gwidinji' k'injiighit ts'ą' giik'iinjiighit nąįį khit gwarandaii goots'an hałtsyaa. Khaiinkǫǫ Drin ndaanąą'ąį' ji' gwandaii neegoohałtsyaa.” 
43:6:041:0	Israel gwich'in nąįį giiyeenjit vik'įį gwanlii, jii jyaa nyąą geh'an, “Ąįį łųhchy'aa vik'iighai' gwarandaii, ąįįt'ee shįį t'ihchy'aa.” 
43:6:042:0	Izhit geh'an jyaa ginyąą, “Joseph vidinji' Jesus lee t'inchy'aa? Vahan, viti' haa gwiindaii t'inchy'aa adan t'inchy'aa ji', nats'ąą zheekat gwats'an ihshyaa nyąą t'inyąą?” 
43:6:043:0	Jesus jyaa gavahnyąą, “Zhyaa gookhii kwaa! 
43:6:044:0	Juu Shiti' shats'ą' yihił'ee nąįį ji' gwizhrįh shats'ą' heedaa; ts'ą' Khaiinkǫǫ Drin zhit ndaanąą'ąį' ji' gwandaii vats'an neehałtsyaa. 
43:6:045:0	Yeenii Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį jii dagogwąąntł'oo, ‘Dinjii datthak Vit'eegwijyąhchy'aa googwahah'e'.’ Juu Shiti' diitth'ak ts'ą' yats'an googwaa'ee t'ee shaa nilii. 
43:6:046:0	Gwiti' nah'ya' gwinyąą t'igwinyąą kwaa; juu Vit'eegwijyąhchy'aa ts'an ahaa zhrįh Gwiti' nah'ya' t'oonchy'aa. 
43:6:047:0	Łi'didlii haa nakhwaa gwahaldak, juu gwik'iinjiighit di'įį t'ee khit gwarandaii hee'yaa. 
43:6:048:0	Łųhchy'aa vik'iighai' gwarandaii t'ihchy'aa. 
43:6:049:0	Yeenii nakhwalak nąįį nangwinjir gwa'an manna giin'al, gaa nigiindhat. 
43:6:050:0	Gaa juu zheekat gwats'an łųhchy'aa a'aa t'ee khit gweheendaii. 
43:6:051:0	Zheekat gwats'an łųhchy'aa gwandaii ąįį t'ihchy'aa. Juu yiin'al t'ee khit geenjit gweheendaii. Ąįį łųhchy'aa antł'eehałchaa t'ee shatthąį' t'inchy'aa. Jii nankat datthak gwantł'eehałchaa.” 
43:6:052:0	“Jii gwigwiitth'ak dąį' geenjit Jews nąįį nihzheedagąąn'ee. Jii dinjii nats'ąą datthąį' diihah'aa t'inyąą?” ginyąą. 
43:6:053:0	Jesus jyaa gwahnyąą: “Łi'didlii haa nakhwaa gwahaldak: Gwidinji' vatthąį' in'aa kwaa ts'ą' vadaa ninįį kwaa ji' duuyeh gwarandaii ni'įį. 
43:6:054:0	Juu shatthąį' a'aa ts'ą' shadaa dinįį t'ee khit gwarandaii hee'yaa, ąįįts'ą' Khaiinkǫǫ Drin zhit ndaanąą'ąį' ji' vineegwahałdaii. 
43:6:055:0	Shatthąį' t'ee łyaa shih t'inchy'aa, shadaa t'ee łi'haa tr'iheenjyaa eenjit t'inchy'aa. 
43:6:056:0	Juu shatthąį' a'aa ts'ą' shadaa dinįį t'ee shizhit gwandaii ts'ą' shįį chan vizhit gwįįhdaii. 
43:6:057:0	Gwiti' gwandaii ąįįt'ee shihił'e' ąįįts'ą' veh'an gwįįhdaii. Izhit gwik'it, juu sha'aa t'ee shęh'an gweheendaii. 
43:6:058:0	Izhit geh'an t'ee jii łųhchy'aa zheekat gwats'an t'inchy'aa; yeenii nakhwalak łųhchy'aa giin'al ts'ą' nigiindhat ąįį łųhchy'aa k'it t'inchy'aa t'arahnyąą kwaa. Jii łųhchy'aa ąįį juu yiin'al ji' khit gweheendaii.” 
43:6:005:1	Khit Gwireheendaii Eenjit Ginjih
43:6:059:0	Capernaum kwaiik'it gwizhit Israel tr'igiinkhii zheh gwizhit Jesus jii eenjit geech'ǫąąhtan.  
43:6:060:0	Vitsyaa lęįį nąįį jii datthak eenjit gwigwiitth'ak dąį' jyaa ginyąą, “Jii jidii eech'ǫąąhtan łyaa vagwantrii. Juu yuuhaahky'aa ts'ą' gwik'it t'ihee'yaa?” 
43:6:061:0	Jesus deeginyąą giiyaagwaandak kwaa gaa jidii eenjit nihzheedagąąn'ee gavaandaii ts'ą' ąįį eenjit jyaa gavahnyąą, “Jii jyaa diinyą' eenjit akhagohnyą' nohthan? 
43:6:062:0	Ąįį ji', Gwidinji' gwehkįį nijin gwats'an tr'iinzhii gwits'eehoozhii nǫh'ya' ji' yu'? 
43:6:063:0	Vit'eegwijyąhchy'aa vanky'aa t'ee gwandaii gwats'an ąhtsii; gwatthąį' ąįį jyaa dagwąhtsii veegoo'aii kwaa. Jii ginjih eenakhwaagwaldak ąįįt'ee łyaa shroodiinyąą ts'ą' gwandaii nilii. 
43:6:064:0	Googaa nakhwalat nąįį jii deiinyą' gwik'iinjiighit kwaa.” (Tr'ookit dąį' gwats'an Jesus juu gootee gwik'iinjiighit kwaa ts'ą' juu gwintł'eeyahahchyaa.) 
43:6:065:0	Jii chan jyaanyąą, “Jii geh'an gwizhrįh jyaa nakhwaiinyą' duuyeh ch'ihłak gaa shats'ą' hahaii, Gwiti' jyąhts'ą' yeenjit gwiłtsąįį ji' gwizhrįh!” 
43:6:066:0	Jii kwaii geh'an, vitsyaa lęįį nąįį akhagiiyuunyąą. 
43:6:067:0	Ąįįts'ą' Jesus ditsyaa 12 nąįį t'ahnyąą, “Nakhwan chan gavaahohjyaa nohthan?” 
43:6:068:0	Simon Peter jyaa yahnyąą, “Shik'eegwaadhat, juu vats'ą' tr'iheedaa gǫ'? Gwandaii ndaanąą'ąį' kwaa gweheelyaa eenjit nan zhrįh ginjik ni'įį. 
43:6:069:0	Ąįįts'ą' juk Vit'eegwijyąhchy'aa vats'an Shroodiinyąą inlii naagwiindaii ts'ą' gwik'injiriighit.” 
43:6:070:0	Jesus jyaa gavahnyąą, “12 ǫhłįį ts'ą' gwitee tr'anakhwiilii, gaa nakhwatee ch'ihłak Ch'anky'aa Tr'aanduu nilii!” 
43:6:071:0	(Simon Iscariot vigii eeginkhii t'inyąą. Judas t'ee Vitsyaa 12 nąįį tee dhidii gaa gwintł'eeyahahchyaa.)
