43:11:001:1	Lazarus Niindhat
43:11:031:0	Nijin ąįį Israel gwich'in yaatr'igwidii nąįį khan chiinzhii giiyąąh'in dąį' giitąįį haajil, tth'ank'it gwats'ą' heekhaa ts'ą' tr'igwiheedii t'ii'in giiyuunyąą. 
43:11:032:0	Nijin Mary ąįį Jesus ts'ą' tr'iinzhii ts'ą' niyiił'in dąį' yakwai' eeghaii nikiigwiintthaii. “K'eegwaadhat, dząą iindi' ji' duuyeh shachaa niighit!” yahnyąą. 
43:11:033:0	Nijin Jesus, Mary chan ts'ą' tr'igwidii nąįį gwąąh'in ts'ą' adan chan haa tr'igwigwidii. 
43:11:034:0	“Nijin vanǫǫhjik?” goovahnyąą.“Aanaii ts'ą' gwąąh'in!” giiyahnyąą. 
43:11:035:0	Jesus iintrii. 
43:11:036:0	Ts'ą' Israel gwich'in nąįį jyaa ginyąą, “Deegwahtł'oo yeet'iindhan nǫh'in!” 
43:11:004:1	Lazarus Neegwiindaii
43:11:037:0	Gaa goolat nąįį jyaa ginyąą, “Dinjii vandee kwaa gaa haagweech'in neegwiłtsąįį! Lazarus niheedhaa gwits'į' yits'iheenjyaa shrǫǫ?” 
43:11:038:0	Chan hee gwintł'oo gitr'ii'ee ts'ą' Jesus yatth'ank'it gwats'ą' haazhii, ąįį tth'ank'it kii zhit gweedii ąįį gwadąįį kii dha'aii. 
43:11:039:0	“Gwadąįį kii gihłeehoh'ąįį!” Jesus gavahnyąą.Lazarus niindhat ąįį veejii Martha jyaa nyąą, “Juk t'ee drin dǫǫ okhwatsii t'inchy'aa, K'eegwaadhat, vatthąį' tr'ahaatsan.” 
43:11:040:0	Jesus jyaa yahnyąą, “Gwik'iinjuhkhit ji' Vit'eegwijyąhchy'aa vich'eegwąhndit hǫǫh'yaa nakhwaihnyąą gaanoondaii?” 
43:11:041:0	Gwadąįį kii gihłeegahaa'aii. Jesus yeedak gwąąh'in ts'ą' jyaa nyąą, “Shoodǫǫhk'įį geenjit mahsį', Shiti'. 
43:11:042:0	Khit ts'ą' shoodǫǫhk'įį gaashandaii, gaa jii dinjii nąįį dząą giilk'ii geh'an t'ihnyąą, shohǫǫh'e' ąįį shaagiheendaii eenjit.” 
43:11:043:0	Ąįį jyaa diinyą' tł'ęę gwint'aii khashraa'iintrat ts'ą' jyaa nyąą, “Lazarus, cheehinkhaii!”  
43:11:005:1	Jesus Tr'ahaahkhwaa Geenjit Geetr'agogwah'in
43:11:044:0	Ąįį dinjii niindhat chy'aa chiinzhii, vanli', vakwai' haa gwach'aa vanooljik, vinin kat chan gwach'aa t'inchy'aa. “Gwach'aa vakat gihłeehohłii ts'ą' vanoohjii,” Jesus jyaa gavahnyąą. 
43:11:045:0	Israel gwich'in lęįį nąįį Mary haa neegihiidal nąįį Jesus deezhik googwąąh'ya', ts'ą' giik'iinjihkhit. 
43:11:046:0	Gaa goolat nąįį Pharisee nąįį ts'ą' neegahoojil ts'ą' Jesus deezhik geegoovaagwaandak. 
43:11:047:0	Ąįįts'ą' t'ee jii Pharisee chan ts'ą' giinkhih kįh dilk'ii nąįį haa Israel gwakhaihkwai' nąįį ts'ą' giginkhe' ąįįtł'ęę jyaa ginyąą. “Deereheelyaa? Gwitr'it geegwaroolii kwaa lęįį t'ii'in! 
43:11:048:0	Jyąhts'ą' datthak zhyaa tr'ąąh'in ji' juu nąįį datthak giik'iinjiheeghit, ts'ą' Roman gwakhaihkwaii nąįį dząą gwats'ą' giheedaa ts'ą' Kharigidiinjii Zheh Gwachoh chan ts'ą' jii nahkat datthak an googwahahtsyaa!” 
43:11:049:0	Gootee dinjii ch'ihłak, Caiaphas, oaazhii ąįį zhat dąį' ndak khii giinkhih choh nilii ąįį jyaa nyąą, “Gaa deegwii'in gaakhwandaii kwaa t'ohnyąą! 
43:11:050:0	Jii nahkat datthak an gweheelyaa gwits'į' dinjii nąįį eenjit gwizhrįh dinjii ch'ihłak ąįį tr'iiłkhwąįį ji' ts'ąįį gweheezyaa nik'ee gaakhwandaii?” 
43:11:051:0	Zhyaa t'inyąą kwaa gaandaii gaa zhat dąį' ndak khii giinkhih choh ts'ą' Israel gwich'in nąįį eenjit niheedhaa yaandaii t'iiyahnyąą, ąįį 
43:11:052:0	nąįį zhrįh eenjit kwaa gaa Vit'eegwijyąhchy'aa vigii nąįį, an-nihłik gwa'an gwigwich'įį nąįį ch'ihłak neehahtsyaa eenjit. 
43:11:053:0	Izhit drin gwats'an t'ee Israel gwakhaihkwaii nąįį Jesus nats'ąą gahaahkhwaa geegiginkhii. 
43:11:054:0	Ąįįts'ą' t'ee Jesus gaandaii ts'ą' Judea nahkat gwandah neehidik kwaa, gaa neehoozhii ts'ą' nangwinjir gwa'an kwaiik'it Ephraim gwats'ą' haazhii ts'ą' ditsyaa nąįį haa dhidii. 
43:11:055:0	Israel gwich'in nąįį Passover it'ee khaiinjii geenigwiindhat, ts'ą' dinjii lęįį nihky'aa nanhtee gwats'an Jerusalem gwats'ą' gahaajil, Passover gwats'ą' Vit'eegwijyąhchy'aa eenjit shriitr'eedagahaachyaa. 
43:11:056:0	Datthak Jesus keegihi'ik, Kharigidiinjii Zheh Gwachoh gwizhit khaihłan nigiinjil ts'ą' nihłaagwaakat, “Veenjit deeyųųhthan? Łyaa duuyeh dząą gwats'ą' hahaii gwich'in, shrǫǫ ohnyąą?” nihłagaanyąą. 
43:11:057:0	Pharisee chan ts'ą' giinkhih kįh dilk'ii nąįį haa juu Jesus nah'ya' ji' geegǫǫndak ginyąą, zheegwaazhrąįį nigiihahchyaa geenjit.
