1:41:001:1	Jóseph éí Féro nayiizyeelígíí ááhyiłníinii yee yił hoolne'
1:41:034:0	Bíni'dii Féro kódoonííł: kéyah yindant'áa dooleełígíí niidoonił, áádóó ashdla'go daníjaa'ígíí éí t'ááłá'í shijaa' yits'ánídayii'nił dooígíí éí Ííjip kéyahgi t'áá íiyisí nínáda'nt'į́įhgo tsosts'id nídoohah. 
1:41:035:0	Áko t'áá nináháhááh bik'eh ch'iyáán bee ída'azįįdgo óolzin doo, áádóó tł'oh naadą́ą́' t'áá ałtso Féro áníinii bik'ehgo áłah áńdaal'įįh doo, índa kin hadaas'áágóó ch'iyáán nooh nídaachíhígíí baa ádahojilyą́ą doo biniyé niho'dee'nil doo. 
1:41:002:1	Jóseph éí Ííjip binanit'a'í ábi'diilyaa
1:41:036:0	Ch'iyáán ts'ídá łą́ągo nooh nídaachíihgo tsosts'id nááhaijį' hodichingo chodao'į́į doo biniyé yah anídahayéeh doo; éí Ííjip kéyahgi ákót'éego hwiidoo'aał, áko kéyahgi diné doo dichin yiih dínóodah da. 
1:41:037:0	Áko Féro índa bá nidaal'a'í t'áá ałtso bił yá'ádaat'ééh. 
1:41:038:0	Áádóó Féro éí bá nidaal'a'í áyidííniid, Da' diné éí Diyin God biNíłch'i bii' hólóoniísh t'áá ła' nídadidiiltééł? 
1:41:039:0	Áko Féro éí Jóseph áyidííniid, Díidí Diyin God nich'į' ííshją́ą́ áyiilaaígíí bąą t'áadoo ła' t'áadoo le'é nayik'ísíłkeesí da, doo nidi honíyánígi ájít'éhí da; 
1:41:040:0	shighan áádóó shidine'é t'áá ałtso nik'ehgo ádaat'éego binanít'áa doo, áko shí t'éiyá niláahgo naat'áanii nishłį́į dooleeł. 
1:41:041:0	Áko Féro éí Jóseph áyidííniid, Shoo, Ííjip kéyahgi t'áá át'éé nít'éé' níhólníihgo ániishłaa. 
1:41:042:0	Áádóó Féro biyoostsah haidiit'ą́ągo Jóseph bíla' yąąh niiní'ą́, índa áłts'óózígo yisdizígíí bee na'at'ą́hí daalgaii dits'idgo ádaalyaii éé' yee hahodiilaa, índa óola da'ahólzha'go yoo'ígíí hazénéíst'i', 
1:41:043:0	áádóó aláahgo naat'áanii bitsinaabąąs bijáád naakiígíí t'áá akéé' góne'ígíí hoł nidzit'igo áhoolaa, áádóó halą́ąjį' deíjeehígíí, Nitsidadinohgeeh, daaníigo dadilwosh. Áko Ííjip kéyahgi t'áá át'éé nít'éé' hóhólníihgo áhoolaa. 
1:41:044:0	Ákohgo Féro éí Jóseph áyidííniid, Shí Féro ásht'į́; Ííjip kéyahgi t'áá át'éé nít'éé' t'áadoo bee i'níłníhí diné ła'da hála' índa hakee'da bee doo ha'át'íida ázhdoołíił da. 
1:41:045:0	Áko Féro éí Jóseph jílíinii Záfiinath-paníyah yee hóózhi', índa An hoolyéhédóó náá'iiłniihii Potífera wolyéii bitsi' Ásenath hwe'asdzą́ą́ doo biniyé hainíłtį́. Áko Jóseph dah diiyáago Ííjip kéyah t'áá át'éé nít'éé' yaa naneeztą́ą́'. 
1:41:046:0	Áádóó Jóseph tádiin binááhaigo Ííjip dine'é binanit'a'í Féro binááł naat'áanii dzizlį́į́'. Jóseph éí Féro yits'ą́ą́dóó ch'ínádzáago Ííjip kéyah t'áá át'éé nít'éé' yaa naneeztą́ą́'. 
1:41:047:0	Tsosts'id nááhaijį' nahasdzáán bikáá' t'óó ahayóí nínáda'nt'į́įhgo ch'iyáán bee ída'íízįįd nít'éé'. 
1:41:048:0	Áádóó Jóseph bíniik'ehgo tsosts'id nááhaijį' Ííjip kéyahgi ch'iyáán t'áá át'éé áłah ádajiilaago Ííjip kin hadaas'áhígi ahandadziizyį́; éí t'áá hadáda'ak'ehídę́ę́' t'áá kin hadaas'áhígi ch'iyáán nooh dajishchį́. 
1:41:049:0	Áko Jóseph bik'ehgo tónteel bibąąhgóó séiigi ánéelą́ą'go neest'áanii t'óó ahayóí nooh dajishchį́, áko hónáásdóó jółta'ígíí bik'izhdeeyá, háálá doo jóołta' ánéelą́ą' da. 
1:41:050:0	Ákohgo dahodidoochįįłígíí t'ah doo baa hoolzhííshgóó Jóseph éí ashiiké naaki há yizhchį́; éí An hoolyéédóó náá'iiłniihii Potífera wolyéii bitsi' Ásenath há yishchį́. 
1:41:051:0	Áko Jóseph alą́ąjį' há yizhchínígíí, Manáseh wolyée doo, jidííniid, háálá ájíní, Diyin God éí shich'į' nahwiisnáa'ii t'áá ałtso índa shizhé'é ba'áłchíní t'áá ałtso beisénahgo áshiilaa. 
1:41:052:0	Áko akéédę́'ígíí, Éí Íífreiyim wolyée doo, jidííniid, jó, Diyin God éí kéyahgi bik'ee ti'hwiisénii'ii biyi' noot'į́įłii yee shik'ijidlíigo áshiilaa. 
1:41:053:0	Áko tsosts'id nááhaijį' Ííjip kéyah biyi' lą'í nínádant'į́hígíí bíighah azlį́į́', 
1:41:054:0	áádóó Jóseph ádííniidígi át'éego dahodichingo tsosts'id nídoohahígíí baa hoolzhiizh. Áko kédaayahgóó t'áá ałtsogi dahodííchįįd, nidi Ííjip kéyahgi t'éiyá t'áá át'éé nít'éé' ch'iyáán hólǫ́. 
1:41:055:0	Áko Ííjip kéyahgi t'áá át'éé nít'éé' dahodííchįįdgo éí diné yik'ee ti'dahooníihgo Féro éí ch'iyáán bídajókeed, áko Féro éí Ííjip dine'é t'áá ałtso áyidííniid, Jóseph baa hohkáahgo t'áá ánihiłnínígóó ádaaht'į́. 
1:41:056:0	Ákohgo nahasdzáán t'áá níłtéél nít'éé' bikáá'góó dahodííchįįd. Áko Jóseph éí kin bii' ch'iyáán héé ł ádaalyaa yę́ę ąą ádayiilaago Ííjip dine'é yich'į' nayiis'nii', háálá Ííjip kéyahgi t'óó tsé'édinda hodichin hazlį́į́'. 
1:41:057:0	Áko kédaayahdę́ę́' t'áá níłtéél nít'éé' diné Ííjip kéyahjį' Jóseph yaa hakáahgo doodį́įłii yaa nidayiiłniih nít'éé', háálá t'áá ałtsogóó t'áá íiyisí dahodííchįįd.
