1:46:001:1	Jéíkab áádóó ba'áłchíní Ííjipgóó eekai
1:46:015:0	Díí Líyah biyáázhké Péídan-éíram hoolyéedi Jéíkab yá niyiishchį́, índa bitsi' Dáínah ałdó'; Jéíkab biye'ké áádóó bitsi' bił t'áá ałtso tádiindóó ba'aan tájílt'é. 
1:46:016:0	Géed biye'ké éí Zíífan áádóó Hágai áádóó Shúnai áádóó Ézban áádóó Íírai áádóó Éírad índa Aríílai daolyé. 
1:46:017:0	Ásher biye'ké éí Jímna áádóó Íshowah áádóó Íshowai áádóó Biiráíyah índa bilah Síírah daolyé. Biiráíyah biye'ké éí Hííber índa Málkiyel wolyé; 
1:46:018:0	Léíban bitsi' Líyah yeiníłtínígíí Zílpah wolyéii éí díí biyáázhké; hastą́'áadah yilt'éego Jéíkab yá niyiishchį́. 
1:46:019:0	Jéíkab be'asdzą́ą́ Réíchel biyáázhké éí Jóseph índa Bénjamin wolyé. 
1:46:020:0	Áádóó Jóseph éí Ííjip kéyahdi Manáseh áádóó Íífreiyim éí An hoolyéédóó náá'iiłniihii Potífera bitsi' Ásenath wolyéii há yishchį́. 
1:46:021:0	Bénjamin biye'ké éí Bíílah áádóó Bííker áádóó Áshbel áádóó Gííra áádóó Néíyaman áádóó Ííhai áádóó Rash áádóó Máppim áádóó Háppim índa Ard daolyé. 
1:46:022:0	Díí Réíchel biyáázhké Jéíkab yá niyiishchį́; t'áá ałtsogo dį́į́ts'áadah yilt'é. 
1:46:023:0	Dan biye' éí Húshim wolyé. 
1:46:024:0	Náftalai biye' ké éí Jáhziyel áádóó Gúnai áádóó Jíízer índa Shíllem daolyé; 
1:46:025:0	Léíban bitsi' Réíchel yeiníłtínígíí Bílhah wolyéii éí díí biyáázhké; t'áá ałtsogo tsosts'id yilt'éego Jéíkab yá niyiishchį́. 
1:46:026:0	T'áá ádzíłtso Jéíkab bits'ą́ą́dóó dahodzizlį́į'ii Ííjip kéyahdi bił jinínánígíí, Jéíkab dabizháá'áád t'áágéedgo, hastą́diindóó ba'aan hastą́ą́h jilt'é; 
1:46:002:1	Jéíkab áádóó ba'áłchíní Ííjipdi naakai
1:46:027:0	Jóseph haye'ké Ííjip kéyahgi há yizhchínígíí éí naaki, áko Jéíkab ba'áłchíní t'áá ałtso Ííjip kéyahgi nínánígíí éí tsosts'idiin.  
1:46:028:0	Áko Jéíkab éí Júdah ádílą́ąjį' Jóseph bich'į' ajííł'a'go éí Góshen kéyahgóó hodoo'ishgo áadi nizhdoonééł biniyé i'jííł'a', áádóó Góshen kéyahdi jiníná. 
1:46:029:0	Áko Jóseph hatsinaabąąs bijáád naakiígíí hasht'ejiilaago Góshendi hazhé'é Ízrel bidááshdoogáałgo dashdiiyá, áko baazhníyáago bizéédzíznii'go jichago t'áá nízaadgóó hodíína'. 
1:46:030:0	Áko Ízrel éí Jóseph áyidííniid, T'ah hinínáá lágo ná niiłtsánígíí bąą k'ad háni' dadeestsaał. 
1:46:031:0	Áko Jóseph hak'isóó índa hazhé'é ba'áłchíní t'áá ałtso ábizhdííniid, Féro bich'į' deesháałgo bił hodeeshnihgo ábidideeshniił, Shik'isóó índa shizhé'é ba'áłchíní t'áá ałtso Kéínan kéyahdi kéédahat'į́į́ nít'é'ígíí shaa níná. 
1:46:032:0	Nida'niłkaadii danilį́; dabilį́į́' yaa ádahalyą́ągo yídaneesdin, áádóó dabidibé índa dabibéégashii índa deit'ínígíí t'áá ałtso yił níná. 
1:46:033:0	Ákohgo Féro hágo nihidííniidgo ánihididooniił, Ha'át'íí naanish shį́įshą' nihindaanish? 
1:46:034:0	Áko kódabididoohniił, Ná nidaal'a'í daniidlíinii, nihí áádóó danihizhé'é t'áá áłchíní daniidlį́į́dą́ą́' nihilį́į́' nidaniilkaad, ákohgo Góshen kéyah bii' kéédahoht'į́į dooleeł, háálá Ííjip dine'é nida'niłkaadii t'áá ałtso daabił t'óó badaa'ih.
