1:27:001:1	Áízak éí Íísa yee yik'izhdoodliił nít'éé' yę́ę Jéíkab néídiilá
1:27:027:0	Áko bíighah nizhníyáago jizts'ǫs, áádóó ha'éé' halchinígíí yishchą́ą́', áko hak'ijisdli'go áháłní,Shoo, shiye' halchinígíí éí Bóhólníihii kéyah yik'ijidlíhígi át'éego halchin! 
1:27:028:0	Éí bąą Diyin God éí yádiłhił biyi'dę́ę́' dahtoo' índa kéyah bikáá' t'áá íiyisí nida'nt'ą́'ígíí áádóó tł'oh naadą́ą́' índa wáin lą'ígo neididoo'ááł. 
1:27:029:0	Áko bíni' diné ná nidaal'a'; ał'ąą dine'é nich'į' yaa áńdaat'įįh le'.Nik'isóó nídahółníih doo; nimá ba'áłchíní nich'į' yaa áńdaat'įįh doo.Hóyée'go ná hadahadziihígíí éí ałdó' hóyée'go bá hada'iidziih doo;nik'idajidlíhígíí éí bik'idahojidlíi dooleeł!  
1:27:030:0	Áádóó ákódzaago Áízak éí ałtso Jéíkab bik'ijiijisdli', áádóó Jéíkab hazhé'é Áízak bits'ą́ą́' t'óó ch'éédzídzáhígo hánaaí Íísa naashzhee'dę́ę́' nádzá. 
1:27:031:0	Áko hó ałdó' hazhé'é bá atsį' ayóó áhálniihígíí bá hasht'ejiilaago baazhníką́ągo hazhé'é ábizhdííniid, Nídii'nééh shizhé'é, niye' bibįįh bitsį' nilghał, áko shik'iizhdíídliił. 
1:27:032:0	Áko hazhé'é Áízak áháłní, Háí lá ánít'į́įgo ádíní? Áko Íísa ání, Niye' alą́ąjį' ná yizhchínígíí Íísa ásht'į́. 
1:27:033:0	Áko Áízak t'áá íiyisí hatah hoditłidgo ájíní, Háí lá t'ah doo nánídááh yę́ędą́ą́' bįįh bitsį' sheiníką́ągo eeshghalgo bik'ijiisisdli' lá? Áko éí t'áá aaníí bik'ihojidlíi doo. 
1:27:034:0	Ákohgo Íísa éí hazhé'é bizaad jidiizts'ą́ą'go t'áá íiyisí yéego bąą háni'go hajííchah, áko hazhé'é ábijiní, Shizhé'é nílíinii, t'áá shǫǫdí shí ałdó' shik'ijiinídliih. 
1:27:035:0	Áádóó ání, Nitsilí shi'deezlo'go bee nik'ihojidlíi dooleeł yę́ę nighaideet'ą́. 
1:27:036:0	Áko ánáázhdoo'niid, Da' doósh t'áá hweełt'éego Jéíkab joolyée da? Jó'akon, k'ad naakidi shitsásk'eh shighahozhdeet'ą́; átséédą́ą́' alą́ąjį' yizhchíinii bee bóhólníihii shighazhdeet'ą́, áádóó jó'akon k'ad nááná bee ak'ihojidlíii shighanáázhdeet'ą́. Áádóó ázhdííniid, Da' bee ak'ihojidlíiísh t'áadoo ła' shá áásínísįįd da? 
1:27:037:0	Áko Áízak éí Íísa ánéidoo'niid, Jó'akon, bóhoníłníihii áshłaa, áádóó bik'isóó t'áá ałtso bá nidaalte' dooleeł go baa diní'ą́, áádóó tł'oh naadą́ą́' índa wáin bił baa diní'ą́; k'adshą' ha'át'íí íiyisí ná baa nideeshaał, shiye'? 
1:27:038:0	Áko Íísa hazhé'é ánáábizhdoo'niid, Da' t'ááshłá'í nibee ak'ihojidlíhí nít'éé', shizhé'é? T'áá shǫǫdí shizhé'é, shí ałdó' shik'ijiinídliih. Áko Íísa yéego hajííchah.  
1:27:039:0	Hazhé'é Áízak hach'į' hanáánáádzíi'go áháłní,Jó'akon, kéyah bikáá' nida'nt'ą'ígíí bits'áhoní'ą́ądiáádóó yádiłhiłdę́ę́' dahtoo' bits'áhoní'ą́ądi kééhót'į́į doo. 
1:27:002:1	Áízak éí Héírangóó Jéíkab ayííł'a'
1:27:040:0	Nidiltłish bee hinínáa doo, áádóó nitsilí bóhwííníłníih doo;ííshją́ą́ biyaa háíníyáago doo bóhwííníłníih da dííleeł.  
1:27:041:0	Éí bąą Íísa t'áá íiyisí Jéíkab bik'eezdeeznih, háálá hazhé'é bee ak'ihojidlíii yee yik'idzisdli', áko Íísa t'áá biyi'ídi ání, Shizhé'é baa dazhdoochahjį' áhání hadziih; áadi índa Jéíkab shitsilí hodiyeeshxééł. 
1:27:042:0	Áko Rebékah hayáázh alą́ąjį' nilínígíí bizaad bee hoł hóone'go hayáázh akéédę́ę́' nilínígíí bíká i'jííł'a'go hágo bizhdííniidgo ábijiní, Shoo, nínaaí Íísa kót'éego naa nitsékees lá; hodiyeeshxééł nízingo yee ha'ólníí lá. 
1:27:043:0	Éí bąą shiyáázh, k'ad ándishnínígíí bik'eh honíł'įįh; asht'e'ádílnéehgo Héírangóó shínaaí Léíban bich'į' tsį́įłgo ákǫ́ǫ́ dínááh; 
1:27:044:0	áadi díkwíida niidoołkááł; nínaaí bá náhoojǫǫdgo índa; 
1:27:045:0	nínaaí nich'į' bá náhoojǫǫdgo áádóó íínít'įįdii yaa yooznahgo índa níká adeesh'aał, áko áádę́ę́' nídíídááł. Ha'át'éegoshą' t'áá ánółah t'áá ła'óo jį́ shąąh dínóohnééł? 
1:27:046:0	Áko Rebékah éí Áízak áyidííniid, Het dine'é bitsi'ké biniinaa hinishnánígíí sé'įįd, áko Het dine'é bitsi'ké ła' díí kéyahgi kéédahat'ínígíí Jéíkab be'asdzą́ą́ silį́į'go t'áadoo biniyéhígóó hinishnáa doo. 
