1:44:001:1	Bee adlání bóhohya'
1:44:011:0	Áko t'áá ádzíłtso tsį́įłgo hoda'azis hadadadziizyį́įgo ąą ádajiilaa. 
1:44:012:0	Áko bíká nikizh'diich'idgo alą́ąjį' naagháhígíí bee hodeeshzhiizhgo akéédę́ę́' naagháhígíí bee nihoolzhiizh, áko Bénjamin be'azis bii'dę́ę́' bee adlání hanáát'ą́. 
1:44:013:0	Ákohgo daha'éé' nidadziizǫ́ǫzgo t'áá ádzíłtso dahayéél dahatélii bik'i dah nidadzis'nilgo kin haal'áágóó nát'ą́ą́' níjíkai. 
1:44:014:0	Áko Júdah hak'is bił Jóseph bighandi níjíkaigo t'ah t'áá ákwii lá, áádóó bich'į' yaa ánáádadziidzaa. 
1:44:015:0	Áko Jóseph áhodííniid, Díísh haa daoht'įįd lá? Da' doósh nihił béédahózin da, diné shígi át'éii náásgóó áhodooníiłii bił bééhózin. 
1:44:016:0	Áko Júdah ádííniid, Shinanit'a'í, ha'át'íishą' dabididii'niił? Ha'át'íishą' bee hadadiidzih? Índa ha'át'éegoshą' doo nihidahodiit'i'góó bikáá' ídadi'diilnííł? Diyin God éí ná nidaal'a'í doo ákwii ádáát' įįdígíí bił bééhoozin. Shoo, nihí índa bee adlání hats'ą́ą́' hanáát'ánígíí hoł shinanit'a'í bá nidaalte' dasiidlį́į́'. 
1:44:002:1	Júdah éí Bénjamin yich'ą́ą́h ná'ookąąh.
1:44:017:0	Áko ádííniid, Ákódeeshníłígíí t'áá íiyisí doo óoshne' át'ée da. Bee adlání bits'ą́ą́' hanáát'ánígíí éí shinaalte' jílį́į doo. Áko nihí t'éiyá nihił dahózhǫ́ǫgo nihizhé'é bich'į' nídoohkah. 
1:44:018:0	Ákohgo Júdah hwíighahgi niníyáago ádííniid, Shoo, shinanit'a'í, t'áá shǫǫdí, ná naal'a'í yóhółníihii t'ááłáhígo bee nich'į' haasdziih. Áádóó ná naal'a'í t'áadoo bich' į' náháchį'í, háálá Féro bił ahiníłt'é. 
1:44:019:0	Shinanit'a'í, ná nidaal'a'ígíí nabídííníłkidgo ádííníniid, Da' nihizhé'éésh hólǫ́, índa nihitsilíísh hólǫ́. 
1:44:020:0	Áko shinanit'a'í ádandii'niid, Nihizhé'é hólǫ́; t'áá hazhó'ó haastih, índa haastihgo bá yizhchínígíí éí t'ah ániid naaghá; bínaaí ádin, áko bí t'éí bimá yę́ę yits'ą́ą́dóó yidziih, áko bizhé'é ayóó'ábó'ní. 
1:44:021:0	Áko ná nidaal'a'í daniidlíinii ánihidííníniid, Hwiideestsééł biniyé bił shaa nohkááh. 
1:44:022:0	Áko shinanit'a'í ádandii'niid, Ashkii bizhé'é doo yits'ágháah da, háálá bizhé'é yits'áníyáago bizhé'é dadootsaał. 
1:44:023:0	Nihitsilí doo bił noohkaigóó t'éiyá doo náádashiidoołtséeł da, diníigo ná nidaal'a'í bich'į' háínídzíi' ni'. 
1:44:024:0	Ákohgo shizhé'é ná naal'a'í nilíinii baa nániikaigo shinanit'a'í áníinii bee bił dahwiilne'. 
1:44:025:0	Áko nihizhé'é ánáánihidoo'niid, Nihílááh, náádóhkáahgo ch'iyáán áłch'į́į́dígo nihá nináádahołniih. 
1:44:026:0	Áko ádadii'niid, Doo ákóyaa dookááh át'ée da. Nihitsilí akéédę́'ígíí biłgo t'éiyá ákóyaa diikah, háálá nihitsilí akéédę́ę́' nilínígíí t'áadoo bił niikaigóó éí diné doo náádeidiiltséeł da. 
1:44:027:0	Áko ná naal'a'í nihizhé'é ánihidííniid, Nihił béédahózingo she'asdzą́ą́ ashiiké naaki shá yishchį́. 
1:44:028:0	Áko ła' shits'ą́ą́' yóó'ííyá, dííniid, t'áá aaníí nibi'diisdláád lá, áko t'áadoo néiiłtsą́ą da. 
1:44:029:0	Áádóó díidí ałdó' bił dah náádadoohkaigo haada yidzaago shitsii' t'áá íiyisí yiigaigo áádóó yíní biih néítłizhgo dasétsą́ągo łeeh dashidoołtéeł ni. 
1:44:030:0	Éí bąą ná naal'a'í shizhé'é baa nánísdzáago ashkii doo nihitah nádzáágóó éí t'áá íiyisí ádíyóltą'ii nilį́, 
1:44:031:0	ákohgo doo nihitah nádzáágóó bił bééhoozingo dadootsaał. Áko ná nidaal'a'í bizhé'é bitsii' t'áá íiyisí yiigaigo áádóó yíní yiih náátłizhgo dadootsaałgo łeeh deidoołtééł. 
1:44:032:0	Háálá ná naal'a'í bizhé'é kwíidííniid yę́ędą́ą́' ání, Ashkii bá naashtłizh doo; t'áadoo bił naa nánísht'áázhgóó hool'áágóó shizhé'é shik'íhá'áah doo. 
1:44:033:0	Éí bąą t'áá shǫǫdí, shinanit'a'í binaalte' nishłį́į doo biniyé ná naal'a'í bíni'dii ashkii yitsásk'ehgi sidáa doo, áko ashkii bíni' bínaaíké yił nihinákááh. 
1:44:034:0	Ashkii t'áágéedgoshą' haash yit'éego shizhé'é bich'į' nídeeshdááł. Doodago éí bąąhági át'éii shizhé'é bik'i hwiidooleełígíí binásdzid.
