51:1:001:1	K'é ha'níinii
51:1:010:0	Bóhólníihii bą́ą́h da'nohłį́įgo t'áá ałtsojį' bił dahonohshǫ́ǫgo dayínóhkáah dooígíí, áádóó naanish yá'ádaat'éehii t'áá ałtso bee nihits'ą́ą́dóó aneest'ą' nidahwiileeh dooígíí, índa Diyin God béédahonohsingo bee náás danóohséeh dooleełígíí nihá bíká sodiilzin. 
51:1:011:0	Diyin God yee ayóó át'éego ayóó ábóodziilii bee danihidziil ánihiilaago t'áá ałtsojį' hada'íínółní áádóó nízaadgóó dziilí bee hada'íínółníigo nihił dahózhǫ́ǫ doo biniyé sodiilzin. 
51:1:012:0	ATaa' nilíinii bich'į' ahééh danohsingo bidiyį́į́' adinídíín yii' deíkáahii bíí' dooleełii bił ałts'ą́ą́' da'niilk'iiz dooígíí bą́ą́h da'niidlį́įgo ánihiilaa. 
51:1:013:0	Chahałheeł bee bóhólníihii bits'ą́ą́dę́ę́' háánihoo'nilgo, biYe' ayóó'áyó'níinii bee bóhólníihgo bił haz'ą́ąjį' anihíí'eezh. 
51:1:003:1	Háí Jesus át'į́, áádóó ha'át'íí binaanish
51:1:014:0	Jesus bidił yee náánihiisnii'go nihibąąhági át'éii nihá yóó'iidíí'ą́.  
51:1:015:0	Jesus éí Diyin God doo yit'íinii bináłt'éii jílį́. T'áá ałtsoní ádaalyaii bítséedi hojílǫ́. 
51:1:016:0	Háálá yádiłhił biyi'di áádóó nahasdzáán bikáa'gi dahólóonii t'áá ałtso, daat'íinii índa doo daat'íinii hó hwee Diyin God ádayiilaa, azhą́ naat'áanii ayóó ádaat'éii, éí doodaii' bídahólníihii, éí doodaii' naat'áanii danilíinii, éí doodaii' óhólnííh bee dahólóonii doo daat'íinii t'áá ałtso hó hwee Diyin God ádayiilaa. T'áá ałtsoní hwee ádaalyaa índa há ádabi'diilyaa. 
51:1:017:0	T'áá ałtsoní bítséedi hojílǫ́, índa hó hwee t'áá ałtsoní ahee daniłdzil. 
51:1:018:0	Atsiits'iin éí ats'íís yił ałhee hinánígi át'éego Jesus éí da'oodlání t'áá ła' bizhi'ee bee bóhólnííh; hó bee hodeeyáii jílį́, áádóó ts'ídá t'áá ałtsojį' aląąjį' dzizį́į doo biniyé aninéédę́ę́' átsé hinááh nídzísdlį́į'ii jílį́. 
51:1:019:0	Háálá aTaa' yee át'éii t'áá ałtso Jesus hwii' hólónígíí éí aTaa' bił hóshǫ́. 
51:1:020:0	Áko tsin ałnáoszid bąąhjį' dadziztsą́ą́dą́ą́' hadił deezna'ii bee Diyin God k'é néist'įįdgo nahasdzáán bikáa'gi dahólóonii áádóó yádiłhił biyi'di dahólóonii t'áá ałtso hwee Diyin God bich'į' hózhǫ́ náhásdlį́į́'.  
51:1:021:0	Áádóó nihí t'ah nahą́ądą́ą́' doo yá'át'ééh ádaahnííłgóó łah Diyin God bits'ą́ądi naałdeeh nít'éé', índa ana'í k'ehgo haa nitsídaahkees nít'éé', nidi k'ad nihił k'é nídzíst'įįd. 
51:1:022:0	Jesus bits'íís daaztsánígíí bee nihił k'é nídzíst'įįd. Éí bąą dadinohyingo áádóó niha'át'e' ádaadingo índa t'áadoo bee nihik'ídahót'ahígóó Diyin God bidááhdę́ę́' ninihizhdoo'ish. 
51:1:004:1	Paul da'oodlání yá naal'a'
51:1:023:0	T'ááłáhígi át'éego danołdzilgo na'nitin woodláanii bee nisoozį́įgo, áádóó hane' yá'át'éehii biyi'dóó dasidoots'ą́ą'ii bee ił chohoo'íinii doo bits'ánáhóhkááhgóó t'éiyá ákódanoht'ée doo. Yá biyaagi nihokáá' dine'é t'áadoo ła' doodaií díí hane' yá'át'éehii bee bił dahóóne'. Shí Paul díí baa hashne' doogo shi'dool'aad. 
51:1:024:0	Nihá ti'hooshníhígíí baa shił hózhǫ́. Háálá da'oodlání t'áá ła' bizhi'ee Christ bits'íís át'éego t'áá bí yá ti'hooznii'. K'ad éí shí ałdó' bił ałts'ą́ą́' anisk'iizgo da'oodlání bá ti'hooshnííh. 
51:1:025:0	Éí lą́ą, Diyin God yinahaz'áanii bik'ehgo bizaad ánínígíí t'áadoo ła' doodaí baa hodeeshnihgo nihá shaa yiszįįd. 
51:1:026:0	Éí hoolzhishdę́ę́' índa oochííłdę́ę́' na'nitin doo bééhózin da yę́ę át'é, k'ad índa Diyin God bidiyį́į́' bich'į' yit'íní áyiilaa. 
51:1:027:0	Éí Diyin God íiniizį́į'go dooládó' ayóó ánóolninii doo bééhózin da yę́ę ííshją́ą́ áyiilaa, doo Jew dine'é danilíinii nidi t'áá ałtso bá át'é; éí Christ nihii' hólǫ́ǫgo Diyin God yee ayóó át'éii bił ałts'ą́ą́' da'nołk'iiz dooígíí bíká nihił chodahoo'íinii át'é. 
51:1:028:0	Áko Christ baa nahwiilne'go diné t'ááłá'í nítínígo bida'iyiilníihgo bee hódzáanii t'áá ałtso bee naniitin. Diné t'ááłá'í nítínígo Christ yee nininísáanii danilį́įgo Diyin God bidááhdę́ę́' nidahidiit'ish biniyé naniitin. 
51:1:029:0	Jó, díí biniyé naashnish, Christ ayóó át'éego shiyi'di naalnishgo bąą t'áá íináwołí bee naasdzil.
