7:5:001:1	Déborah áádóó Bérak biyiin
7:5:018:0	Dahoníteelgóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígiZébyulan dine'é áádóó Náftalai dine'é dajílíinii hóyée'jį' hwe'iina' ninádazdeez'ą́ągo bee aniné bich'į' nidahodít'é ídazh'diilyaa. 
7:5:019:0	Aláahgo naat'áanii nidahaaskaigo anaa' ádahoolaa;Kéínan kéyahdóó aláahgo nidant'áii éí Téíyanak kin haal'áadi Megído tooh ílíní bibąąhgi anaa' ádahoolaa;béésh łigaii t'áadoo ła' ghadayiisnil da. 
7:5:020:0	Yádiłhiłdę́ę́' sǫ' hoł da'ahoogą́ą́',sǫ' dabideetiindę́ę́' Sísera yił da'ahoogą́ą́'. 
7:5:021:0	Kíshan tooh nílínígíí adabis'éél;éí t'áá ałk'idą́ą́' tooh nílį́įgo Kíshan tooh wolyé.Shii' sizíinii nílíinii, nidziilgo bik'i nanináa doo. 
7:5:022:0	T'óó báhádzidgo łį́į́' dayíltaałgo ayóogo bikétł'in dadiits'a';łį́į́' bee na'abaahii doo nidadilna'góó dadilwo'. 
7:5:023:0	Mííraz haz'ánígi kéédahat'íinii hóyée'go bá hadahohdziih, ní Bóhólníihii bidiyingo naal'a'í,ákwii kéédahat'íinii ts'ídá bik'e'íyé'ígi át'éego hóyée'go bá hadahohdziih,háálá Bóhólníihii t'áadoo yíká ííjée' da;ayóó ádaat'éii bich'į' t'áadoo Bóhólníihii yíká ííjée' da. 
7:5:024:0	Kííni dine'é Hííber wolyéii be'asdzą́ą́ Jéíyel éí sáanii biláahgo bik'ihojidlíi le';sáanii éí níbaal yii' dabighanígíí biláahgo bik'ihojidlíi le'. 
7:5:025:0	Tó jííkeedgo abe' hainíką́;ásaa' ílíinii bee abe' dík'ǫ́zhí hainíką́. 
7:5:026:0	Bíla' yee níbaal bá anídaalkałí néidiitą́áádóó bíla' nish'náájíígíí yee bee atsidí néidii'ą́ągoSísera bitsiits'iin yigházníłne'; bijaat'ah góne' ayídzííłne'. 
7:5:027:0	Hakétsį́įjį' naa'íígo', índa k'ídahineezdéél;jó, hakétsį́įjį' naa'íígo';t'áá ákǫ́ǫ́ naa'íígo'ígi daaztsą́. 
7:5:028:0	Sísera yę́ę bimá tsésǫ'gi tsin yistł'ǫ́ǫgo dáádiníbaalígíí yiníká déez'į́į'go ání,Ha'át'éegoshą' bitsinaabąąs bijáád naakiígíí doo hąh bee nináda'iibąąs da?Ha'át'éegoshą' bilį́į́' doo hąh da'íłbąąs da? 
7:5:029:0	Binaal'a'í sáanii dahóyánígíí ádabidííniid,áádóó t'áá bí ałdó' t'áá ádíyi'ídi ádííniidgo ání, 
7:5:030:0	Ła'da daats'í hak'ídaneeztą́ą'go hanaalye'é deiisnáago ałtaa dei'niih:diné t'ááłá'í nítínígo bá ch'ikę́ę́h t'ááłá'ígo, doodaii' nidilt'éego yá ats'ádayiinííł.Sísera bá naa'at'ą́hí ał'ąą át'éego nidaashch'ąą'ígíí, naa'at'ą́hí ał'ąą át'éego nidaashch'ąą'ígíí tsahts'ósí bee t'áá ałch'ishdę́ę́' ayóó ánóolningo ádaalyaiiéí nídeididooniłígíí azéédéełtsoozí ałtaa dei'niih. 
7:5:031:0	Bóhólníihii nílíinii, bíni'dii nida'ana'í t'áá ałtso ádadoodįįł!Nidi ayóó'ádahó'níinii éí hózhónígo ha'íí'ą́ nahalingo náás yikah doo.Áko éí kéyahgi hasht'ehodít'éego dízdiin nááhai.
