7:11:001:1	Jéfthah éí Áman dine'é bits'ą́ąjį' Ízrel dine'é yisdájíínil
7:11:018:0	Ákohgo honoojíígóó ch'íkaigo Íídam kéyah áádóó Mó'ab kéyah yik'ee'ąą ahéná'ná. Áádóó Mó'ab kéyah ha'a'aahjígo Árnan tooh nílíní wónaaníjígo niníná, nidi Mó'ab kéyah t'áadoo biih jíínáa da, háálá Árnan tooh nílíní éí Mó'ab kéyah bee ałts'áhoodzo. 
7:11:019:0	Áádóó Ízrel dine'é éí Héshban kin haal'áádóó aláahgo naat'áanii Ámor dine'é binanit'a'í Sáíhan yich'į' naal'a'í adeis'a', áko Ízrel dine'é ádahałní, Niha'di'ní'aah, t'áá shǫǫdí nikéyah biyi'góó ch'ídii'néełgo nihikéyahjį' nidii'nééł. 
7:11:020:0	Nidi Sáíhan éí hakéyah bibąąhgóó Ízrel dine'é ch'ídoonéłígíí doo beijólíi da, nidi hadine'é áłah ájiilaago Jéíhaz kin haal'áagi nizhnínáago Ízrel dine'é bił da'ahijoogą́ą́'. 
7:11:021:0	Áko Ízrel dine'é biBóhólníihii Diyin God éí Sáíhan áádóó bidine'é t'áá ałtso Ízrel dine'é yílák'eidíí'ą́ągo hak'eh dadeesdlį́į́'. Áko Ámor dine'é bikéyah t'áá át'é Ízrel dine'é bíí' daazlį́į́'. 
7:11:022:0	Áko Ámor dine'é bił haz'áanii Árnan tooh nílíní áádóó Jábak tooh nílíní bita'gi índa honoojíídóó Jórdan toohjį' t'áá át'é bíí' daazlį́į́'. 
7:11:023:0	Áko Ízrel dine'é biBóhólníihii Diyin God éí bidine'é Ízrel wolyéii binááł Ámor dine'é bikéyahdóó Ámor dine'é nahjį' hainííłkaadgo, ákoósh éí kéyah danihíí' dooleeł? 
7:11:024:0	Da' doósh nihidiyin bidi'níinii Kíímash wolyéii nihaa yiiníłígíí t'éí nihíí' nidahaleeh da? T'áá ákót'éego nihí Bóhólníihii nihiDiyin God nihinááł kéyah bits'ą́ąjį' ch'íhoniiłkaadígíí éí nihíí' nidahaleeh doo. 
7:11:025:0	Da' Zípor biye' Béílak Mó'ab dine'é aláahgo binanit'a'í biláahgoósh yá'ádanoht'ééh? Da' łahgoósh Ízrel dine'é yich'į' ana' ndzin, doodaii' daats'í łahgo yił ałk'i néijah? 
7:11:026:0	Ízrel dine'é éí Héshban kin haal'áii binaagóó kin dah naazhjaa'ígíí t'áá bił, áádóó Aró'er kin haal'áii binaagóó kin dah naazhjaa'ígíí t'áá bił, índa Árnan tooh nílíní bibąąhgóó kin hadaas'áhígóó t'áá át'é kéédahat'į́įgo táadi neeznádiin nááhai. Ha'át'éegoshą' t'áadoo bighanídasidooht'ą́ą da? 
7:11:027:0	Éí bąą doo nich'į' ádił asísiih da, nidi shich'į' nídinibaa'ígíí bee doo yá'át'éhígi áshiinilaa. Bóhólníihii éí ánihwii'aahii nilį́įgo Ízrel dine'é índa Áman dine'é bita'gi díí jį́ ánihodoo'ááł. 
7:11:028:0	Nidi Áman dine'é aláahgo binanit'a'í éí Jéfthah bizaad hach'į' yił i'ííł'a'ígíí doo dzíists'ą́ą' da nít'éé'. 
7:11:029:0	Ákohgo Bóhólníihii biNíłch'i éí Jéfthah bik'i hoole'go, Gíliyad kéyahgóó áádóó Manáseh kéyahgóó ch'ízhníyá áádóó Gíliyad kéyahgi Mízpeh kin haal'áadi jiníyá índa Gíliyad kéyahgi Mízpehdóó Áman dine'é bich'į' ajííyá. 
7:11:030:0	Áko Jéfthah éí Bóhólníihii yich'į' ádee haadzíi'go ání, T'áá aaníí Áman dine'é shílák'edííní'ą́ągo, 
7:11:031:0	Áman dine'é hasht'edadíít'e'go, hooghanjį' nááshdáałgo shighan bich'é'étiindóó t'áá ha'át'íhída shaa níyáhígíí éí Bóhólníihii bíí' át'é. Áko éí didlidgo nááhániihii nááhideeshnih. 
7:11:032:0	Áko Jéfthah éí ha'naajígo Áman dine'é bił da'ahizhdoogą́ą́ł biniyé bich'į' ha'naa nizhníbaa'go Bóhólníihii éí Áman dine'é hálák'eidíí'ą́. 
7:11:002:1	Jéfthah bitsi'
7:11:033:0	Áko Aró'er kin haal'áádóó Mínith kin haal'áajį' ałtso nidzistseed; éí naadiingo kin haal'áá nít'éé'; t'áá Éíbel-kéramim haz'áníjį' ts'ídá ayóó át'éego nabídzísdįįd. Ákohgo kót'éego Ízrel dine'é dabinááł Áman dine'é bik'eh dahodeesdlį́į́'. 
7:11:034:0	Ákohgo Mízpeh kin haal'áagi Jéfthah bighanjį' náádáałgo, jó, hatsi' éí ásaa' yilghaałígíí bik'ehgo hach'į' chí'ílzhiizhgo haa ílzhiizh; t'áá éí t'éiyá hwe'awéé' nilį́; haye' índa hatsi' doo ła' nááhódlǫ́ǫ da. 
7:11:035:0	Áko hatsi' dziiłtsą́ągo ha'éé' ák'i nijooldláadgo ájíní, Héi', shitsi' nílíinii, ayáhígo áshiinilaago biniinaa t'áá íiyisí shich'į' hodiiznáá', háálá Bóhólníihii bich'į' ádee hadeesdzíi'go k'ad doo łahgo ánáoshdle' át'ée da. 
7:11:036:0	Áko hatsi' áhodííniid, Shizhé'é, Bóhólníihii bich'į' ádee hadíínídzíi'go shí ałdó' bik'ehgo háínídzí'ígíí shich'į' ádoonííł, háálá Bóhólníihii éí Áman dine'é ni'ana'í nilíinii ná k'éidiidlaa. 
7:11:037:0	Áko éí hazhé'é ábizhdííniid, Háni'dii díí t'áadoo le'égóó shá áhodoonííł nisin: shíni'dii naaki nídeezidjį' t'áá sáhí dziłghą́ą́'góó adeesháałgo bizháán naasháhígíí shí áádóó shik'is ałdó' bik'édí hódlǫ́ǫ dooleeł. 
7:11:038:0	Áko ázhdííniid, Nílááh yínááł. Áko naaki nídeezidjį' yóó'ahojííł'a'go hatsi' áádóó bik'is yił dah diikaigo bizháán nijigháhígíí bik'édí jílį́įgo dziłghą́ą'di nijikai nít'éé'. 
7:11:039:0	Áko naaki hwee nídeezidgo hazhé'é bich'į' nídzídzá; éí ádee haadzí'ígíí bik'ehgo ádzaa. Jó, t'ah doo diné ła' bił jiniteesh da. Áko Ízrel dine'é bibee é'él'į' bik'ehgo ákóda'ał'į́; 
7:11:040:0	t'áá nináháhááh bik'eh Ízrel dine'é bitsi'ké danilíinii Jéfthah éí Gíliyad dine'é nilį́įgo bitsi' baa nídajichahgo dį́'í jį́ ná'ádleehgo nínáhah nít'éé'.
