7:4:001:1	Déborah áádóó Bérak éí Sísera wolyéii yik'eh deesdlį́į́'
7:4:011:0	Áko Hííber éí Kííni dine'é jílíinii Kííni dine'é bits'ázhníyá; éí Mózes yaadaaní nilíní Hóbab bik'éí ła' jílį́; chéch'il t'áá bits'áhwiiní'ą́ądi Zéíyanéíyim nahós'a'gi haníbaal nizhní'ą́, éí Kéídesh kin haal'áii t'áá bíighahgóó áhoolyé. 
7:4:012:0	Abínowam biye' Bérak éí Dził Téíbor si'ánígóó ííyá, ha'níigo Sísera hoł hóóne'. 
7:4:013:0	Áko Sísera éí bitsindaabąąs bijáád naakiígíí t'áá át'é áłah áyiilaa, éí tsindaabąąs bijáád naakiígíí béésh nitł'izii bee ádaalyaii náhást'éidi neeznádiingo áádóó Heirósheth-hagóyiim kin shijaa'dóó Kíshan tooh nílíníjį' diné bił naakaígíí t'áá ałtso áłah áyiilaa. 
7:4:014:0	Áko Déborah éí Bérak áyidííniid, Sołtį', háálá díí jį́ Bóhólníihii éí Sísera nílák'ee hodíí'ą́. Ts'ídá t'áá aaníí Bóhólníihii nilą́ąjį' hooleeł doo. Ákohgo Bérak éí Dził Téíbor bighą́ą́'dę́ę́' diné neeznáadi míilgo hoł hadááná. 
7:4:015:0	Áko Bóhólníihii éí Sísera bił ałk'eh hólǫ́ǫgo áyiilaa; bitsindaabąąs bijáád naakiígíí índa bisiláo t'áá át'é t'óó bił dahóóląądgo Bérak éí diltłish ałtso yee áhásdįįd, áko Sísera bitsinaabąąs bijáád naakiígíí yikáá'dę́ę́' hadah yaaltáalgo yóó'eelwod lá. 
7:4:016:0	Áko Bérak éí tsindaabąąs bijáád naakiígíí índa siláo Heirósheth-hagóyiim kin shijaa'jį' yikéé' nídiilwodgo Sísera bisiláo ałtso diltłish yee nideistseed; t'ááłá'í nidi t'áadoo ła' yidzíi' da. 
7:4:017:0	Nidi Sísera éí Kííni dine'é Hííber wolyéii be'asdzą́ą́ Jéíyel biníbaalígóó yóó'ajoolwod, háálá Héízor kin haal'áádóó aláahgo naat'áanii Jéíbin índa Kííni diné nilíinii Hííber bighandóóígíí éí yił k'é da'ahó'ní. 
7:4:018:0	Áko Jéíyel éí Sísera yidááh níyáago áyidííniid, Yah aninááh, shinanit'a'í, shił yah aninááh; t'áadoo nił yé'í. Ákohgo biníbaal góne' yah ajííyáago beeldléí hak'íísti'. 
7:4:019:0	Áko asdzání ábizhdííniid, Baa nánooshkąąh, tó doodlį́łígíí áłch'į́į́dígo ł a' shaa níkaah, háálá dibáá' sélį́į́'. Ákohgo abe' bee naat'áhí ąą ájiilaago doodlį́įłii baazhníką́ągo bik'ínídzísti'. 
7:4:020:0	Áko ánáábizhdoo'niid, Níbaal bich'é'étiingi sínízį́įgo t'áá háiida naa níyáago nanídíłkidgo, Ła'daásh kwe'é naaghá, nidííniidgo, Nidaga', bididííniił. 
7:4:021:0	Nidi Jéíyel éí Hííber be'asdzą́ą́ nilíinii níbaal bá anídaalkałí ła' néidiitą́ áádóó bee atsidí néidii'ą́, áko hazhó'ógo haa níyáago éí t'áá íiyisí ch'ééshdeeyáago ajiłhosh, índa níbaal bá anídaalkałí hajaat'ah góne' yaa ayííłkaalgo ni'jį' yił i'ííłkaal, áko dadziztsą́. 
7:4:022:0	Áádóó shoo, Bérak éí Sísera yíkantáago Jéíyel hadááh yílwodgo áháłní, Hágo, diné hanítáii bich'į' nił dish'aash. Ákohgo biníbaal góne' yah ajííyáago, jó, Sísera daaztsą́ą́ lá índa níbaal bá anídaalkałí bijaat'ah góne' bił eelkaal lá. 
7:4:023:0	Ákohgo íídą́ą́' Diyin God éí Ízrel dine'é dabinááł Kéínan kéyahdóó aláahgo naat'áanii Jéíbin wolyéii yik'eh dadeesdlį́į́'. 
7:4:024:0	Ízrel dine'é náás deeskai, áádóó éí Kéínan kéyahdóó aláahgo naat'áanii Jéíbin dayiisxį́įjį' t'áá bizááká ádaat'į́į́ nít'éé'.
