7:6:001:1	Gídiyan bíká áhodoo'niid
7:6:019:0	Áko Gídiyan hakin góne' yah ajííyáago tł'ízí yázhí índa íífa wolyéii bee í'neel'ąąhí bee ak'áán haką́ągo díík'ǫsh t'áágééd bááh ályaii hasht'ejiilaa; atsį' éí ts'aa' bee nízhdiiką́ áádóó atoo' éí ásaa' bee nízhdiiką́, áko chéch'il biyaagi diyingo naal'a'í biyaa nizhníką́. 
7:6:020:0	Áko Diyin God bidiyingo naal'a'í áhodííniid, Atsį' áádóó díík'ǫsh t'áágééd bááh ályaii nídiiníiłgo díí tsé'éłkáa'gi ninínííł, índa bik'ijį' atoo' yaidííził. Áádóó ákójiilaa. 
7:6:021:0	Ákohgo Bóhólníihii bidiyingo naal'a'í gish bílák'ee sitánígíí atsį' áádóó díík'ǫsh t'áágééd bááh ályaii yiidiníłgeedgo tsé biyi'dę́ę́' kǫ' hadíínáád. Áko atsį' áádóó díík'ǫsh t'áágééd bááh ályaii iidííłk'ą́ą́'. Áádóó Bóhólníihii bidiyingo naal'a'í dah hodiile'. 
7:6:022:0	Ákohgo Gídiyan éí Bóhólníihii bidiyingo naal'a'í át'į́įgo baa ákozniizį́į'go ájíní, Dooládó' da, Bóhólníihii Diyin God nílíinii, háálá Bóhólníihii bidiyingo naal'a'í t'áá ałníi'jį' bił áhinish'į́įgo bił ałch'į' yáshti' nít'éé'. 
7:6:023:0	Nidi Bóhólníihii áhodííniid, Nich'į' hózhǫ́ǫ doo; t'áadoo nił yé'í; doo dadíítsaał da. 
7:6:024:0	Ákohgo Gídiyan éí Bóhólníihii bich'į' bikáá' náá'iiniihí hajíítł'ingo éí Bóhólníihii bik'eh hózhǫ́ nilį́, wolyée doo, jidííniid. Éíbiyíízer dine'é bikin shijaa' Áfra hoolyéegi díí jį́į́góó t'ahdii yadiitł'in. 
7:6:025:0	Ákódzaago t'áá éí bitł'éé' Bóhólníihii áhodííniid, Nizhé'é bidóola yázhí, áádóó naaki góne'ígíí tsosts'id binááhai nídidíílóosgo nizhé'é bibikáá' náá'iiniihí Béíyal yich'į' nahałáhígíí bits'ą́ą́' naa'adínííłkał áádóó bíighahgi Ashíírah daolyéego naazkaadii ałdó' bits'ą́ą́' łeeh bí'díítsił. 
7:6:026:0	Áko Bóhólníihii niDiyin God bich'į' díí tsé'éłkáa'gi é'él'íinii bik'ehgo bikáá' náá'iiniihí ádíílííł; dóola naaki góne'ígíí éí didlidgo nááhániihii Ashíírah daolyéii ahidííníł ne'ígíí bee didííłił. 
7:6:027:0	Áko Gídiyan éí diné há nidaal'a'í neeznált'éego nízhdiinil; Bóhólníihii t'áá áhodííniidígi át'éego í'jiilaa; jó, hazhé'é ba'ałk'eedóó hak'éí danilíinii áádóó kintahdóó diné kéédahat'íinii t'áá íiyisí bik'ee hoł yée'go biniinaa jį́įgo t'áadoo ákójiilaa da, nidi tł'ée'go índa ákójiilaa. 
7:6:028:0	Áko t'ah abíínígo kintahdóó dine'é nídiijéé' nít'éé'; jó, Béíyal bich'į' nahadláii bibikáá' náá'iiniihí nihidítąąd índa bíighahgóó Ashíírah daolyéego naazkaad yę́ę łeeh bí'ootsxéél lá áádóó dóola naaki góne'ígíí bikáá' náá'iiniihí ályaii bikáa'gi nááhaaznii' lá. 
7:6:029:0	Áko ahidiníłnáago áda'ahidoo'niid, Díishą' háí kódzaa? Áko yínda'ídíłkidgo nideiskáá'dóó bik'ijį' ádadííniid, Dííyee' Jó'ash biye' Gídiyan wolyéii át'į́į́ lá. 
7:6:030:0	Ákohgo kintahdóó dine'é éí Jó'ash ádeidííniid, Niye' dadootsaał biniyé bił ní'aash, háálá Béíyal bich'į' nahadláii bibikáá' náá'iiniihí nayííłkaad índa bíighahgi Ashíírah daolyéego naazkaadii łeeh yí'ííłtsxéél lá. 
7:6:031:0	Áko Jó'ash bik'ídaha'áahgo naazínígíí t'áá át'é áyidííniid, Da' Béíyalísh bich'ą́ą́h yádaałti'? Doodaii' yisdádanołteehgoósh ádadohní? Háni'dii Béíyal bich'ą́ą́h yájíłti'ígíí t'ah abínídą́ą́' t'óó hodi'yoolyééł. Béíyal t'áá bí diyin nilį́į́ ládą́ą́' háni'dii t'áá bí ách'ą́ą́h haadziih, háálá bibikáá' náá'iiniihí bits'ą́ą́' ahiih názhníí łkaad. 
7:6:032:0	Éí bąą íídą́ą́' Jerabéíyal joolyée doo, hozhdííniid. Háni'dii Béíyal éí t'áá bí hak'ijį' haadziih, háálá bich'į' bikáá' náá'iiniihí bits'ą́ą́' ahiih názhnííłkaad. 
7:6:033:0	Ákohgo Mídiyan dine'é áádóó Ámalek dine'é índa ha'a'aahdóó dine'é t'áá ałtso t'áá ła' bizhi'ee áłah daazlį́į'go Jórdan tooh ha'naadi Jézriyel kin shijaa'gi yíldzis góyaa dah yinééł. 
7:6:034:0	Nidi Bóhólníihii biNíłch'i Diyinii éí Gídiyan bik'i hoole' go deenásts'aa' bidee' bee í'dílzoołí yee ádííniidgo Éíbiyíízer dine'é hakéé' dah diiná. 
7:6:035:0	Áko naal'a'í Manásehgóó adziis'a', áko áádę́ę́' hakéé' ni'iisdee'. Áádóó naal'a'í éí Ásher dine'é áádóó Zébyulan dine'é índa Náftalai dine'é bich'į' anáádziis'a'go áádę́ę́' hadááh dahaazná. 
7:6:036:0	Ákohgo Gídiyan éí Diyin God áyidííniid, Shí shee Ízrel dine'é yisdánínííł ládą́ą́', bee háínídzí'ígi át'éego ánílééh. 
7:6:037:0	Jó, aghaa' bits'áljoolii ni'góó nideeshjoł dahtoo' bąąh silį́į'go ni'góó éí t'áá hóółtsei ládą́ą́' bee háínídzí'ígi át'éego shí shee Ízrel dine'é yisdáníníiłgo shił bééhodoozįįł. 
7:6:038:0	Áko ákódzaa. T'ah abínídą́ą́' nízhdii'na'go aghaa' bits'áljoolii bąąh dziznih nít'éé', dahtoo' bąąh lá, éí ásaa' hadeezbin bíighahgo bąąh háána'. 
7:6:039:0	Ákohgo Gídiyan éí Diyin God áyidííniid, T'áadoo shich'į' náháchį'go shik'ijį' nílíní; shíni'dii t'ááłáhídi hanáádeesdzih; shíni'dii t'ááłáhídi aghaa' bee bíníshtáahgo shił bééhodoozįįł baa nánooshkąąh: éí aghaa' bits'áljoolii t'éí yíłtsei doo, nidi ni'góó t'áá át'é hashzhoh doo. 
7:6:040:0	T'áá éí bitł'éé' Diyin God ákódzaago aghaa' bits'áljoolii t'áá yíłtseii, nidi ni'góó t'áá át'é náháshzhoh lá.
