7:7:001:1	Gídiyan bidiné éí Mídiyan dine'é yik'eh dadeesdlį́į́'
7:7:011:0	Áko diné ha'át'íí daanínígíí yídííłts'įįłgo bee níla' bidziil dííleełgo dah oonéłí góyaa hidíídááł. Ákohgo Púra há naal'a'í bił ákóyaa jiní'áazhgo siláo dah yinéłígíí bibąąhjį' jiní'áázh. 
7:7:012:0	Áko nahachagiitsoh t'áadoo bee néelą́'ída nahalingo Mídiyan dine'é áádóó Ámalek dine'é índa ha'a'aahdę́ę'go dine'é éí yíldzis góyaa dah yinééł, áko tónteel bibąąhgi séí t'óó ahayóígíigi át'éego bighą́ą́'ask'idii doo jóołta' ádanéelą́ą' da. 
7:7:013:0	Gídiyan níyáago, jó, diné ła' neizyeelígíí bik'is yee yił halne'go ání, Jó, baa neiseełgo baa neisíyeelii éí tł'oh naadą́ą́' bidee'í bááh ályaaígíí éí Mídiyan dine'é dah yinéłí góne' íímáazgo níbaal yik'i ch'ínímááz. Áko yídeezgohgo ahiih nááłhęęzh. 
7:7:014:0	Áko bik'is ábidííniid, Díí Ízrel dine'é Jó'ash biye' Gídiyan bidiltłish át'éé lá, háálá Diyin God éí Mídiyan dine'é áádóó yił dah deínéehii t'áá ałtso hálák'eidíí'ą́. 
7:7:015:0	Áko baa nidziizyeelígíí áádóó ááhyiłnínígíí dzidiizts'ą́ą'go Gídiyan sodoolzin, áádóó Ízrel dine'é dah yinéłígóó nídzídzáago ájíní, Hasht'e'ádadołnééh, háálá Mídiyan dine'é bits'ą́ą́dóó dah deínéehii Bóhólníihii nihílák'eidíí'ą́. 
7:7:016:0	Áko diné táadi neeznádiingo diné dah yinéłígíí táá'góó ałts'ázhnínil, índa deenásts'aa' bidee' bee í'dílzoołí áádóó ásaa' éí honooyééł bii' naaznilgo t'áá ałtso deíjáahgo ájiilaa. 
7:7:017:0	Áko ábizhdííniid, Dashinół'į́įgo ííshją́ą́ íisdzaaígi ádaaht'į́į doo; dah oonéłígíí bit'áahjį' niníyáago íisdzaaígi ádaaht'į́į dooleeł. 
7:7:018:0	Deenásts'aa' bidee' bee ídílzoołí bee ádííniidgo shí índa diné shił naakaígíí t'áá ałtso éí dah oonéłígi t'áá ałtsodę́ę́' deenásts'aa' bidee' bee í'dílzoołí bee ádadidoohniiłgo, Bóhólníihii índa Gídiyan bidiltłish, dadidoohniił. 
7:7:019:0	Áko Gídiyan áádóó diné neeznádiingo hoł naakaígíí dah oonéłígíí bit'áahjį' ajííjée'go tł'é'ííłníi'go hada'ídées'į́'í ániid ałnánáá'nil, áko deenásts'aa' bidee' bee í'dílzoołí bee ádazhdííniidgo ásaa' hálák'ee naaznilígíí nidadziists'il. 
7:7:020:0	Áko táa'go ałts'áá'nilígíí deenásts'aa' bidee' bee í'dílzoołí yee ádaaníigo áádóó ásaa' nidadzistseedgo honooyééł éí nishtł'ají bílák'ee naaznil, índa adee' bee í'dílzoołí éí nish'náájígo bílák'ee naaznilgo hadadeeshghaazhgo ádaaní, Bóhólníihii índa Gídiyan bidiltłish! 
7:7:021:0	Áko diné t'ááłá'í nítínígo dah oonéłígíí yinázį́, áádóó ana'í t'áá ałtso nídiijée'go hahodííłdláadgo dah dadíníichą́ą́'. 
7:7:022:0	Deenásts'aa' bidee' bee í'dílzoołí táadi neeznádiingo yee ádaaníigo Bóhólníihii éí ana'í t'áá át'é t'ááłá'í nítínígo bidiltłish yee ałtaa alghaałgo áyiilaa, índa ana'í éí Beth-shítah kin shijaa'góó Zerérah nahós'a' bich'į'go aheezhjéé' áádóó Éíbel-miihólah kin shijaa'góoda éí Tábath nahós'a'góó ałdó' aheezhjéé' lá. 
7:7:023:0	Áko Ízrel diné danilíinii éí Náftalai dine'é áádóó Ásher dine'é índa Manáseh dine'é t'áá át'é bits'ą́ą́dóó áłah silį́į'go Mídiyan dine'é yikéé' aheezhjéé'. 
7:7:024:0	Áko Dził Íífreiyimgóó t'áá át'é Gídiyan éí nidaal'a'í adziis'a'go ájíní, Hágo, Mídiyan dine'é bik'iidoohjahgo Bethbára ha'naa nideetiiníjį' Jórdan tooh bibąąhgi bidááh nihidoohkah. Ákohgo Íífreiyim dine'é t'áá ałtso áł ah silį́į'go Bethbára ha'naa nideetiiníjį' Jórdan tooh bibąąhgóó t'áá át'é baa nijiyeekai. 
7:7:025:0	Áko Mídiyan dine'é binanit'a'í naakigo, ła' Óreb wolyé, ła'ígíí Zíyeb wolyé, Óreb éí Óreb tsé'éłkáa'gi dayiisxį́, áádóó Zíyeb éí Zíyeb ch'il na'atł'o'ii yiljizhígi dayiisxį́, áádóó Mídiyan dine'é yikéé' yijah. Áko Óreb áádóó Zíyeb bitsiits'iin éí Jórdan toohjį' Gídiyan yaa deizhjaa'.
