7:14:001:1	Sámson áádóó Tímnah kin shijaa'dę́ę́' asdzání
7:14:011:0	Áko ákódzaago diné dahoołtsą́ągo dabik'isóó tádiingo nídeiizh'eezhgo yił haa áłah silį́į́'. 
7:14:012:0	Áko Sámson éí diné áyidííniid, Tsosts'id jį́ ída'azįįd bee hoogááł biyi' saad nanil'ingo béédi'dootį́įłii ła' bee nihich'į' hadeesdzih, áko ááhyiłnínígíí nihił béédahoozingo bee shił dahodoołnih, ákohgo ééłgaii tádiingo índa éé' bee ha'dít'éhígíí ałdó' tádiingo nihaa deesh'nił, 
7:14:013:0	nidi t'áadoo shił dahoołne'góó nihí ééłgaii tádiingo índa éé' bee ha'dít'éhígíí shaa dadoohnił. Áko ádahodííniid, Haa'íyee', saad nanil'ingo béédi'dootį́įłii bee handziih; bíni'dii dadidiits'į́į́ł. 
7:14:014:0	Áko ábizhdííniid,Ayáanii bitsą́ą́dę́ę́' doodį́įłii hazlį́į́'.Bidziilii bits'ą́ą́dę́ę́' łikanii hazlį́į́'.Áko saad nanil'ingo béédi'dootį́įłii tágí jį́ ch'ééh béédazhdeetįįh. 
7:14:015:0	Tsosts'id yiską́ągo Sámson be'asdzą́ą́ ádeidííniid, Nahastiin bich'į' baa nisi'níłdeełgo saad nanil'ingo béédi' dootį́įłii ááhyiłnínígíí yee nihił hodoolnih, doodaii' doo íinidzaagóó t'óó adandidiilk'ą́ą́ł índa nizhé'é bighandóó danilíinii ałdó' adadidiilk'ą́ą́ł. Da' hojooba' ádaniit'ée doósh biniyé nihíká ádííníniid? 
7:14:016:0	Áko Sámson éí hwe'asdzą́ą́ yichago áháłní, Ayóogo shijiiníłxá; doo ayóó'áshííní'níi da; shikéyahdóó diné bich'į' saad nanil'ingo béédi'dootį́įłii bee bił hwíínílne', áko ááhdinínígíí doo bee shił hólne' da. Áádóó ábizhdííniid, Jó, shizhé'é áádóó shimá nidi doo bee bił hashne' da, da' ákoósh bee nił hodeeshnih lá? 
7:14:017:0	Ída'azįįd bee nihoolzhiizhjį' asdzání náhookąąhgo tsosts'id jį́ azlį́į́'. Áko tsosts'id yiską́ągo índa bee bił hojoolne', háálá t'áá bizááká hach'į' yaa niséé'áłdił. Ákohgo saad nanil'ingo béédi'dootį́įłii bidine'é yee yił náhoolne'. 
7:14:018:0	Áko tsosts'id jį́į́ góne' t'áadoo e'e'aahí kin haal'áádóó diné éí Sámson ádeidííniid,Ha'át'íishą' tsés'ná bitł'izh biláahgo łikan?Ha'át'íishą' náshdóítsoh bitsiijį' ditł'ooígíí biláahgo bidziil?Áko nít'éé' ábizhdííniid,Shibéégashiistsa'ii doo bee nidahoyołdlaadgóósaad nanil'ingo béédi'dootį́įłii shits'ą́ą́' t'áadoo nihił béédahoozin da doo nít'éé'. 
7:14:019:0	Áko Bóhólníihii biNíłch'i Diyinii bibee adziilii hak'i hoole'go Áshkelan kin haal'áágóó jiníyáago áadi diné tádiingo nidzistseed, áko bindaalye'é nízhdiinilgo saad nanil'ingo béédi'dootį́įłii yaa dahoolne'ígíí éé' bee ha'dít'éhígíí bitaadziznii'. Áko hoł hazhchxihgo t'óó hazhé'é bighangóó dah nízdiidzá. 
7:14:020:0	Sámson éí diné ła' bił ałch'ojónéego chojooł'íinii hwe'asdzą́ą́ baa yíltį́.
