42:8:001:1	Ministering Women
42:8:025:0	And He said to them , “ Where is your faith ? ” They were fearful and amazed , saying to one another , “ Who then is this , that He commands even the winds and the water , and they obey Him ? ”
42:8:026:0	Then they sailed to the country of the Gerasenes , which is opposite Galilee .
42:8:027:0	And when He came out onto the land , He was met by a man from the city who was possessed with demons ; and who had not put on any clothing for a long time , and was not living in a house , but in the tombs .
42:8:028:0	Seeing Jesus , he cried out and fell before Him , and said in a loud voice , “ What business do we have with each other , Jesus , Son of the Most High God ? I beg You , do not torment me . ”
42:8:029:0	For He had commanded the unclean spirit to come out of the man . For it had seized him many times ; and he was bound with chains and shackles and kept under guard , and yet he would break his bonds and be driven by the demon into the desert .
42:8:030:0	And Jesus asked him , “ What is your name ? ” And he said , “ Legion ” ; for many demons had entered him .
42:8:031:0	They were imploring Him not to command them to go away into the abyss .
42:8:032:0	Now there was a herd of many swine feeding there on the mountain ; and the demons implored Him to permit them to enter the swine . And He gave them permission .
42:8:033:0	And the demons came out of the man and entered the swine ; and the herd rushed down the steep bank into the lake and was drowned .
42:8:034:0	When the herdsmen saw what had happened , they ran away and reported it in the city and out in the country .
42:8:035:0	The people went out to see what had happened ; and they came to Jesus , and found the man from whom the demons had gone out , sitting down at the feet of Jesus , clothed and in his right mind ; and they became frightened .
42:8:036:0	Those who had seen it reported to them how the man who was demon-possessed had been made well .
42:8:037:0	And all the people of the country of the Gerasenes and the surrounding district asked Him to leave them , for they were gripped with great fear ; and He got into a boat and returned .
42:8:038:0	But the man from whom the demons had gone out was begging Him that he might accompany Him ; but He sent him away , saying ,
42:8:006:1	Miracles of Healing
42:8:039:0	“ Return to your house and describe what great things God has done for you . ” So he went away , proclaiming throughout the whole city what great things Jesus had done for him .
42:8:040:0	And as Jesus returned , the people welcomed Him , for they had all been waiting for Him .
42:8:041:0	And there came a man named Jairus , and he was an official of the synagogue ; and he fell at Jesus’ feet , and began to implore Him to come to his house ;
42:8:042:0	for he had an only daughter , about twelve years old , and she was dying . But as He went , the crowds were pressing against Him .
42:8:043:0	And a woman who had a hemorrhage for twelve years , and could not be healed by anyone ,
42:8:044:0	came up behind Him and touched the fringe of His cloak , and immediately her hemorrhage stopped .
42:8:045:0	And Jesus said , “ Who is the one who touched Me ? ” And while they were all denying it , Peter said , “ Master , the people are crowding and pressing in on You . ”
42:8:046:0	But Jesus said , “ Someone did touch Me , for I was aware that power had gone out of Me . ”
42:8:047:0	When the woman saw that she had not escaped notice , she came trembling and fell down before Him , and declared in the presence of all the people the reason why she had touched Him , and how she had been immediately healed .
42:8:048:0	And He said to her , “ Daughter , your faith has made you well ; go in peace . ”
42:8:049:0	While He was still speaking , someone *came from the house of the synagogue official , saying , “ Your daughter has died ; do not trouble the Teacher anymore . ”
42:8:050:0	But when Jesus heard this , He answered him , “ Do not be afraid only believe , and she will be made well . ”
42:8:051:0	When He came to the house , He did not allow anyone to enter with Him , except Peter and John and James , and the girl’s father and mother .
42:8:052:0	Now they were all weeping and lamenting for her ; but He said , “ Stop weeping , for she has not died , but is asleep . ”
42:8:053:0	And they began laughing at Him , knowing that she had died .
42:8:054:0	He , however , took her by the hand and called , saying , “ Child , arise ! ”
42:8:055:0	And her spirit returned , and she got up immediately ; and He gave orders for something to be given her to eat .
42:8:056:0	Her parents were amazed ; but He instructed them to tell no one what had happened .
