62:3:001:1	Diyin God ba'áłchíní
62:3:014:0	Aniné bii'dóó iiná bii'jį' ahiikaigo nihił béédahózin , háálá Christ bee nihik'isóó danilíinii ayóó'ádeíníi'ní . Hak'is doo ayóó'ájó'níinii éí t'ahdii aniné bii' hojílǫ́ .
62:3:015:0	T'áá háiida hak'is bik'eezhdiniihígíí éí diné neiłtseedii jílį́ , áko nihił béédahózingo diné neiłtseedii éí iiná doo ninít'i'ii bee ádin .
62:3:016:0	Christ be'iina' nihá ninéidiní'ánígíí bąą Diyin God bibee ayóó'ó'ó'ni' baa ákodaniidzį́į́' , áko nihí ałdó' Christ bee nihik'isóó danilíinii bá nihe'iina' ninádahidiit'aah doo .
62:3:017:0	T'áá háiida bee iináanii t'áá hwee hólǫ́ǫgo , éí Christ bee hak'is nilíinii yídin nilíinii hoł bééhózin nidi , t'áadoo le'é doo bee baa jijoobaahgóó , ákoshą' haa yit'éego Diyin God bibee ayóó'ó'ó'ni' hwii' hólǫ́ǫ doo .
62:3:003:1	Da'oodlání éí Diyin God bidááhdóó doo nitsedaakai da doo
62:3:018:0	Sha'áłchíní , Ayóó'áda'ííníi'ní , dadii'níigo t'áadoo t'óó ádadii'níní doo , nidi t'áá aaníinii bee ayóó'áda'ahííníi'níigo ałk'i nideiildzil doo .
62:3:019:0	Díí kót'éego t'áá aaníinii bíí' daniidlį́įgo nihił béédahózin , índa Diyin God bidááhdóó t'áadoo nitsideiikaií doo .
62:3:020:0	Háálá nihijéí , Bąąhági ánít'é , nihiłníigo Diyin God éí nihijéí biláahdi ayóó át'éii nilį́įgo nihił béédahodoozįįł , háálá t'áá ałtsoní bił bééhózin .
62:3:021:0	Ayóó'ánihósh'níinii , nihijéí ná nihoot'ą́ doo nihiłníígóó , Diyin God binááł doo nitsideiidáa da doo .
62:3:022:0	T'áá ha'át'íhída bídayíníikeedgo bits'ą́ą́dóó nihee nidahwiileeh , háálá yee has'áanii bik'eh dahoniil'į́įgo bił hóshóonii baa nideiikai .
62:3:023:0	Áko díí yee has'áanii át'é , t'áá bí biYe' Jesus Christ bízhi' nihił danilį́įgo deinohdlą́ą doo , áádóó t'áá yee nihá haadzí'ígi át'éego , ayóó'áda'ahííníi'níi doo .
62:3:024:0	Diyin God yee has'áanii bik'eh hojíł'į́įgo Diyin God bii' hojílǫ́ , áádóó Diyin God hwii' hólǫ́ . Diyin God éí Níłch'i Diyinii nihaazhníł'a'ígíí bee Diyin God nihiyi' hojílǫ́ǫgo nihił béédahózin .
