54:6:001:1	Slaves Nąįį Deegoorahnyąą Gwik'eegoogwahthat
54:6:011:0	Gaa nan ąįį, Vit'eegwijyąhchy'aa vidinji' inlii akwat, jii deiinyą' datthak gwits'į' adak'ąąntii. Gweheezyaa gwizhrįh geetr'agwah'in ts'ą' dinjii nizįį inlii, gwik'iinjinghit, ch'eet'igwiniindhan ni'įį, ts'ą' khit jyaa diinchy'aa ts'ą' khai'gwidlii dinjii inlii. 
54:6:012:0	Gwik'iinjigwiighit ni'yaa eenjit gwint'aii tr'agwah'in, ąįį ji' t'ee gwandaii ndaanąą'ąį' kwaa gaayiihantsyaa. Jii gwandaii ndaanąą'ąį' kwaa eenjit t'ee Vit'eegwijyąhchy'aa noozhrii, nijin lęįį nąįį andaa gwik'iinjigwiighit gwinzii eeginkhe' dąį'. 
54:6:013:0	Vit'eegwijyąhchy'aa vandee ts'ą', t'ee jidii datthak gwandaii iłtsąįį ąįįts'ą' Christ Jesus, chan Pontius Pilate ts'ą' gwinzii ginkhe', jii kwaii jyaa dini'in. 
54:6:014:0	Juk gwats'an, nijin drin Diik'eegwaadhat Jesus Christ vineegwahaakyaa gwats'ą' ąįį deenaiinyą' datthak gwik'it t'ini'in ts'ą' shroodiinyąą inlii zhit k'ii'an tr'agoh'ya' shrǫ'! 
54:6:015:0	Vit'eegwijyąhchy'aa adan zhrįh ndak khii nilii ts'ą' Shroodiinyąą chan nilii, King nąįį datthak eenjit King nilii, k'eedeegwaadhat nąįį eenjit datthak ndak khii Diik'eegwaadhat nilii ts'ą' nijin Vit'eegwijyąhchy'aa niindhan ji' gwizhrįh vineegwahaakyaa. 
54:6:016:0	Adan zhrįh gwandaii ndaanąą'ąį' kwaa di'įį, aadrii ąįį ch'ihłak gaa duuyeh yizhyahkhaii ąįį zhit gwich'įį. Vit'eegwijyąhchy'aa ch'ihłak gaa yąąh'ya' kwaa, ts'ą' ch'ihłak gaa duuyeh yąąh'in. Adan zhrįh viiyeenjit khadhoo'ee ts'ą' t'aih khwa'įį! Amen! 
54:6:017:0	Zhit juu jii gwarandaii gwizhit gwiintsii neegoo'aii nąįį adagashoo gooli' shrǫ', ts'ą' k'aiich'ii zhit gwizhit ninjich'oodhat shrǫ', Vit'eegwijyąhchy'aa zhit gwizhrįh. Jidii gwiindhan datthak vizhit shoo tr'iheel'yaa eenjit diits'an yahtsii gavaiinyąą. 
54:6:018:0	Dinjii nizįį ǫhłįį goovaiinyąą, gwitr'it nizįį t'ini'in, ts'ą' nihts'ą' ch'ohtsai' shrǫ' ąįįts'ą' niinjihkhaii nihts'ą' ohsįį goovaiinyąą. 
54:6:019:0	Jyąhts'ą' t'ee gwihil'ee gaayiigahaahtsyaa ąįį khaihłan niheedaa ts'ą' khit gooveenjit gwehee'aa. Ąįįtł'ęę t'ee gwandaii ąįį łyaa gwandaii łi'didlii nilii ąįį gaayiigohaahtsyaa, ąįįt'ee gwandaii ndaanąą'ąį' kwaa t'inchy'aa. 
54:6:020:0	Timothy, jidii nintł'eegwarin'ąįį łyaa gwinzii vak'ąąhtii. Juu gaandaii eenjit adashoo ahłįį nąįį zhyaa nihts'ą' ts'į' adak'ąąntii ts'ą' Vit'eegwijyąhchy'aa vinehts'į' goiinkhyaa shrǫ'! 
54:6:021:0	Dinjii lat nąįį jyaa diginyąą geh'an gwik'iinjigwiighit gii'įį kwaa gilik.Vit'eegwijyąhchy'aa vich'eegoonzhrii naa oolį'!
