44:15:001:1	Jerúsalemgi áłah azlį́į́'
44:15:011:0	Nidi t'áá yisdáhidookahígi át'éego nihí ałdó' Bóhólníihii Jesus bibee ajooba' bee yisdáhidiikahgo deiniidlą́. 
44:15:012:0	Áko áłah nilínígíí t'áá ałtso dadeesxeel, áádóó Bárnabas índa Paul éí doo Jew dine'é danilíinii bitahgóó Diyin God bibee adziilii bee béédahózinii índa bik'ee t'óó ił ahayóigo ádahooníiłii hanahjį' Diyin God yaa naayáhígíí baa nahodzisne'go deidiizts'ą́ą́'. 
44:15:013:0	T'áá ákódígo bee hadzoodzíi'go James hach'į' t'ą́ą́' hanáádzíi'go ání, [Shahastóí áádóó] shik'isóó, dashíísółts'ą́ą́': 
44:15:014:0	Diyin God ts'ídá átsé doo Jew dine'é danilíinii yaa joozba'go, éí bitahdę́ę́' dine'é ła' t'áá bí bízhi' yee dabi'dójíi dooleeł biniyé yitayiizláá', níigo Sáíman nihił nahasne'. 
44:15:015:0	Diyin God yá dahalne'ii yę́ę dabizaad díí t'áá yił aheełt'éego halne'. Kóníigo bee ak'e'ashchį́: 
44:15:016:0	Bóhólníihii ání, Díidí bik'ijį' náádeeshdáałgo,David bisodizin bá hooghan nidahasdázígóó áńdeeshdlííł;nidahasdázígóó nídeeshtł'į́įłgo ninádeesh'ááł. 
44:15:017:0	Áko náánáła' dadine'é Bóhólníihii hadeintáa doo,áádóó doo Jew dine'é danilíinii t'áá shí dooleełgo bíká ádíshnínígíí t'áá ałtso ałdó' hadeintáa doo.Bóhólníihii díí t'áá ałtsoní áyoolíiłii kóní. 
44:15:018:0	T'áá hodeeyáádę́ę́' Diyin God ádeile'ii bił bééhózin.  
44:15:019:0	Éí bąą kót'éego bee nitsískees, doo Jew dine'é danilíinii bitahdę́ę́' Diyin God yich'į' dah nídahidiikáhígíí t'áadoo baa nídeiit'íní dooleeł, 
44:15:020:0	nidi eda'alyaii bich'į' ch'iyáán náádahaaznii'ii t'áadoo daohsání, áádóó na'ageh bee tsi'na'adá bits'ą́ąjį' ádanoht'é, índa bizák'ídadii'nii'ii áádóó diłda t'áadoo daohsání, dabidii'níigo bich'į' naaltsoos ádeiilnéehgo yá'át'ééh nisin. 
44:15:002:1	Daal'aadii áłah daazlį́į'ii binaaltsoos
44:15:021:0	Háálá ałk'idą́ą́' oochííłdę́ę́' t'áá háá'áyį́į́h jį́ ná'oodleeł bik'eh, t'áá kin hadaas'áagi kin bii' áłah nída'adleehgóó Mózes yę́ę bizaad nídayóltahgo yaa nídahalnih. 
44:15:022:0	Áko daal'aadii áádóó da'oodlání yá aląąjį' naazíinii índa da'oodlání áłah nádleehii t'áá ájít'é, hatahdóó diné ła' nídidoo'niłgo Paul índa Bárnabas yił Ántiyakgóó dookahígíí hoł yá'ádaat'ééh. Áko Júdas éí Bársabas ałdó' yolyéhígíí, índa Sáílas bił nídazhdiinil, díí nidilt'éego ałk'isóó danilíinii bitahdóó alááh hidíízíinii nilį́, 
44:15:023:0	áko kót'éego naaltsoos bił adadzis'a': Daal'aadii índa da'oodlání bá aląąjį' nisiidzíinii, nihik'is daniidlį́įgo, Ántiyakgóó áádóó Síriyagóó índa Silíshiyagóó doo Jew dine'é danilíinii bitahdóó nihik'is danohłíinii, k'é danihidii'ní. 
44:15:024:0	Háálá kodóó nihits'ą́ą́dóó diné ła', t'áadoo saad bee bich'į' hadasiidzíi'ii yee nihída'ats'ih, áko nihintsékees bee t'óó nihił daahaadago ádanihiilaago dasidiits'ą́ą́'. [Ádanihiłní, Nihąąh nídahidínóolgish áádóó Jew dine'é bibee haz'áanii bik'eh dahonoł'į́į doo.] 
44:15:025:0	Áko áłah siidlį́į'go aheełt'éego nitsídeiikeesgo diné ła' nídadii'nilgo, éí ayóó'ádeíníi'níinii Bárnabas índa Paul bił nihich'į' dadeel'a'go la', yá'át'ééh daniidzį́į́', 
44:15:026:0	nihiBóhólníihii Jesus Christ bízhi' bá díí diné t'áá ájíłah niná'ázhdeet'ą́. 
44:15:027:0	Éí bąą Júdas índa Sáílas nihich'į' adasiil'a', éí ałdó' t'áá bí díí yee nihił hodoolnih. 
44:15:028:0	Háálá díí t'áá ákónéehee ádaat'éii át'é, t'ah náábíláahgo t'éí doo nihiyéél ádeiilne' da, éí Níłch'i Diyinii yá'át'ééh nízingo nihí ałdó' yá'át'ééh daniidzin: 
44:15:029:0	éí eda'alyaii bich'į' náádahaaznii'ii áádóó dił áádóó bizák'ídadii'nii'ii t'áadoo daohsání, índa na'ageh bee tsi'na'adá bits'ą́ąjį' ádanoht'é. Éí bits'ą́ąjį' ádanoht'éego yá'át'éehgi ádaahníił dooleeł. Diyin God nihił hólǫ́ǫ doo. 
44:15:030:0	Áko índa dah dahodiił'a'go Ántiyak góyaa jíkai, áko da'oodlání áłah nádleehii t'áá át'é áłah ádajiilaago naaltsoos baa dadzistsooz. 
44:15:031:0	Éí dayííłta'go bee ha'ahóníinii bąą bił dahóózhǫǫd. 
44:15:032:0	Áádóó Júdas índa Sáílas, t'áá bí ałdó' Diyin God yá halne'ii nilį́įgo ałk'isóó danilíinii lą'ígóó bich'į' yájííłti'go chánah danilį́įgo índa dabidziilgo ádajiilaa. 
44:15:033:0	T'áá ákwe'é hwee hodíína'dóó bik'ijį', dahoníł'a'ígíí bich'į' hoł hózhǫ́ǫgo hak'isóó anídahas'a'. 
44:15:034:0	[Nidi Sáílas, t'áá ákwe'é dzizdáa dooleełígíí hoł yá'íít'ééh.] 
44:15:003:1	Paul éí Bárnabas yił ałts'ásht'áázh
44:15:035:0	Nidi Paul índa Bárnabas éí t'áá Ántiyakgi siké, diné lą'í hoł nida'nitin áádóó Bóhólníihii bizaad baa dahojilne'. 
44:15:036:0	Lą'í yiską́ą́dóó bik'ijį' Paul éí Bárnabas yich'į' haadzíi'go ání, Haa'íshą', t'áá kin hadaas'áagi Bóhólníihii bizaad baa nahosiilne' yę́ęgóó t'ą́ą́' nídiit'ashgo nihik'isóó danilíinii haa daat'į́į sha'shin, éí nihił bééhodoozįįł. 
44:15:037:0	Áko Bárnabas éí John, Mark ałdó' yolyéhígíí, bił diikah, níigo yaa nitsi'níłdéél. 
44:15:038:0	Nidi Paul éí doo íinízin da, háálá Pamfíliyadóó łah hats'ą́ą́' t'ą́ą́' hááyáago t'áadoo náásgóó hoł náádeeshnish da. 
44:15:039:0	Áko éí biniinaa t'áá íiyisí ałghazh'dit'áahgo baa nijizh'áazhgo ałts'ájízh'áázh, áko Bárnabas, Mark yił dah dii'áazhgo Sáíprasgóó hoł dah adii'éél, 
44:15:040:0	nidi Paul éí Sáílas néidiiłtį́įgo ałk'isóó danilíinii, Bóhólníihii nihaa jooba' doo, dahałníigo dashdii'áázh. 
44:15:041:0	Áko da'oodlání áłah nídaadleehii bidziil ádajile'go Síriya índa Silíshiya kéyah biyi'góó ch'ízhní'áázh.
