44:18:001:1	Kórinthgi Paul naaghá
44:18:011:0	Áko t'ááłá'í nááhai áádóó hastą́ą́h nídeezidjį' bitahgóó Diyin God bizaad bee naz'neeztą́ą́'. 
44:18:012:0	Nidi Gáliyo éí Akéya hoolyéegi naat'áanii nilį́į́dą́ą́', Jew dine'é łá'í silį́į'go Paul yich'į' nídiizą́ągo yaatįįh yikai, áko aa náhát'į́įjį' yił daaskai, 
44:18:013:0	kódaaníigo, Díí hastiin éí bee haz'áanii doo yik'eh át'éégóó Diyin God bich'į' nahadlá níigo diné yíni' yá ádahale'. 
44:18:014:0	Paul k'adę́ę hadzidziih, nít'éé' Gáliyo éí Jew dine'é áyidííniid, Jew dine'é danohłíinii, doo yá'ádaat'éehii, doodaii' bąąhági ádahooníiłii baa nídaaht'į́įgo t'áá aaníí nihíídéests'įįł nít'éé', 
44:18:015:0	nidi saad índa yízhí áádóó t'áá nihí bee nidahosooł'áanii baa nídaaht'į́įgo, éí t'áá nihí baa nídaaht'į́; shí t'éí ákódaat'éhígíí yeinít'íinii doo t'áá k'ad sélį́į' da. 
44:18:016:0	Áko aa náhát'į́į́dóó ch'íininíłkaad. 
44:18:002:1	Ántiyakgóó Paul nádzá
44:18:017:0	Áádóó t'áá ałtso Sástheniiz éí áłah ná'ádleehgo á dah nánídaahígíí deisiłgo aa náhát'į́ bich'éédą́ą'gi nídeineesxaal. Nidi Gáliyo éí doo yaa ná'áhodílt'į́į' da. 
44:18:018:0	Éí ákódaadzaadóó bik'ijį' Paul t'áá ákǫ́ǫ́ lą'í náábiiską́ áádóó índa ałk'isóó danilíinii bits'ą́ą́' hoł dah adii'éél, áko Prisíla índa Ákwila bił Síriyagóó hoł aní'éél. Sénkriyadi hatsii' há yilzhéé', háálá łahgo bee ádee hazdoodzíí'. 
44:18:019:0	Éfesasdi jíkaigo, t'áá ákwe'é Prisíla índa Ákwila nizhnínil. Hó kin bii' áłah ná'ádleeh góne' yah ajííyáago Jew dine'é bighazhdit'ááh. 
44:18:020:0	T'áá kǫ́ǫ́ haada nízahgóó nee nááhodidoo'naał dahodííniidgo t'áadoo ba'dizh'ní'ą́ą da, 
44:18:021:0	nidi bits'ą́ą́' dashdiigháahgo kóbizhdííniid, [Jerúsalemdi Jew dine'é binahagha' bik'ehgo hodílzingo áłah ná'ádleehígíí baa náhoolzhiizhgo ts'ídá shidoonááł.] Áádóó Diyin God íinízin ládą́ą́' nihaa náádeeshdááł. Áko Éfesasdóó hoł dah náá'dii'éél. 
44:18:022:0	Sesaríyadi hoł aní'éelgo, da'oodlání áłah nádleehii bich'į' Jerúsalem góde jiníyáago k'é bizhdííniid, áádóó Ántiyak góyaa náádzídzá. 
44:18:003:1	Éfesasgi Apálas hane' yá'át'éehii yaa halne'
44:18:023:0	T'áá ákǫ́ǫ́ hwee hodíína'go dashdiiyáago Galéíshiya índa Fríjiya kéyah t'áá át'éé nít'éé' biyi'góó tázhdííyáago ídahooł'aahii t'áá ałtso bi'oodlą' bidziil áńdajiidlaa. 
44:18:024:0	Íídą́ą́' Jew dine'é léi' Apálas yolyé, Alezáandriyadi bi'dizhchį́įgo, Éfesasgi níyá. Diyin God bizaad bee ak'eda'ashchínígíí át'éznízingo yáti' jiichįįh. 
44:18:025:0	Bóhólníihii bik'ehgo honít'i'ii bínahodi'neestą́ą́', áko t'áá íiyisí bízhneedlį́įgo Jesus bídadéét'i'ii t'áadoo yidziihí bee yájíłti' áádóó bínazh'niłtin, azhą́ John bik'ehgo tó bee alzį́hígíí t'éí hoł bééhózin nidi. 
44:18:026:0	Kin bii' áłah ná'ádleeh góne' t'áadoo yisti'í ayá'niiłti', nidi Prisíla índa Ákwila hodiizts'ą́ą'go, ádihodiilt'e'go Diyin God bik'ehgo honít'i'ii hózhǫ́ yá'át'éehgo t'ah wónásígo yínanááhoneestą́ą́'. 
44:18:027:0	Áko Akéya hoolyéejį' tsé'naagóó deeshááł jiniizį́į'go ałk'isóó danilíinii há bił yá'ádaat'ééh, áko ídahooł'aahii bił baa hózhǫ́ǫgo baazhdoogááł biniyé bich'į' naaltsoos ádayiilaa. Áadi jiníyáago Diyin God bibee ajooba' binahjį' da'oosdląądígíí lą'ígóó hana'nitin bee bíká ajoolwod, 
44:18:028:0	háálá Diyin God bizaad bee ak'eda'ashchínígíí bił ííshją́ą́ ádajile'go, Jesus éí Christ nilį́, jiníigo, dahasłą́ą́góó Jew dine'é bigha'hizdeest'ą́.
