44:5:001:1	Ananáíyas áádóó Safáíra
44:5:002:1	Diyin God bibee adziilii bee béédahózinii índa bik'ee t'óó ił ahayóigo ádahooníiłii
44:5:011:0	Áko da'oodlání áłah nádleehii t'áá ałtso índa náádaała' t'áá ałtso díidí deidiizts'ą́ą'go, t'áá íiyisí yik'ee bił dahóóyéé'. 
44:5:012:0	Ákódzaago diné bitahgóó Diyin God bibee adziilii bee béédahózinii índa bik'ee t'óó ił ahayóigo ádahooníiłii t'óó ahayóí daal'aadii yaa nidaaskai. Áádóó kin bii' sohodizin bił haz'ą́ągi Sálaman bichaha'oh hoolyéhígi aheełt'éego nitsídaakeesgo áłah nádleeh nít'éé'. 
44:5:013:0	Náádaała' doo t'áá k'ad hohidiikai da, nidi ayóó át'éego diné hach'į' bił da'ílį́. 
44:5:014:0	Áádóó diné índa asdzání t'óó ahayóí Bóhólníihii dayoosdląądgo yaa dadzoozlíi'go hohidiikai. 
44:5:015:0	Áko kintah na'aztiinjį' nidi, bąąh dah nidahaz'ánígíí ch'ídayiizhjaa'go bik'i antéhí índa beeldléida yikáá' nidayiizhjaa', áko Peter ákǫ́ǫ́ deeyáago bichaha'ohda t'éiyá ła'da bik'iidooldoh danízingo ádaat'į́. 
44:5:003:1	Daal'aadii atídabi'diilyaa
44:5:016:0	Jerúsalem binaagi kin dah naazhjaa'dę́ę́' ałdó' diné t'óó ahayóí áłah nádleehgo, bąąh dah nidahaz'ánígíí índa níłch'i danchxǫ́'ígíí baa deinít'íinii nidayiijááh, áko t'ááłá'í nítínígo náádabidi'yiilzá. 
44:5:017:0	Nidi aláahgo náá'iiłniihii índa bich'ijí danilínígíí t'áá ałtso, éí Sádjusii dah yikahii, dahoołch'į́įdgo t'áá íiyisí bádahazhchįįdgo 
44:5:018:0	daal'aadii dayiiłtsoodgo awáalyaa góne' yah adeiznil. 
44:5:019:0	Nidi tł'ée'go Bóhólníihii bidiyingo naal'a'í awáalyaa bidáádílkał há ąą ádeile'go áádóó ch'íhoní'eezhgo áháłní, 
44:5:020:0	Nihílááh, kin bii' sohodizin bił haz'ą́ą́ góne' yah oohkáahgo, díí iiná saad nilíinii baa hane'ii t'áá át'é bee diné bił dahołne'. 
44:5:021:0	Áko díí dazdiizts'ą́ą'go, hayííłką́ągo kin bii' sohodizin bił haz'ą́ą́ góne' yah ajookaigo nidaz'neeztą́ą́'.Aláahgo náá'iiłniihii índa bich'ijí danilínígíí yił yíkaigo diné ándaha'áii índa Ízrel dine'é badahastóí t'áá ałtso áłah ádayiilaago, awáalyaadę́ę́' nídahodoo'ish biniyé ákǫ́ǫ́ ada'as'a'. 
44:5:022:0	Nidi siláo ákwii yíkai, nít'éé' awáalyaa góne' daal'aadii t'áadoo yik'íkai da, áko nákaigo yaa dahoolne'go, 
44:5:023:0	ádaaní, Awáalyaa t'áá íiyisí yéego dá'deelkaal áádóó awáalyaaí yaa ádahalyáanii dáádílkał bich'éédą́ą'gi naazį́, nidi ąą dadiniitą́, nít'éé' ákóne' doo naagháhí da. 
44:5:024:0	Áko [aláahgo náá'iiłniihii áádóó] kin bii' sohodizin bił haz'ą́ągi siláo binanit'a'í índa aláahgo nááda'iiłniihii díí deidiizts'ą́ą'go, Ha'át'íí lá ahayóí lá, haa lá hanééh lá, danízingo t'óó bił daahaada. 
44:5:025:0	Nít'éé' ła' baa níyáago bił hoolne'go ání, Jó, diné yah adasoonilígíí kin bii' sohodizin bił haz'ą́ą́ góne' naazį́įgo diné nideinitin. 
44:5:026:0	Áko kin bii' sohodizin yaa ádahalyáanii áádóó binanit'a'í ákǫ́ǫ́ yił yíkai, áádóó diné dahwíídínóołniiłgi baa jéda'jólnáago, daal'aadii áádę́ę́' hazhó'ó nídajizh'eezh. 
44:5:027:0	Áko bił níjíkaigo, diné ándaha'áii bidááhdę́ę́' nidajizh'eezh. Áádóó aláahgo náá'iiłniihii nabídééłkidgo, 
44:5:028:0	ábíłní, Da' doósh díí yízhíhígíí ts'ídá doo bee nináádadí'nóohtįįłgóó bee nihá dahwiil'a' da? Ákondi bee nida'nohtinígíí Jerúsalemgi t'áá át'éé nít'éé' daa'niihgo ádaahłaa, áko éí diné dasiilyį́įgo bidił bee nihik'i hodidoot'ááł biniyé ádaaht'į́. 
44:5:029:0	Nidi Peter áádóó daal'aadii hadaasdzíi'go ádaaní, Diné biláahgo Diyin God ts'ídá bik'eh dahoniil'į́į dooleeł. 
44:5:030:0	Tsin bąąjį' Jesus dah dahidoołt'e'go dasoołhínígíí, danihizhé'é yę́ę biDiyin God náábidiisá. 
44:5:031:0	Ízrel dine'é łahgo át'éego Diyin God yich'į' tsíńdahidookosgo áádóó bibąąhági ádaat'éii bá yóó'iididoo'áałgo bá ashja'ósin dooleeł biniyé Jesus, Aląąjį' Sizíinii índa Yisdá'iiníiłii nilį́į dooleełgo Diyin God binish'náájí dah yineesdá. 
44:5:032:0	Áko nihí díí ádahóót'įįdígíí daníil'į́į'go baa dahwiilne', Níłch'i Diyinii ałdó' yaa halne', éí Diyin God yik'eh dahół'íinii yeidiní'ą́. 
44:5:033:0	Áko díí deidiizts'ą́ą'go, t'áá íiyisí yik'ee bádahazhchįįdgo nidahodiiltsxił daniizį́į́'. 
44:5:034:0	Nidi diné ándaha'áii ła', Férisii nilíinii, Gaméíliyel yolyé, éí bee haz'áanii yína'niłtinii índa diné t'áá át'é yił nilíinii nilį́, éí yiizį'go t'óó kónígháníjį' ídahooł'aahii ch'ídoot'ishgo yee hooł'a'. 
44:5:035:0	Áko áhodííniid, Ízrel dine'é nohłíinii, díí diné tídadidoohłíłígíí t'áá íiyisí bits'ąą ádaa ádahołyą́. 
44:5:036:0	Háálá díí yoołkáłígíí t'ah bítséedi Thúdas, ayóó át'éii nilį́įgo ádá yálti'go á yiizį', áko diné łą́ bidiikai, dį́įdi neeznádiin yilt'éego daats'í, nidi bi'diisyį́, áádóó t'áá ałtso bikéé' dah diikai yę́ę tabidi'nooskaadgo t'áadoo nídaasdlį́'í da. 
44:5:037:0	Áádóó bik'ijį', daho'dólta'gi yoołkááł yę́ędą́ą́', Gáliliidóó Júdas haníí'dóó nídii'na'go, diné ła' ádííyii'nil; éí ałdó' ájídin, áko hódahółníihgo hakéé' dah diikai yę́ę t'áá ałtso tabidi'nooskaad. 
44:5:038:0	Áko k'ad áhoot'éhígíí binahjį' ánihidishní, Díí hastóí t'áadoo baa nídaaht'íní, bíni'dii naakai, háálá díí nahat'á índa díí naanish diné t'éiyá bits'ą́ą́dóogo, ts'ídá bik'eh hodidoodleeł, 
44:5:039:0	nidi Diyin God bits'ą́ą́dóogo, ts'ídá doo bik'eh dadoohdle' át'ée da. Diyin God bits'ą́ą́jí danohłį́įgo nihéédahodoozįįłgo da'át'é! 
44:5:040:0	Áko t'áá ákót'ée dooleeł dahodííniid, áko daal'aadii hágo deidííniidgo nídeineesxaal áádóó Jesus bízhi' bee doo hanáádazdoodzihgóó há yee dahooł'a'go hwéédeideezhchid. 
44:5:041:0	Áko diné ándaha'áii áłah nilínígíí bits'ą́ą́' dashdiikaigo, Jesus bízhi' biniinaa doo ił ídlį́ bik'ee ti'dahodzooznii'ígi bą́ą́h da'jílį́įgo hąąh tsíhodeeskézígíí baa hoł dahóózhǫǫd. 
44:5:042:0	Áádóó t'áá ákwíí jį́ kin bii' sohodizin bił haz'ą́ą́ góne' índa dahooghangóó t'áadoo ádahozdiilzéhí nidazh'nitin áádóó Jesus Christ baa nidahojilne'.
