44:21:001:1	Paul éí Jerúsalemjį' deeyá
44:21:015:0	Áádóó bik'ijį' hasht'e'ánáádadiilyaago Jerúsalemgóó niikai. 
44:21:002:1	Paul éí James yaa níyá
44:21:016:0	Ídahooł'aahii ła' Sesaríyadę́ę́' ałdó' bił niikai, Sáíprasdóó t'áá ałk'idą́ą́' íhooł'aahii jílíinii, Néísan joolyéii, ha'ałk'ee naháatą́ą doo biniyé hoł yah iikai. 
44:21:017:0	Jerúsalemdi niikaigo, ałk'isóó danilíinii t'áá íiyisí nihaa bił dahóózhǫǫdgo k'é danihidííniid. 
44:21:018:0	Biiskání Paul bił, James baa niikai; ákwii da'oodlání yá aląąjį' naazíinii t'áá ałtso nidaháaztą́ą́ lá. 
44:21:019:0	Áłah nilínígíí Paul k'é yidííniidgo, doo Jew dine'é danilíinii bitahgóó nijis'a'go Diyin God hanahjį' yaa naayáhígíí t'ááłá'í ní'ánígo baa nahojisne'. 
44:21:020:0	Éidíígíí deidiizts'ą́ą'go Diyin God yaa dahaznih. Áádóó ádahodííniid, Jó'akon, nihik'is nílíinii, haa shį́į́ néelą́ą'di míilgo Jew dine'é bitahdę́ę́' da'oosdląąd; éí t'áá ałtso bee haz'áanii t'áá íiyisí yídaneedlį́, 
44:21:021:0	áko éí doo Jew dine'é danilíinii bitahgóó Jew dine'é kéédahat'ínígíí t'áá ałtso, Mózes bina'nitin bits'áhóhkáahgo, niha'áłchíní t'áadoo bąąh nídahinilgishí, índa Ízrel dine'é bi'é'él'į' t'áadoo bik'eh dayínóhkáhí, bidiní, ha'níigo bee naa hóóne'. 
44:21:022:0	Ákoshą' ha'át'éego dooleeł? Kwe'é yíníyáhígíí deidoonihgo [áłah dooleeł]. 
44:21:023:0	Éí bąą nich'į' hadahidiidzihígíí bik'eh ánít'ée doo. Kwe'é nihitahgi diné dį́lt'éego dahodísingo ádee hadadeesdzíí'. 
44:21:024:0	Díí diné doo ąąh chin dooleełjí nahaghá bee bizhdidookah, áádóó bitsii' dadoolzhihgo bá bik'é ni'díílééł. Áko naa hane'go bee bił dahóóne'ígíí éí doo t'áá aaníi da dooleeł, nidi t'áá ni ałdó' bee haz'áanii Mózes baa deet'áanii bik'ehgo hazhó'ó yínáałgo bił béédahodoozįįł. 
44:21:025:0	Nidi doo Jew dine'é danilíinii da'oosdląądígíí kódabidii'níigo bich'į' naaltsoos ádeiilyaa, [Jew dine'é binahagha' bik'ehgo bee nahaz'ánígíí doo t'áá ałtso bik'eh dahonoł'į́į da, nidi] eda'alyaii bich'į' náádahaaznii'ii áádóó dił áádóó bizák'ídadii'nii'ii t'áadoo daohsání, índa na'ageh bee tsi'na'adá bits'ą́ąjį' ádanoht'éego yá'át'ééh. 
44:21:003:1	Kin bii' sohodizin bił haz'ą́ą́ góne' Paul deisił
44:21:026:0	Áko Paul éí diné yił dah diikaigo, biiskání doo ąąh chin dooleełjí nahaghá há ádaalyaa. Áádóó doo hąąh chinígóó í'dazhdilnéehgo bíighah adooleełgi, t'ááłá'í jinítínígo há náádahidoonihígíí hazhó'ó baa hozhdoolnih biniyé kin bii' sohodizin bił haz'ą́ą́ góne' yah ajííyá. 
44:21:027:0	Áádóó tsosts'id jį́ k'adę́ę bíighah aleehgo, Éízhadę́ę́' Jew dine'é nidaakaígíí, ákwe'é kin bii' sohodizin bił haz'ą́ą́ góne' dahoołtsą́ągo, áłah nilínígíí yá dahóółchįįd áádóó dahasiłgo, 
44:21:028:0	hadadeeshghaazhgo ádaaní, Ízrel dine'é nohłíinii, nihíká oohjeeh! Díí hastiin t'áá ałtsogóó diné kéédahat'íinii éí nihidine'é áádóó bee haz'áanii índa kwe'é haz'ánígíí yik'ijį' yáłti'go na'nitin. T'ah nááyówehgo, Gríik dine'é kin bii' sohodizin bił haz'ą́ą́ góne' yah ayíí'eezhgo, díí hodiyingo haz'áanii yiyííłchxǫ'. 
44:21:029:0	Háálá t'áá bítséédą́ą́' Éfesas dine'é ła' Trófimas yolyéii, kintahdi yił dahoołtsą́, áko éí kin bii' sohodizin bił haz'ą́ą́ góne' Paul hoł yah íí'áázh sha'shin daniizį́į́'. 
44:21:030:0	Áko kin haal'áhígi hahodíídláadgo diné ahaneheezhjéé', áko Paul deisiłgo kin bii' sohodizin bił haz'ą́ą́dóó ch'ídeizdzį́įzgo t'áá áko dáda'deeskaal. 
44:21:031:0	Áko dahodiyiilyééł ch'ééh danízingo, Jerúsalemgi t'áá át'é nítáhozdíníilzaaz ha'níigo, siláo aląąjį' binanit'a'í hane' beít'ą́. 
44:21:032:0	T'áá áko tsxį́įłgo siláo índa siláo neeznádiingo bindanit'a'í ákóyaa yił dah diijéé', áko éí siláo aląąjį' binanit'a'í índa siláo ałdó' dayiiłtsą́ągo, Paul nídeiniłhałígíí yę́ę yik'i deeskai. 
44:21:033:0	Áko siláo aląąjį' binanit'a'í haa níyáago hoołtsoodgo béésh da'ahólzha'í naakigo bee ho'dootl'óół níigo yee hooł'a'. Áko, Háísh át'į́, índa, Ha'át'íishą' yaa naayá, níigo na'ídééłkid. 
44:21:034:0	Áko áłah nilínígíí hadadeeshghaazhgo, ła', Ko lá ájíít'įįd ni, daaní áádóó ła', Díigi lá ájíít'įįd, daaní. Áko ts'ídá biniinaa hahodíídládígíí t'áadoo bił bééhoozingóó, siláo bighan góne' yah adoodlóós níigo yee hooł'a'. 
44:21:035:0	Áko ałk'i dah nídahast'ą́ągo bikáá' góde hááda'aldahíjį' nizhníyáago, diné ádéédahooldzídígíí biniinaa siláo nihidahastį́, 
44:21:004:1	Paul ách'ą́ą́h haadzíí'
44:21:036:0	háálá diné t'óó ahayóí áłah nilínígíí éí, Sołhé héii, daaníigo dadilwoshgo hakéé' náázééł. 
44:21:037:0	Áádóó siláo bighan góne' k'adę́ę Paul yah iidlóosgo, siláo aląąjį' binanit'a'í ííłní, T'áadoo le'é bee nich'į' haasdziihgoósh t'áá áko? Áko siláo binanit'a'í ádííniid, Gríik bizaadísh bee yáníłti' lá? 
44:21:038:0	Ííjip dine'é léi' hádą́ą́léiyá Diné Nideiłtseedii wolyéii dį́įdi mííl yilt'éego honoojíijį' ch'íiní'eezhgo hahonííłchaad nít'éé' yę́ę doósh éí ánít'į́į da? 
44:21:039:0	Nidi Paul ádííniid, Shí Jew dine'é nishłį́, Silíshiyagi Társas, ayóó át'é kin haal'áádóó naashá. Diné bich'į' hadeesdzihgi shadi'díí'áałgo nánooshkąąh. 
44:21:040:0	Áko éí bee ha'deet'ą́ągo, ałk'i hoo'nilgo ha'az'áii hááda'aldáhígíí bikáá' Paul dah dziizį'go diné bich'į' dashdidiilnii', áko t'áá íiyisí hodiiyeelgo, Hííbrew k'ehjí bich'į' ayázh'niiłti'go ájíní:
