27:2:001:1	Daniel éí Nébukadnézzar yaa nayiizyeelii ááhyiłníinii yaa halne'
27:2:011:0	Éí ákódaat'éhígíí aláahgo naat'áanii yína'ídíłkidgo ayóogo nantł'a, áko doo ła'da aláahgo naat'áanii bił hojólne' át'ée da, t'áá hazhó'ó diyin dabidi'níinii t'éiyá, éí ats'íís doo yee naaldeeh da. 
27:2:012:0	Kóhodoo'niidígíí biniinaa aláahgo naat'áanii t'óó báhádzidgo báhóóchįįdgo bił nahonchxiih, áko Bábilandóó diné dahóyáanii t'áá ałtso ádooldįįłgo yee haadzíí'. 
27:2:013:0	Áádóó diné dahóyáanii nidadootsił biniyé bee nihoot'áanii baa dahóóne', áko Daniel áádóó bik'is danilíinii nideidoołtsił biniyé hadeineeztą́ą́'. 
27:2:014:0	Ákohgo aláahgo naat'áanii ach'ą́ą́h nei'nilii binanit'a'í nilíinii Áriyak wolyéii éí Bábilandóó diné dahóyáanii ałtso nidootsił yiniyé dah diiyáago Daniel bizaad yaa hóyą́ągo Áriyak yich'į' t'ą́ą́' hanáádzíí'. 
27:2:015:0	Daniel éí aláahgo naat'áanii yá nanit'a'í nilíinii Áriyak ábizhdííniid, Ha'át'íísh biniinaa aláahgo naat'áanii yee nihoní'áanii dah yííyił? Ákohgo Áriyak éí Daniel hazhó'ó yił hoolne'. 
27:2:016:0	Áko Daniel éí aláahgo naat'áanii bił yah ajííyáago níjookąąhgo ájíní, Hahgoda shá hwiidííł'aał; baa neisíníyeelígíí ááhyiłníinii bee nił hodeeshnih. 
27:2:017:0	Ákohgo Daniel hakin góne' yah anídzoodzáago Hananáíyah áádóó Mísheiyel índa Azaráíyah éí hak'isóó danilíinii áhodoo'niidígíí bee bił náhojoolne'. 
27:2:018:0	Áko Daniel áádóó hak'isóó danilíinii éí Bábilandóó diné dahóyáanii doo bił dazhdínóonéeł da biniyé bił dahojoolne'go ájíní, Díí doo bééhózinii éí yá'ąąshiidę́ę́' Diyin God yee a'ááh nízinii bídeínóhkeed. 
27:2:019:0	Ákohgo tł'ée'go Daniel bił áhoodzaago éí doo bééhózin da yę́ę bich'į' ííshjání silį́į́', áko Daniel éí Diyin God yá'ąąshdi hólóonii yaa haznih. 
27:2:020:0	Áádóó Daniel ání,Diyin God bízhi' bee baa ha'niihgo hool'áágóó ahool'áa le',háálá bí t'éiyá hódzą́ áádóó adziil bee hólǫ́. 
27:2:021:0	Dahwéelzhíishii áádóó ahééhwiidáahii ałtah ánáyoodlííł;aláahgo naat'áanii dah náhidinoobįįłgo ánáyoodlííł;dahóyáanii bee hódzą́ yeidii'aaháádóó ak'idadi'yiitįįhii ił ééhózin yeidiyii'aah. 
27:2:022:0	T'áadoo le'é ch'ééh bik'i'diitįįhígíí yit'íní áyoolííł;chahałheeł bii' baa da'íldéehii bił bééhózin,háálá bí t'éiyá adinídíín bił hólǫ́. 
27:2:023:0	Dashizhé'é yę́ę biDiyin God nílíinii,nich'į' ahééh nisingo naa hashniih,háálá bee hódzą́ índa bee adziilii shaa dííní'ą́,áko k'ad baa nídaniikąąhígíí éí aláahgo naat'áanii yaa nayiizyeelígíí ááhyiłníinii áádóó bik'idi'dootį́įłii nihił bééhonísįįh. 
27:2:024:0	Éí bąą aláahgo naat'áanii éí Bábilandóó diné dahóyáanii íidoołdįįłgo yee nihoní'ánígíí biniinaa Daniel éí Áriyak baazhníyáago ábizhdííniid, Bábilandóó diné dahóyáanii t'ááká óółdįįh lágo; aláahgo naat'áanii bidááhdóó shił nidíí'ashgo yaa neizyeelii ááhyiłníinii bee bił hodeeshnih. 
27:2:025:0	Ákohgo Áriyak éí ts'ídá tsxį́įłgo aláahgo naat'áanii bidááhdóó Daniel bił nizhní'áazhgo ájíní, Júdahdóó diné yisnááh nilíinii bik'íníyáago aláahgo naat'áanii yaa nayiizyeelígíí ááhyiłníinii yił yééhodoosįįł. 
27:2:026:0	Daniel éí Bélteshazar ałdó' joolyéego aláahgo naat'áanii áhodííniid, Da' baa neisíyeelii áádóó ááhyiłníinii shił bééhodíísįįłgoósh bíninil'ą́? 
27:2:027:0	Daniel éí aláahgo naat'áanii áyidííniid, Diné dahóyáanii nidi, déest'į́į́' ádeił'íinii nidi, álílee k'ehgo ída'ooł'įįłii nidi índa náásgóó ádahodooníiłii yaa halne'ii nidi aláahgo naat'áanii yína'ídíłkidii bee bił nídahozhdoolnihgi ts'ídá doo bídazhneel'ą́ą da. 
27:2:028:0	Nidi Diyin God yá'ąąshdi hólóonii t'éiyá doo béédahózinii ííshją́ą́ áyoolííł, áko, Nébukadnézzar aláahgo naat'áanii nílíinii, náásgóó ádahodooníiłii nich'į' ííshją́ą́ ályaa; nitsásk'eh bikáa'gi baa neisíníyeelii áádóó nił ádzaaígíí éí díí át'é. 
27:2:029:0	Aláahgo naat'áanii nílíinii, nitsásk'eh bikáá' sínítį́įgo náásgóó áhoot'ée dooleełii baa nitsíníkeesgo índa doo béédahózinii ííshją́ą́ áyoolíiłii éí náásgóó át'ée dooleełgi ałdó' nił yééhoosįįd. 
27:2:030:0	Nidi diné biláahgo shibee hódzáanii bee shił bééhodoozįįłígíí doo éí át'ée da, áko, aláahgo naat'áanii nílíinii, baa neisíníyeelii ááhyiłnínígíí áádóó nijéí biyi'di baa nitsíníkeesii nił bééhodoozįįł biniyé díí doo bééhózinii shił ííshją́ą́ ályaa. 
27:2:031:0	Aláahgo naat'áanii nílíinii, shoo, dinéshchíín be'elyaago ayóó áníłnééz léi' yiniłtsą́. Díí e'elyaii ayóó áníłnézígíí ts'ídá agháago bik'i yazdiilíidgo nidáahgi sizį́įgo t'óó bik'ee ił yée'go yiniłtsą́. 
27:2:032:0	E'elyaii bitsiits'iin óola t'éí bee ályaa, bijéíts'iin índa bigaan éí béésh łigaii bee ályaa áádóó biníí'dóó yaago bigodjį' béésh łitsoii bee ályaa. 
27:2:033:0	Bijáád éí béésh nitł'izii bee ályaa índa bikee'jį' béésh nitł'izii áádóó hashtł'ish bił ałta' nínilgo ályaa. 
27:2:034:0	Níníł'į́įgo tsé bidooltáalii e'elyaii bikee'jį' béésh nitł'izii áádóó hashtł'ish bił ałta' nínilgo ályaii yił dzideesne'go ałtso yidiiłtaa'. 
27:2:035:0	Béésh nitł'izii áádóó hashtł'ish áádóó béésh łitsoii áádóó béésh łigaii índa óola t'áá át'é bee ályaii ałtso díízéí; éí shį́įgo azhool ąąh woolch'ííh nahalingo ałtso bił yóó'ííyolgo doo bénáhoodzį́į́' át'ée da silį́į́', nidi tsé bidooltálígíí e'elyaii yił dzideesne'ígíí dził ayóó át'éii silį́į'go nahasdzáán bikáá'góó t'áá át'éé nít'éé' nihinéést'e'. 
27:2:036:0	Díí baa neisíníyeel lá, áko aláahgo naat'áanii díí ááhyiłníinii bee nił dahodiilnih. 
27:2:037:0	Aláahgo naat'áanii nílíinii, aláahgo naat'áanii danilíinii binanit'a'í nílį́. Yá'ąąshiidę́ę́' Diyin God éí bee óhólníihgo bił haz'áanii bee óhólníihii áádóó bee adziilii áádóó adziil índa ayóó át'éii neidiní'ą́. 
27:2:038:0	Nihokáá' dine'é t'áá kéédahat'į́į́góó áádóó naaldlooshii naaldeehgóó índa tsídii wódahdi nidaat'a'góó éí t'áá át'é binanít'áa doogo Diyin God neidiní'ą́. Díí óola atsii'ígíí éí ni ánít'į́. 
27:2:039:0	Áádóó bik'ijį' bee níhólnííh bił haz'áanii t'áá bi'ohgo át'éii ła' nááhodoodleeł. Áádóó náánáła' táá' góne'ígíí éí béésh łitsoii bee óhólnííh bił haz'áanii nahasdzáán t'áá si'ą́ą́ nít'éé' yinant'áa dooleełii nááhodoodleeł. 
27:2:040:0	Áko dį́į́' góne' aláahgo bee óhólníihgo bił haz'áanii béésh nitł'iziigi át'éego bidziil doo; jó, béésh nitł'izii éí t'áá ałtsoní yidiséí áádóó ak'eh didlį́. Béésh nitł'izii éí t'áá ałtsoní yidiséigi át'éego díí bee óhólnííh bił haz'áanii ałtso niyiitíihgo adiséi dooleeł. 
27:2:041:0	Áko bikee' áádóó bikédiníbiní éí łeets'aa' ííł'íní hashtł'ish choyooł'íinii áádóó béésh nitł'izii bee ályaago yiniłtsáanii éí náásgóó aláahgo bee óhólníihgo bił haz'áanii ahádahidoodzohii át'é. Béésh nitł'izii bidziilígi át'éego ła' bidziilgo bił nahaz'ą́ą doo; hashtł'ishgi át'éego ła' doo dabidziilgóó bił nahaz'ą́ą dooleeł. 
27:2:042:0	Áko e'elyaii bikee'jį' bikédiníbiní béésh nitł'izii áádóó hashtł'ish bee ályaaígi át'éego aláahgo bee óhólníihgo bił haz'áanii ła' bidziil dooleeł áádóó ła' éí doo bidziil da dooleeł. 
27:2:043:0	Béésh nitł'izii éí hashtł'ish bił ałta' nínilgo yiniłtsáanii éí bindanit'a'í ba'áłchíní ahánda'ageh doo, nidi béésh nitł'izii éí hashtł'ish doo bił ałtaanágoh daígi át'éego doo ałnádadidzin da dooleeł. 
27:2:044:0	Áko aláahgo naat'áanii danilíinii bídayéełkaah bijį́ yá'ąąshiidę́ę́' Diyin God éí bee óhólníihgo bił haz'áanii chánah íidoolíiłii ts'ídá doo wóchxǫǫh át'ée da doo. Ts'ídá doo ła'da bee hóhólníih da doo; díí bee óhólníihgo bił dah nidahaz'áanii ałtso bił nihoníyáa doo, nidi éí bee óhólníihgo bił haz'áanii hool'áágóó hólǫ́ǫ doo. 
27:2:045:0	Dził bąąhdóó tsé doo yílá bee haalne'ii e'elyaii bístałgo yiniłtsáanii éí béésh nitł'izii, béésh łitsoii, hashtł'ish, béésh łigaii índa óola ałtso yidííséí. Áko, aláahgo naat'áanii nílíinii, Diyin God Ayóó'át'éii éí náásgóó ádahodooníłígíí yaa halne'go baa neisíníyeel; t'áádóo nídí ádooníiłii baa neisíníyeelgo yaa halne'. 
27:2:046:0	Ákohgo aláahgo naat'áanii Nébukadnézzar hodísingo Daniel yich'į' yaa ádzaa áádóó nááhániihii índa didlidgo łikání halchinii Daniel bich'į' nááhidoonihgo yee haadzíí'. 
27:2:047:0	Aláahgo naat'áanii éí Daniel áyidííniid, T'áá aaníí, niDiyin God éí diyin dabidi'níinii biláahgo Diyin God nilį́į́ lá índa aláahgo naat'áanii danilíinii biBóhólníihii nilį́į́ lá áádóó doo daat'íinii bééhózíní áyoolíiłii nilį́į́ lá; jó, díí doo bééhózin da yę́ę bíninil'ą́ągo bééhózíní ádanile' lá. 
27:2:048:0	Ákohgo aláahgo naat'áanii éí Daniel ayóó át'éego ił nilį́įgo áyiilaa índa ayóó ádaat'éii t'óó ahayóí t'áá jíík'eh haa yiiznil; Bábilangi t'áá át'é binazh'nt'áago áhoolaa índa Bábilandóó diné dahóyáanii binanit'a'í jílį́įgo áhoolaa. 
27:2:049:0	Áko Daniel éí aláahgo naat'áanii bíjííkeedgo Shéídrak áádóó Mííshak índa Abédniigo ałdó' Bábilan nahós'a'gi diné yindant'áa doo biniyé niinínil. Daniel éí aláahgo naat'áanii bich'į' yah e'etiinígi dah dzizdáá nít'éé'.
