2:12:001:1	The First Passover
2:12:034:0	The Israelites took their bread dough before yeast was added . They wrapped their kneading boards in their cloaks and carried them on their shoulders .
2:12:035:0	And the people of Israel did as Moses had instructed ; they asked the Egyptians for clothing and articles of silver and gold .
2:12:036:0	The Lord caused the Egyptians to look favorably on the Israelites , and they gave the Israelites whatever they asked for . So they stripped the Egyptians of their wealth !
2:12:037:0	That night the people of Israel left Rameses and started for Succoth . There were about 600,000 men , plus all the women and children .
2:12:038:0	A rabble of non-Israelites went with them , along with great flocks and herds of livestock .
2:12:039:0	For bread they baked flat cakes from the dough without yeast they had brought from Egypt . It was made without yeast because the people were driven out of Egypt in such a hurry that they had no time to prepare the bread or other food .
2:12:040:0	The people of Israel had lived in Egypt for 430 years .
2:12:041:0	In fact , it was on the last day of the 430th year that all the Lord 's forces left the land .
2:12:003:1	Instructions for the Passover
2:12:042:0	On this night the Lord kept his promise to bring his people out of the land of Egypt . So this night belongs to him , and it must be commemorated every year by all the Israelites , from generation to generation .
2:12:043:0	Then the Lord said to Moses and Aaron , “ These are the instructions for the festival of Passover . No outsiders are allowed to eat the Passover meal .
2:12:044:0	But any slave who has been purchased may eat it if he has been circumcised .
2:12:045:0	Temporary residents and hired servants may not eat it .
2:12:046:0	Each Passover lamb must be eaten in one house . Do not carry any of its meat outside , and do not break any of its bones .
2:12:047:0	The whole community of Israel must celebrate this Passover festival .
2:12:048:0	“ If there are foreigners living among you who want to celebrate the Lord 's Passover , let all their males be circumcised . Only then may they celebrate the Passover with you like any native-born Israelite . But no uncircumcised male may ever eat the Passover meal .
2:12:049:0	This instruction applies to everyone , whether a native-born Israelite or a foreigner living among you . ”
2:12:050:0	So all the people of Israel followed all the Lord 's commands to Moses and Aaron .
2:12:051:0	On that very day the Lord brought the people of Israel out of the land of Egypt like an army .
