42:12:001:1	A Warning against Hypocrisy
42:12:028:0	And if God cares so wonderfully for flowers that are here today and thrown into the fire tomorrow , he will certainly care for you . Why do you have so little faith ?
42:12:029:0	“ And do n't be concerned about what to eat and what to drink . Do n't worry about such things .
42:12:030:0	These things dominate the thoughts of unbelievers all over the world , but your Father already knows your needs .
42:12:031:0	Seek the Kingdom of God above all else , and he will give you everything you need .
42:12:032:0	“ So do n't be afraid , little flock . For it gives your Father great happiness to give you the Kingdom .
42:12:033:0	“ Sell your possessions and give to those in need . This will store up treasure for you in heaven ! And the purses of heaven never get old or develop holes . Your treasure will be safe ; no thief can steal it and no moth can destroy it .
42:12:004:1	Be Ready for the Lord 's Coming
42:12:034:0	Wherever your treasure is , there the desires of your heart will also be .
42:12:035:0	“ Be dressed for service and keep your lamps burning ,
42:12:036:0	as though you were waiting for your master to return from the wedding feast . Then you will be ready to open the door and let him in the moment he arrives and knocks .
42:12:037:0	The servants who are ready and waiting for his return will be rewarded . I tell you the truth , he himself will seat them , put on an apron , and serve them as they sit and eat !
42:12:038:0	He may come in the middle of the night or just before dawn . But whenever he comes , he will reward the servants who are ready .
42:12:039:0	“ Understand this : If a homeowner knew exactly when a burglar was coming , he would not permit his house to be broken into .
42:12:040:0	You also must be ready all the time , for the Son of Man will come when least expected . ”
42:12:041:0	Peter asked , “ Lord , is that illustration just for us or for everyone ? ”
42:12:042:0	And the Lord replied , “ A faithful , sensible servant is one to whom the master can give the responsibility of managing his other household servants and feeding them .
42:12:043:0	If the master returns and finds that the servant has done a good job , there will be a reward .
42:12:044:0	I tell you the truth , the master will put that servant in charge of all he owns .
42:12:045:0	But what if the servant thinks , ‘ My master wo n't be back for a while , ' and he begins beating the other servants , partying , and getting drunk ?
42:12:046:0	The master will return unannounced and unexpected , and he will cut the servant in pieces and banish him with the unfaithful .
42:12:047:0	“ And a servant who knows what the master wants , but is n't prepared and does n't carry out those instructions , will be severely punished .
42:12:005:1	Jesus Causes Division
42:12:048:0	But someone who does not know , and then does something wrong , will be punished only lightly . When someone has been given much , much will be required in return ; and when someone has been entrusted with much , even more will be required .
42:12:049:0	“ I have come to set the world on fire , and I wish it were already burning !
42:12:050:0	I have a terrible baptism of suffering ahead of me , and I am under a heavy burden until it is accomplished .
42:12:051:0	Do you think I have come to bring peace to the earth ? No , I have come to divide people against each other !
42:12:052:0	From now on families will be split apart , three in favor of me , and two against—or two in favor and three against .
42:12:053:0	‘ Father will be divided against sonand son against father ; mother against daughterand daughter against mother ; and mother-in-law against daughter-in-lawand daughter-in-law against mother-in-law . ' ”
42:12:054:0	Then Jesus turned to the crowd and said , “ When you see clouds beginning to form in the west , you say , ‘ Here comes a shower . ' And you are right .
42:12:055:0	When the south wind blows , you say , ‘ Today will be a scorcher . ' And it is .
42:12:056:0	You fools ! You know how to interpret the weather signs of the earth and sky , but you do n't know how to interpret the present times .
42:12:057:0	“ Why ca n't you decide for yourselves what is right ?
42:12:058:0	When you are on the way to court with your accuser , try to settle the matter before you get there . Otherwise , your accuser may drag you before the judge , who will hand you over to an officer , who will throw you into prison .
42:12:059:0	And if that happens , you wo n't be free again until you have paid the very last penny . ”
