42:11:001:1	Teaching about Prayer
42:11:039:0	Then the Lord said to him , “ You Pharisees are so careful to clean the outside of the cup and the dish , but inside you are filthy — full of greed and wickedness !
42:11:040:0	Fools ! Did n't God make the inside as well as the outside ?
42:11:041:0	So clean the inside by giving gifts to the poor , and you will be clean all over .
42:11:042:0	“ What sorrow awaits you Pharisees ! For you are careful to tithe even the tiniest income from your herb gardens , but you ignore justice and the love of God . You should tithe , yes , but do not neglect the more important things .
42:11:043:0	“ What sorrow awaits you Pharisees ! For you love to sit in the seats of honor in the synagogues and receive respectful greetings as you walk in the marketplaces .
42:11:044:0	Yes , what sorrow awaits you ! For you are like hidden graves in a field . People walk over them without knowing the corruption they are stepping on . ”
42:11:045:0	“ Teacher , ” said an expert in religious law , “ you have insulted us , too , in what you just said . ”
42:11:046:0	“ Yes , ” said Jesus , “ what sorrow also awaits you experts in religious law ! For you crush people with unbearable religious demands , and you never lift a finger to ease the burden .
42:11:047:0	What sorrow awaits you ! For you build monuments for the prophets your own ancestors killed long ago .
42:11:048:0	But in fact , you stand as witnesses who agree with what your ancestors did . They killed the prophets , and you join in their crime by building the monuments !
42:11:049:0	This is what God in his wisdom said about you : ‘ I will send prophets and apostles to them , but they will kill some and persecute the others . '
42:11:050:0	“ As a result , this generation will be held responsible for the murder of all God 's prophets from the creation of the world —
42:11:051:0	from the murder of Abel to the murder of Zechariah , who was killed between the altar and the sanctuary . Yes , it will certainly be charged against this generation .
42:11:052:0	“ What sorrow awaits you experts in religious law ! For you remove the key to knowledge from the people . You do n't enter the Kingdom yourselves , and you prevent others from entering . ”
42:11:053:0	As Jesus was leaving , the teachers of religious law and the Pharisees became hostile and tried to provoke him with many questions .
42:11:054:0	They wanted to trap him into saying something they could use against him .
