42:8:001:1	Women Who Followed Jesus
42:8:035:0	People rushed out to see what had happened . A crowd soon gathered around Jesus , and they saw the man who had been freed from the demons . He was sitting at Jesus ' feet , fully clothed and perfectly sane , and they were all afraid .
42:8:036:0	Then those who had seen what happened told the others how the demon-possessed man had been healed .
42:8:037:0	And all the people in the region of the Gerasenes begged Jesus to go away and leave them alone , for a great wave of fear swept over them.So Jesus returned to the boat and left , crossing back to the other side of the lake .
42:8:038:0	The man who had been freed from the demons begged to go with him . But Jesus sent him home , saying ,
42:8:007:1	Jesus Heals in Response to Faith
42:8:039:0	“ No , go back to your family , and tell them everything God has done for you. ” So he went all through the town proclaiming the great things Jesus had done for him .
42:8:040:0	On the other side of the lake the crowds welcomed Jesus , because they had been waiting for him .
42:8:041:0	Then a man named Jairus , a leader of the local synagogue , came and fell at Jesus ' feet , pleading with him to come home with him .
42:8:042:0	His only daughter , who was about twelve years old , was dying.As Jesus went with him , he was surrounded by the crowds .
42:8:043:0	A woman in the crowd had suffered for twelve years with constant bleeding , and she could find no cure .
42:8:044:0	Coming up behind Jesus , she touched the fringe of his robe . Immediately , the bleeding stopped .
42:8:045:0	“ Who touched me ? ” Jesus asked.Everyone denied it , and Peter said , “ Master , this whole crowd is pressing up against you . ”
42:8:046:0	But Jesus said , “ Someone deliberately touched me , for I felt healing power go out from me . ”
42:8:047:0	When the woman realized that she could not stay hidden , she began to tremble and fell to her knees in front of him . The whole crowd heard her explain why she had touched him and that she had been immediately healed .
42:8:048:0	“ Daughter , ” he said to her , “ your faith has made you well . Go in peace . ”
42:8:049:0	While he was still speaking to her , a messenger arrived from the home of Jairus , the leader of the synagogue . He told him , “ Your daughter is dead . There 's no use troubling the Teacher now . ”
42:8:050:0	But when Jesus heard what had happened , he said to Jairus , “ Do n't be afraid . Just have faith , and she will be healed . ”
42:8:051:0	When they arrived at the house , Jesus would n't let anyone go in with him except Peter , John , James , and the little girl 's father and mother .
42:8:052:0	The house was filled with people weeping and wailing , but he said , “ Stop the weeping ! She is n't dead ; she 's only asleep . ”
42:8:053:0	But the crowd laughed at him because they all knew she had died .
42:8:054:0	Then Jesus took her by the hand and said in a loud voice , “ My child , get up ! ”
42:8:055:0	And at that moment her life returned , and she immediately stood up ! Then Jesus told them to give her something to eat .
42:8:056:0	Her parents were overwhelmed , but Jesus insisted that they not tell anyone what had happened .
