41:15:001:1	Jesus , Pilate Ęhdaa Nigiiyąąhchįį
41:15:016:0	Pilate viniveet'ah'in nąįį vizheh gweelin tthał needhe'ee ąįį zhit gwizhit nihdeegiiyąąhchįį ts'ą' niveet'ah'in nąįį datthak zhat khaihłan nigiinlii .
41:15:017:0	Ch'adak ik daatsik k'it t'inchy'aa giinaahtsųų , ąįįts'ą' chan khoh giiłtły'aa ąįį łihts'eenaat'aii tseh giiyiłtsąįį ts'ą' giiki' kat nigiiyin'ąįį .
41:15:018:0	“ Jews nąįį goo-King niighyuk goondaii . ” Ginyąą ts'ą' giiyeedlaa gwiizhit deegiihił'e' adagaa'įį .
41:15:019:0	Giiki' gał haa oahkhaa gwiizhit giikaahizhree ts'ą' giits'ą' nikiigwiitthak ts'ą' deegiiyihiił'e' k'it gwagwahtsii .
41:15:004:1	Jesus Giriłtsak
41:15:020:0	Nijin giiyeedlaa tł'ęę ąįį ik giinaahtsųų chy'aa , giineetr'aatsuu ts'ą' giigwach'aa ąįį giinineenlii ts'ą' cross kat gigiihahtsak gwats'ą' giiyeehiłchįį .
41:15:021:0	K'iidak geedaa gwiizhit , Simon goodaazhii akhai' niveet'ah'in nąįį , Jesus va-cross ichyaa giits'an gwiłtsąįį . ( Simon , kwaiik'it Cyrene gwats'an ahaa ąįįts'ą' Alexander ts'ą' Rufus nąįį gooti' nilii . )
41:15:022:0	Golgotha goozhii ąįįt'ee “ Dinjii kiitth'an deek'it . ” gwinyąą t'igwinyąą , ąįį zhit gwats'ą' Jesus gihiłchįį .
41:15:023:0	Jak chų' vitee gwanzhįh chų' Myrrh giiyantł'eehahkaii gaa Jesus yeenii kwaa .
41:15:024:0	Ąįįtł'ęę cross kat gigiiyiłtsak ts'ą' giigwach'aa datthak , nihteegeelzhii , ts'ą' tth'an ghoo gahaanjal haa juu shrit jidii gwach'aa hoondal li' geenjit tseegii'in .
41:15:025:0	Vanh 9 : 00 nigwiindhat gwiizhit gigiiyiłtsak .
41:15:026:0	Vehdee dachan kat jidii eenjit gigiiyiłtsak ąįį dagwagwaantł'oo , “ Jews nąįį goo-King nilii . ”
41:15:027:0	Dinjii ch'an'įį neekwaii nąįį giiyaagiłtsak , dinjii ch'ihłak vishriits'ąįį , ts'ą' ch'izhii chan vatł'ohts'ąįį , jyąhts'ą' gaagoogiiłtsak .
41:15:028:0	Yeenaa dąį' Dęhtły'aa Choh zhit jyaa digweheenjyaa gwinyąą ts'ą' gwadanakhwatł'oo , ąįį łi'didlii haa gwik'it t'igwiizhik . “ Dinjii Law łahnaii nąįį haa narąhchįį ” gwinyąą .
41:15:029:0	Dinjii gehgoohijyaa nąįį digiki' gaathat gwiizhit Jesus ts'ą' gwiizųų giginkhii . “ Aahą' ! Kharigidiinjii Zheh shrahtee gwahaałtsyaa ts'ą' drin tik gwiizhit ndak nineegwihihtthal diinyąą ijii ?
41:15:030:0	It'ee nihindhaa gwits'į' cross ts'an neenindii , ” giiyahnyąą .
41:15:031:0	Jyaa ts'ą' gwik'it chan giinkhih kįh dilk'ii nąįį ts'ą' Law eech'ǫąąhtan nąįį haa jyaa nihłagaanyąą , giiyeedlaa ts'ą' t'iginyąą , “ Ch'izhii dinjii nąįį neeheezhii ąhtsii , gwiizhit adan ąįį vęhdaa tr'igwirehee'aa gwits'į' gwats'an tr'eedahaachyaa . ”
41:15:005:1	Jesus Niindhat
41:15:032:0	Christ ts'ą' Israel gwich'in nąįį goo-king inlii ji' , cross ts'an nineedaanchįį ąįįtł'ęę nik'injireheedhaa ! ” giiyahnyąą . Ąįį juu neekwaii giiyaagiłtsak nąįį gaa gwiizųų giits'ą' ginkhii .
41:15:033:0	Drintł'an 12 : 00 nigwiindhat gwiizhit nankat datthak tǫǫ nagwaanąįį , ts'ą' 3 hrs . datthak tǫǫ gwin'e' .
41:15:034:0	3 : 00 gwa'an gweedhaa gwiizhit , Jesus gwint'aii khashraa'iintrat , “ Eloi , Eloi , lama shabachthani ! ” ąįįt'ee , “ Shivit'eegwijyąhchy'aa , Shivit'eegwijyąhchy'aa , jaghaii akhashoiinyąą ? ” gwinyąą t'igwinyąą .
41:15:035:0	Dinjii nąįį lat giiyiitth'ak ts'ą' jyaa ginyąą , “ Ch'oodǫǫhk'įį Elijah keeginkhii t'inyąą ! ” giiyahnyąą .
41:15:036:0	Dinjii ch'ihłak yats'ą' hilgik ts'ą' sponge ahtsit ts'ą' jak chų' ( wine ) daatł'oo kwaa ąįį zhit tee yahtsuu ąįį gał tsii niyahtsuu ts'ą' yiheenjyaa geenjit yats'ą' yuuntą' . Gwiizhit dinjii nąįį ts'ą' jyaa nyąą , “ Jyaa dohthan , nagwaroo'ya' , Elijah neeheedyaa ts'ą' cross ts'an tr'ineeyahahchyaa ji' geenjit tr'agwahaah'yaa . ” nyąą .
41:15:037:0	Jesus , gwintł'oo khashraa'iintrat , tł'ęę niindhat .
41:15:038:0	Ąįįtł'ęę Khadigiriinjii Zheh gwizhit gindeiinvyaa choh gwach'aa dach'at haa iltsąįį teetł'an dakhii gwats'an k'iizhak datthak nihtr'iinch'aa .
41:15:039:0	Nijin ąįį niveet'ah'in kįh dhidii , Cross ehzhee Jesus ts'ą' nadhat dąį' vandah Jesus niindhat nah'ya' jyaa nyąą , “ Jii dinjii łyaa Vit'eegwijyąhchy'aa Vidinji' nilii łee ! ” nyąą .
41:15:040:0	Tr'injaa lat nąįį niighit nigiilzhii gwats'an aakin gwagwaa'įį , Mary Magdalene , ts'ą' tsyaa James ts'ą' Joseph haa goohan Mary , ts'ą' tr'injaa Salome chan gootee nigiilzhii .
41:15:006:1	Jesus Vanarąąhjik
41:15:041:0	Jesus , Galilee t'inchy'aa dąį' haa neegihiidal , ts'ą' giits'inya' tr'injaa lęįį nąįį Jerusalem gwats'ą' giiyahaajil nąįį chan zhat goovaa t'igiinchy'aa .
41:15:042-043:0	Khaa nigwiindhat ts'ą' , Neegwaazhii Drin gwats'ą' drin gwanlii geh'an , Joseph , Aramathea kwaiik'it gwachoo gwats'an ahaa ts'ą' dinjii hil'ee nilii ts'ą' Jews k'eedeegwaadhat nąįį tee dhidii , ts'ą' adan t'ee Vit'eegwijyąhchy'aa Veegwinii'ee geenjit nagool'in nilii ts'ą' naajat kwaa haa Pilate ts'ą' haazhii ts'ą' Jesus vichį' shantł'eerohchyaa nyąą ts'ą' ch'oahkat .
41:15:044:0	Nijin Jesus ch'adąį' hee niindhat giiyahnyąą dąį' Pilate łyaa geegwaroolii kwaa veenjit t'igwiizhit . Niveet'ah'in k'įh dhidii ch'ihłak aanaii ahnyąą ts'ą' , Jesus juk niighyuk iłchįį ji' eenjit oahkat .
41:15:045:0	Nijin niveet'ah'in k'įh dhidii yaagwildak tł'ęę Pilate , Joseph t'ahnyąą , “ Jesus vichį' oiinjii ! ” yahnyąą .
41:15:046:0	Ąįįtł'ęę Joseph , gwach'aa dril daagąįį oiinkwat ts'ą' Jesus vichį' cross ts'an nąhchįį ts'ą' gwach'aa dril zhit yahchįį . Kii zhit gweedii goo'aii gwizhit tth'ank'it gwagwaa'įį ąįį zhit gwizhit niyąąhchįį ts'ą' gwadąįį kiichyaa choh , gihdeiin'ąįį .
41:15:047:0	Mary Magdalene , ąįįts'ą' Joseph vahan Mary haa nijin giinąąhjik gwagwaah'in .
