41:6:001:1	Jesus , Nazareth Kwaiik'it gwizhit Giitr'ii'ee
41:6:031:0	Zhat łyaa tr'ihkhit dinjii nąįį gwanlii ts'ą' dinjii nąįį lęįį zhat nineedal ts'ą' Jesus , ditsyaa haa ch'igihee'aa geenjit gaa gooveenjit nagwaaghyii kwaa geh'an Jesus jyaa gavahnyąą “ Neehoozhii geenjit , t'ohłii gwa'an tthan goo'aii diikhwan zhrįh gwats'ą' tr'ahoojyaa , ” gavahnyąą .
41:6:032:0	Ąįįts'ą' tr'ihchoh zhit geedan zhrįh gwizhit giinjil ts'ą' t'ohłii tthan goo'aii gwats'ą' gahaajil .
41:6:033:0	Gaa dinjii , lęįį nąįį , t'ohłii neegehiinjyaa googah'ya' , ts'ą' zhat gwagwahkhan juu t'igiinchy'aa gavaagiindaii , ąįį zhit kwaiik'it gwa'an gwats'an , dinjii nąįį datthak , zhit nankat goodivee galgihiłjil ts'ą' nijin Jesus ts'ą' ditsyaa nąįį haa gwats'ą' geedaa izhit goovehkii k'eegiidal .
41:6:034:0	Nijin Jesus , zhat teedhizhii dąį' , dinjii nąįį lęįį łeeljil nah'in ąįįts'ą' didrii zhit gooveenjit tr'igwidii ts'ą' divii nąįį divii k'ąąhtii gii'įį kwaa k'it gaveegoo'aii k'it t'igiinchy'aa geh'an , ąįįts'ą' gwandak nihłehjuk t'iichy'aa haa geegoovąąhtan .
41:6:035:0	Nijin drin zhat neech'ee'aa dąį' vitsyaa nąįį giits'ą' haajil ts'ą' jyaa giiyahnyąą , “ Dzaa gwa'an łyaa tr'ihkhit tthan goo'aii , ts'ą' it'ee khaa tǫǫ gweheelyaa .
41:6:036:0	Jii dinjii nąįį dzaa geeghaih gwa'an juu gwanzhįh nahshii gwich'įį nąįį ts'ą' zhit juu kwaiik'it gwatsal gwich'įį nąįį ts'ą' hohjyaa ts'ą' goots'an shih ideenjit ohkwat goovaihnyąą . ”
41:6:037:0	“ Nakhwan nakhwakhai' jidii gihee'aa gavantł'ohtsit , ” Jesus , gavaiinyąą . “ Laraa 200 denarius agwahtsii łųhchy'aa tr'ooheekwat ts'ą' gooch'arahah'aa ? ” vitsyaa nąįį yahnyąą .
41:6:038:0	“ Łųhchy'aa daanchy'aa khwa'įį ? Zhik gwa'an gooh'in . ” Jesus gavahnyąą . “ Łųhchy'aa ch'ihłoanli' ts'ą' łuk dhichy'aa neekwaii haa tr'ii'įį . ” giiyahnyąą .
41:6:039:0	Ąįįtł'ęę Jesus , ditsyaa nąįį t'ahnyąą , “ Jii dinjii nąįį datthak an-nihłik gwa'an tł'oo chyah nahshii kat nihłaa gahaaky'aa goovohtsii . ”
41:6:040:0	Ąįįts'ą' , dinjii nąįį 100 akwat 50 agaanchy'aa ts'ą' an-nihłik gwa'an nihłaa giilk'ii .
41:6:041:0	Ąįįtł'ęę Jesus , zhit łųhchy'aa ch'ihłoanli' ( 5 ) ts'ą' łuk neekwaii haa tee gwiłjik ąįįts'ą' zheekat k'iidak gwąąh'in ts'ą' Vit'eegwijyąhchy'aa “ Mahsį' choh ! ” ahnyąą . Ąįįtł'ęę łųhchy'aa kwaii khadinzhuu ts'ą' ditsyaa nąįį antł'eeyinlii , gwitee giiyeeheelyaa eenjit . Łuk kwaii chan gwik'it t'inlik ts'ą' gwitee giiyiłtsit .
41:6:042:0	Juu nąįį datthak ch'anahoo'al .
41:6:043:0	Ąįįtł'ęę , vitsyaa nąįį tł'oo tyah choh zhit 12 aanchy'aa tr'ooniindhat tineegwigwįłjik .
41:6:005:1	Jesus Chųų Kat Ahaa
41:6:044:0	Izhit dąį' , dinjii 5000 aanchy'aa nąįį ach'ah'al .
41:6:045:0	Ąįįtł'ęę gwagwahkhan Jesus , ditsyaa nąįį tr'ihchoo zhit inlii ts'ą' giiyehkii van ndųhts'ąįį Bethsaida kwaiik'it gwats'ą' gahahjil gooviłtsąįį . Adan zhat dhidii gwiizhit dinjii łeeljil nąįį nakhwazheh gwits'ee khwajyaa goovahnyąą .
41:6:046:0	Ąįįtł'ęę dinjii nąįį datthak neenahal'yaa ahnyąą ts'ą' goołeehoozhii ąįįtł'ęę taih kat gwats'ą' haazhii , ideenjit khagideedi' .
41:6:047:0	Nijin zhat khaa nagwaanąįį dąį' tr'ihchoh tth'aii hee vantł'an dhitin , gwiizhit Jesus tth'aii hee adan zhrįh nankat dhidii .
41:6:048:0	ahtr'aii niint'aii haa goodahtr'aii geh'an , ditsyaa nąįį tr'ihchoh zhit gwint'aii tąą'ąįį haa chųų kat geekwaa goovąąh'in . Zhyaa gootak tr'iheehaa indhan . Vanh dąį' hee 3 AM ts'ą' 6 AM gwideetak gweedhaa gwiizhit Jesus ditsyaa nąįį chųų kat goots'ą' ahaa nigiiyiił'in .
41:6:049:0	Gaa nijin chųų kat ahaa nigiiyiił'in dąį' , ch'anky'aa t'ii'in giindhan ts'ą' khashraagiintrat ,
41:6:050:0	Gąąnjat nagaanaii geh'an . Jesus zhat gwagwahkhan goots'ą' khagiinkhee , “ Shįį t'ihchy'aa ! Nakhwat'aii gwanlii haa noojat shrǫ' ! ” gavahnyąą .
41:6:051:0	Ts'ą' tr'ihchoh zhiinzhii ts'ą' ahtr'aii kwaa nagwaanąįį . Vitsyaa nąįį geegagoolii kwaa gooveenjit t'igwiizhik ,
41:6:006:1	Jesus Gennesaret Nahkat gwizhit Iłts'ik Nąįį Shrineiinlik
41:6:052:0	Jesus , dinjii 5 , 000 nąįį achah'al dąį' deegwii'in t'igwii'in gaagiindaii kwaa geh'an . Gooyinji' zhit deegwii'in t'igwii'in khyų' gogoonjii .
41:6:053:0	Van deetaa neegiinjil ts'ą' Gennesaret kwaiik'it k'eegiidal ts'ą' tr'ihchoh digiłchaa .
41:6:054:0	Ąįįts'ą' it'ee tr'ihchoh ihłeegihiijyaa gwiizhit dinjii nąįį Jesus juu t'inchy'aa giiky'anjik .
41:6:055:0	Ts'ą' zhat gwa'an kwaiik'it goodlii datthak gwitee gahaajil ts'ą' dinjii iłts'ik nąįį dehk'it chyah nilii kat deegoogiinlii ts'ą' nijin dhidii gwinyąą gwigwiitth'ak ąįį gwats'ą' googahaadlii .
41:6:056:0	Ts'ą' Jesus zhat gwa'an , kwaiik'it gwatsal , akwat kwaiik'it gwachoo , ąįįts'ą' nijin dinjii nąįį gwanzhįh gąąhshii , kwaii datthak gwitee neehidik . Dinjii nąįį kwaiik'it gwatł'an dinjii iłts'ik nąįį nigiinlii , ąįįts'ą' giich'oodiikwat , “ Ni'ik eelin kat ji' gaa narahaandal shrǫǫ ! ” giiyahnyąą . Dinjii juu yakat naanjik nąįį datthak shrineegaazhik .
