41:12:001:1	Dinjii Nąįį Jak Choh Nahshii Gwideek'it Gwak'ąąhtii Tr'agwaanduu Googwitr'it Gwanlii Googwaandak
41:12:028:0	Jews Law eech'ǫąąhtan ch'ihłak zhat dhidii deegwinyąą gwiitth'ak . Jesus , Sadducee nąįį gwinzii goodii ginkhe' , gwah'in ts'ą' Jesus ts'ą' haazhii ts'ą' yuahkat , “ Dii-law tee jidii ch'andaa jiintsii t'oonchy'aa ? ” yahnyąą .
41:12:029:0	Jesus , t'iiyahnyąą , “ Jii t'ee ch'andaa jiintsii t'inchy'aa . ‘Israel nąįį , datthak ch'oodǫǫhk'įį , K'eegwaadhat Diivit'eegwijyąhchy'aa t'ee adan zhrįh K'eegwaadhat nilii t'oonchy'aa .
41:12:030:0	K'eegwaadhat Nivit'eegwijyąhchy'aa , nidrii datthak haa veenjit ch'eet'igwiniindhan ni'įį , nizhin zhit , niyinji' zhit , ąįįts'ą' nat'aii datthak haa veenjit ch'eet'igwiniindhan ni'įį . ’
41:12:031:0	Gwats'ąįį chan jii , ‘Deegwahtł'oo ideet'iindhan googwahtł'oo ninee'ok dinjii nąįį datthak eet'ihiinghyaa goo'aii . ’ Jii neekwaii andaa deegwehee'yaa gwinyąą gwanlii kwaa t'oonchy'aa . ”
41:12:032:0	Law eech'ǫąąhtan ąįį Jesus t'ahnyąą , “ Geech'ǫąąhtan , łyaa gwinzii t'iinyąą , Vit'eegwijyąhchy'aa adan zhrįh K'eegwaadhat nilii , ts'ą' Vit'eegwijyąhchy'aa veeghaii K'eegwaadhat gwanlii kwaa , łi'deegwidlii haa ginkhii t'iinyąą .
41:12:033:0	Ts'ą' nidrii datthak , niyinji' datthak , nat'aii datthak haa veenjit ch'eet'igwiniindhan ni'įį , ts'ą' deegwahtł'oo ideet'iindhan googwahtł'oo ninee'ok dinjii nąįį datthak eet'iindhan . Jii deegwehee'yaa gwinyąą neekwaii k'eegwarahthat ąįį Vit'eegwijyąhchy'aa vats'a' nin ataiinjii tr'ahtsii andaa ts'ą' gwihil'ee . ” yahnyąą .
41:12:005:1	Jii Christ Eenjit Gach'agwaahkat
41:12:034:0	Jesus łyaa gwizhįh haa gwidiiginkhe' yaandaii ts'ą' t'iiyahnyąą , “ Łyaa Vit'eegwijyąhchy'aa Veegwinii'ee gwats'ą' nahgwan t'inchy'aa t'oonchy'aa . ” Jii ąįįtł'ęę ch'ihłee gaa yuuhahkat gatr'agwaanyąą .
41:12:035:0	Jesus Kharigidiinjii Zheh gwizhit geech'ǫąąhtan gwiizhit ch'oahkat , “ Law eech'ǫąąhtan nąįį , yeenii King David vizheh k'ąą gwats'an Christ tr'iheehaa ginyąą deeginyąą t'iginyąą ?
41:12:036:0	Ch'anky'aa Shroodiinyąą zhit ąįį King David jii jyaa diheenjyaa yiłtsąįį . ‘K'eegwaadhat ąįį Shik'eegwaadhat jyaa dahnyąą , dzaa shriits'ąįį sheeghaii dhindii , dahthee juu nits'į' t'inchy'aa nąįį nakwai' t'eh nihihłyaa gwats'ą' datthak ? ’
41:12:006:1	Jesus , Law Eech'ǫąąhtan Nąįį ts'į' Adak'ǫǫntii Nyąą
41:12:037:0	King David adan gaa Shik'eegwaadhat yahnyąą , gwiizhit nats'ahts'ą' Christ ąįį yeenii David ts'an diheedhaa ? ” giiyahnyąą .
41:12:038:0	Geegavąąhtan gwiizhit jyaa nyąą , “ Law eech'ǫąąhtan nąįį ts'į' dak'oontii ts'ą' gooveenjit gwak'ǫǫhtii . Ik ninjyaa nagaazhii haa oo'ok neegihiidal geet'igiindhan . Nijin dinjii nąįį kwaiik'it gwachoo gwitee dinjii nąįį ch'oohookwat geenjit khit łeenagaadal gwa'an Law eech'ǫąąhtan nąįį jyaa gii'in , gwihil'ee gooneerahąhdak ts'ą' gooveech'igi'in geet'igiindhan geh'an ,
41:12:039:0	ąįį nąįį Jews gootr'igiinkhii zheh gwizhit , nijin juu kįh dilk'ii nąįį gwidehk'it giilk'ii , gwa'an giilk'ii chan geet'igiindhan . Nijin ch'ara'aa gwagwahtsii dąį' dinjii tr'ihił'ee nąįį tee giilk'ii geet'igiindhan .
41:12:007:1	Jii Tr'injaa Vakai' Niindhat Vit'eegwijyąhchy'aa Laraa Antł'eiinlii
41:12:040:0	Tr'injaa vakai' niindhat nąįį goozheh goots'į' gohdak ts'ą' shroondaii chan niighyuk khadigigiinjii . Łyaa gwandaa gwiizųų googwarahaahshii gooveenjit goo'aii ! ”
41:12:041:0	Jesus nijin Kharigidiinjii Zheh gwizhit dinjii nąįį laraa gwizhit gilii gwideek'it geeghaih naadii , ts'ą' dinjii nąįį laraa gwizhit gilii gwah'in , dinjii valaraa gwanlii nąįį , laraa lęįį gwizhit gilii goovah'in .
41:12:042:0	Tr'injaa neeshraahchy'aa vakai' niindhat gwiizhit zhat niizhii ts'ą' laraa ghoo tsal neekwaii $ . 01 aanchy'aa gwizhinlii .
41:12:043:0	Ąįįts'ą' ditsyaa nąįį aanaii ahnyąą ts'ą' t'agoovahnyąą , “ Łyaa nakhwaagwaldak , jii tr'injaa vakai' niindhat neeshraahchy'aa gaa ch'andaa laraa gwizhiinlii t'oonchy'aa .
41:12:044:0	Juu datthak laraa tr'ooniindhat giit'aahchy'aa kwaa geh'an gwizhit gilii , gaa zhit tr'injaa neeshraahchy'aa laraa di'įį yaa gweheendaii datthak gwizhiinlii t'oonchy'aa . ”
