17:9:001:1	Jew dine'é bi'ana'í nideistseed
17:9:020:0	Áko Mórdiikai díí yee ak'e'ashchį́ áádóó aláahgo naat'áanii Ahazawííras bee bóhólníihgo bił nahaz'ą́ą́góó t'áá át'é Jew dine'é t'áá ałtso t'áá ákódígi áádóó danízaadiígíí bich'į' naaltsoos ájiilaa. 
17:9:021:0	Áko éí hatahgóó Éídar yiziłígíí binih dį́į́'ts'áadahgóó yoołkáałgo índa ashdla'áadahgóó yoołkáałgo t'áá nináháhááh bik'eh ts'ídá ákódaat'į́į dooleeł. 
17:9:022:0	Éí yoołkáłígíí índa yiziłígíí binih Jew dine'é bi'ana'í nayídeisdįįdgo háádaasyį́į́' áádóó yíní yę́ę ił hózhǫ́ násdlį́į́' áádóó ída'azįįdgi bąąh yíníinii yę́ę hodiyin jį́ násdlį́į́', áko ída'azįįdgo áádóó bił dahózhǫ́ǫgo naakiiską́ áádóó éí bijį́ ch'iyáán ahidiní łnáago ałch'į' ádeił'į́įgo badahojoobá'íii t'áá jíík'eh baa da'jiiznil. 
17:9:023:0	Ákohgo Jew dine'é t'áá ádaat'ínígi át'éego áádóó Mórdiikai hach'į' yee ak'e'ashchínígi át'éego ákódajit'į́įgo hodeeshzhiizh. 
17:9:024:0	Háálá Éígag dine'é Hamiidéítha biye' Héíman éí Jew dine'é t'áá ałtso bi'ana'í jílį́įgo, Jew dine'é atízhdoolííł áádóó ázhdoołdįįł biniyé binahodziz'ą́ągo yáá'iilt'e' Pur wolyéii baa nijizh'eezh. 
17:9:025:0	Nidi Esther éí aláahgo naat'áanii bidááhdóó nizhníyáago aláahgo naat'áanii díí yee haadzíi'go naaltsoos ádayiilaa: diné doo yá'áshǫ́ǫ́góó binahat'a' hólóonii, éí Jew dine'é atíidoolíiłgo yinahaz'áanii bik'ijį' nídoodleeł áádóó bída índa biye'ké tsin bąąhjį' dah dabidi'doodloh. 
17:9:026:0	Éí bąą díí yoołkáłígíí éí yáá'iilt'e' Pur wolyéii Púrim náánáosye'. Áko díí naaltsoos biyi' saad t'áá át'é bee ak'e'ashchínígíí áádóó díí ádahóót'įįdígíí índa bich'į' ádahoodzaaígíí ałdó' dayiiłtsánígíí bąą, 
17:9:027:0	Jew dine'é díí yee nidahaz'ą́ągo t'áá bí ádá áádóó bada'áłchíní índa hodahidiikáhígíí t'áá ałtso ałdó' bá át'é: éí bee ak'e'ashchínígíí bik'ehgo t'áadoo niit'éhí t'áá nináháhááh bik'eh naaki jį́ nída'ałeeh doo, 
17:9:028:0	áádóó díí yoołkáłígíí náás oochííłgóó t'áá ałtso áádóó dahooghangóó t'áá át'é áádóó bee óhólníihgo bił nahaz'ą́ą́góó t'áá át'é áádóó kin hadaas'áágóó t'áá át'é, díí naaki jínígíí bééhániihgo bida'jił'į́į doo, áádóó éí díí naaki jį́ Púrim wolyéii éí Jew dine'é bitahgóó doo nidoot'ih da índa da'ahílchííhgóó bee bééhániihii doo yaa deidiyoonah da. 
17:9:029:0	Ákohgo asdzą́ą́ naat'ááh Esther, Ábiheil bitsi' jílíinii, índa Mórdiikai éí Jew dine'é nilį́įgo t'áá ájíłah t'áá íiyisí bee hóhólníihgo, naakidi aleeh góne' naaltsoos bidziil doogo Púrim baa hojilne'go naaltsoos ánáájiidlaa. 
17:9:030:0	Aláahgo naat'áanii Ahazawííras éí neeznádiindóó ba'aan naadiin tsosts'idgo bee bóhólnííh bił nahaz'ą́ą́góó, saad bee hasht'ehodít'éii áádóó t'áá aaníinii binahjį' Jew dine'é t'áá ałtso bich'į' naaltsoos ádajiilaa. 
17:9:031:0	Éí díí yoołkáłígíí Púrim wolyéii bi'é'él'į' doo biniyé néit'aah; éí Jew dine'é Mórdiikai áádóó asdzą́ą́ naat'ááh Esther t'áá yee hach'į' haadzíi'ii bik'ehgo áádóó t'áá hó índa ha'áłchíní ahoolchíiłii ałdó' bił ádá nidahozhdeet'ánígíí bik'ehgo t'áadoo adání índa atínáhodindleeh yaa ninákah doo. 
17:9:032:0	Áko díí yoołkáłígíí Púrim wolyéii néit'aah dooleełgo asdzą́ą́ naat'ááh Esther éí bidziilgo yee haadzíí', áko naaltsoos biyi' t'áá ákót'éego bee ak'e'ashchį́.
