40:27:001:1	Jesus , Pilate Ts'ą' Giiyihiłchįį
40:27:023:0	Gaa Pilate gavahkat , “ Jidii tr'agwaanduu t'iizhik ? ” nyąą , googaa nihk'it datthak gwint'aii gazhral ts'ą' “ Nihk'ataa'ee cross kat gohtsak ! ” ginyąą .
40:27:024:0	Nijin Pilate , nihłi'ch'iheeghaa k'it t'igwii'in gwąąh'in dąį' khyų' gaa k'eegwiichy'aa t'inyąą ts'ą' chųų lat oonjik ts'ą' zhit juu łeeljil nąįį andah danli' k'eech'ąhtryaa , ts'ą' t'inyąą , “ Jii dinjii vęhdaa tr'agoo'ąįį ji' shįį ąįį shadraii t'oonchy'aa kwaa ts'ą' , nakhwan ąįį gwik'it t'akhwa'yaa t'oonchy'aa ! ”
40:27:025:0	Juu dinjii łeeljil nąįį datthak jyaa diginyąą , “ Tr'iiłkhwąįį ji' ąįį diik'aa gahooghyii ts'ą' diitr'iinin nąįį chan k'ąą gahooghyii ! ” ginyąą .
40:27:005:1	Niveet'ah'in Nąįį Jesus Eegeedlaa
40:27:026:0	Ąįįtł'ęę Pilate , ąįį Barabbas gooveenjit chanaahchįį ts'ą' Jesus viitrii haa tr'ahahtrii gwiłtsąįį , ąįįtł'ęę gigiihahtsak geenjit gwintł'eeyąhchįį .
40:27:027:0	Ąįįtł'ęę Pilate viniveet'ah'in nąįį Jesus goonjik ts'ą' k'eedeegwaadhat choo vizheh gwachoo gwats'ą' giihiłchįį , ts'ą' niveet'ah'in nąįį datthak yeelin niinjil .
40:27:028:0	Giigwach'aa gihłeehaadlii ts'ą' ik daatsik giinaahtsųų .
40:27:029:0	Ąįįtł'ęę khoh haa ts'eh giłtsąįį ąįį giiniin'ąįį , ts'ą' shriits'ąįį vanli' zhit gał ootą' giiyiłtsąįį , tł'ęę giits'ą' nikeegwiitthat ts'ą' giiyeedlaa , “ Jews nąįį king niighyuk goondaii ! ” ginyąą .
40:27:030:0	Gał giiyantł'ee oonjik ts'ą' giiki' oahkhaa tł'ęę giik'aa hizhree .
40:27:006:1	Jesus Gigiłtsak
40:27:031:0	Nijin giiyeedlaa ndaanagąąhjik dąį' , ik daatsik giiniitr'ahtsuu ts'ą' giigwach'aa giiyeenineiinlii . Tł'ęę oo'an gigiihahtsak gwats'ą' giihiłchįį .
40:27:032:0	It'ee ch'ineegiijyaa gwiizhit dinjii Simon oozhii ąįį Cyrene kwaiik'it gwats'an ahaa k'at deegaajil ts'ą' niveet'ah'in nąįį Jesus va-cross ichyaa giits'an gwiłtsąįį .
40:27:033:0	Taih kat Golgotha goaazhii k'eegiidal , ąįįt'ee “ Dinjii kiitth'an deek'it . ” gwinyąą t'igwinyąą .
40:27:034:0	Aiizhit zhat Jesus jak chų' ( vinegar ) traakaii k'it vagwandaii ąįį chan giiteet'inlik , yaalaii ts'ą' yeenį' kwaa .
40:27:035:0	Ts'ą' t'ee cross kat gigiiyiłtsak ąįįtł'ęę giigwach'aa datthak nihteegeelzhii ts'ą' ( dice ) tth'an ghoo tsal gahaanjal haa juu shrit jidii gwach'aa hoondal ji' geenjit giiyaa tsee'in .
40:27:036:0	Ąįįtł'ęę zhat nankat giilk'ii ts'ą' giik'aahtii .
40:27:037:0	Giiki' ehdee dachan kat jidii eenjit gigiiyiłtsak ąįį dagwagwaantł'oo , “ Jii t'ee Jesus t'inchy'aa , Jews nąįį eenjit King nilii . ” ginyąą ts'ą' ch'adagąąntł'oo .
40:27:038:0	Ąįįtł'ęę t'ee dinjii ch'an'įį neekwaii giiyaagiłtsak . Ch'ihłak vishriits'ąįį ts'ą' ch'ihłak chan vatł'ohts'ąįį jyąhts'ą' gagoogiłtsak .
40:27:039:0	Dinjii nąįį giiyehgoo khadal dąį' , gwiizųų Jesus ts'ą' gigiinkhii ts'ą' gook'įį gwanlii haa digiki' tth'an gaahthak .
40:27:040:0	“ Khadigiriinjii Zheh nineegwihiinlyaa ts'ą' drin tik gwagwaanchy'aa gwizhit neegwahałtsyaa diinyąą chy'aa ? Vit'eegwijyąhchy'aa Vidinji' inlii ji' cross ts'an ninkhaii ts'ą' gwats'an tr'iineedaanchįį ! ” giiyahnyąą .
40:27:041:0	Ąįį gwik'it giinkhih kįh dilk'ii nąįį ąįįts'ą' Law eech'ǫąąhtan nąįį , ąįįts'ą' Jews kįh dilk'ii nąįį datthak giiyeedlaa ts'ą' t'iginyąą ,
40:27:042:0	“ Ch'izhii dinjii nąįį neeheezhii ąhtsii , gwiizhit gaa adan ąįį needahaazhii veegogwantrii . Israel nąįį eenjit King nilii tr'oonyaa łee ? Juk zhat cross ts'an nineezhii ji' t'ee vik'injireheedhaa t'inchy'aa ! ” ginyąą .
40:27:043:0	Vit'eegwijyąhchy'aa t'injyąhchy'aa ts'ą' “ Vit'eegwijyąhchy'aa Vidinji' ihłii ” nyąą geenjit Vit'eegwijyąhchy'aa gwats'an juk tr'ineeyahahchyaa ji' geenjit nagwaroo'ya' ts'ą' gwarǫh'ya' ! ” ginyąą .
40:27:007:1	Jesus Niindhat
40:27:044:0	Zhit dinjii ch'an'įį neekwaii nąįį nihts'įį giiyeenjit giłtsak nąįį gaa gwiizųų gook'it giits'ą' ginkhii .
40:27:045:0	Drintł'an 12 : 00 nigwiindhat gwiizhit nankat datthak tǫǫ nagwaanąįį , ts'ą' 3 hrs . datthak tǫǫ gwin'e' .
40:27:046:0	3 : 00 gwa'an gweedhaa gwiizhit Jesus , azhral haa gwint'aii khashraa'iintrat , “ Eli Eli lema sabachthani ? ” Ąįįt'ee , “ Shivit'eegwijyąhchy'aa , Shivit'eegwijyąhchy'aa jaghaii akhashoiinyąą ! ” , gwinyąą t'igwinyąą .
40:27:047:0	Zhat gwa'an dinjii lat neelzhii nąįį “ Elijah oozhrii ! ” giiyiitth'ak ginyąą .
40:27:048:0	Dinjii ch'ihłak yats'ą' hilgik ts'ą' sponge ahtsit ts'ą' jak chų' ( wine ) daatł'oo kwaa ąįį zhit tee yahtsuu ts'ą' gał tsii niyahtsuu ąįįtł'ęę yiheenjyaa geenjit yats'ą' yuuntą' .
40:27:049:0	Gaa ch'izhii nąįį t'igiiyahnyąą , “ Nagoodhan'in , duulee Elijah gwats'an tr'ineeyahahchyaa , ąįį zhit gwarahąąh'yaa geenjit ! ” ginyąą .
40:27:050:0	Jesus chan hee gwint'aii khashraa'iintrat , ts'ą' neehoozhee ąįįtł'ęę niindhat .
40:27:051:0	Ąįįtł'ęę Khadigiriinjii Zheh gwizhit gindeiinvyaa choh gwach'aa dach'at haa iltsąįį teetł'an dakhii gwats'an k'iizhak datthak nihtr'iinch'aa . Gwiizhit nan datthak daatrat ts'ą' kii choh kwaii gaa nitr'aanaii .
40:27:052:0	Tth'ank'it kwaii gaa nihtr'igweelnaii ts'ą' nihky'aa t'igwiizhit ts'ą' Vit'eegwijyąhchy'aa vigii lęįį nąįį niinjik nąįį gaa neegwiindaii neegaadlit ,
40:27:053:0	ts'ą' tth'ank'it gwats'an gihłeegahoojil . Jesus niindhat gwats'an needhikhin ąįįtł'ęę , Jerusalem kwaiik'it gwachoo shroodiinyąą gwats'ą' gahaajil , izhit dinjii lęįį nąįį googah'ya' .
40:27:054:0	Nijin niveet'ah'in kįh dhidii ąįįts'ą' niveet'ah'in lęįį nąįį datthak Jesus aakin gąą'įį gwiizhit nan daatrat ts'ą' gwilii t'igwii'in datthak gwagwaah'in dąį' , łahchy'aa gihilghaa haa t'iginyąą , “ Jii dinjii łyaa Vit'eegwijyąhchy'aa Vidinji' nilii łee ! ” ginyąą .
40:27:055:0	Tr'injaa lęįį nąįį niighit gwats'an aakin gwagwaa'įį , ąįį nąįį t'ee Galilee gwats'an Jesus tąįį gahahjil ts'ą' giits'iinya' .
40:27:008:1	Jesus An Nagaahjik
40:27:056:0	Ąįį nąįį gootee Mary Magdalene ts'ą' James ts'ą' Joseph haa goohan Mary ts'ą' Zebedee va'at nąįį nadhat .
40:27:057:0	Nijin khaa nagwaanąįį dąį' , dinjii valaraa gwanlii , Joseph oozhii Aramathea kwaiik'it gwachoo gwats'an ahaa ts'ą' Jesus vitsyaa chan nilii zhat k'idik .
40:27:058:0	Pilate ts'ą' haazhii ts'ą' Jesus vichį' shantł'eerohchyaa nyąą ts'ą' ch'oahkat . Ąįįts'ą' Pilate vantł'eeyuhchįį nyąą .
40:27:059:0	Ts'ą' t'ee Joseph , Jesus vichį' oonjik ts'ą' gwach'aa dril daagąįį k'eejit yaanoołjik ,
40:27:060:0	ts'ą' adan ąįį datth'ank'it zhit niyąąhchįį . Kii zhit gweedii goo'aii gwizhit tth'ank'it gwagwaa'įį ąįį zhit gwizhit niyąąhchįį ts'ą' gwadąįį kiichyaa choh , gihdeiin'ąįį ts'ą' gihłeehoozhii .
40:27:009:1	Tth'ank'it Niveet'ah'in Nąįį Gwik'eehaahtyaa Gwigwiłtsąįį
40:27:061:0	Mary Magdalene ts'ą' ch'izhii Mary haa tth'ank'it gwats'ą' gaahdii .
40:27:062:0	Gęhdaa drin , Neegwaazhii Drin zhit nagwaanąįį gwiizhit giinkhih kįh dilk'ii nąįį ts'ą' Pharisee nąįį haa Pilate gahaa'yaa gwigwiłtsąįį ,
40:27:063:0	ts'ą' t'igiiyahnyąą , “ K'eedeegwaadhat , zhit dinjii ch'a'oots'it , gwandaii dąį' jii jyaa dinyąą vineegwaandaii . ‘Drin tik , gehgoo gwahaadhat ąįįtł'ęę , neegwihįhdaii . ’ nyąą t'inchy'aa .
40:27:064:0	Niveet'ah'in nąįį vatth'ank'it drin tik datthak gwinzii gwik'eegahaantyaa geenjit jyaa goovahnyąą . Jyąhts'ą' gwik'iighai' duuyeh vitsyaa nąįį gwats'ą' gihihjyaa ts'ą' giich'ichį' nan'įį ts'ą' dinjii nąįį haa gwagwahaandak ts'ą' needhikhin giiyahaanjyaa gwits'į' t'igwinyąą ginyąą . Needhikhin giihaanjyaa ąįįt'ee tr'ookit dąį' oots'it haa Christ ihłii nyąą andaa gwiizųų t'oonchy'aa . ”
40:27:065:0	Pilate t'agavahnyąą , “ Niveet'ah'in nąįį teegǫhjii ts'ą' zhit tth'ank'it gaa nigwigwehee'aa kwaa geenjit gwiinzii shragohłii . ”
40:27:066:0	Ts'ą' t'ee gihłeegahoojil ts'ą' tth'ank'it kii choo gideegii'ąįį ąįį gihłeegihee'aa gwits'į' agwagweelkįį ts'ą' niveet'ah'in nąįį zhat gwik'eegahąąhtyaa geenjit zhat nagoogiinlii .
