40:6:001:1	Nats'ąą Dinjii Gwat'aahchy'aa Nąįį Ts'igwinyąą Ąįį Eech'ǫąąhtan
40:6:025:0	“ Izhit geh'an jii eenakhwaagwaldak t'ihnyąą , goohǫhndąį' geenjit shih hoh'aa ts'ą' chųų hakhwanjyaa geenjit tr'agohdii shrǫ' . Ąįįts'ą' chan jidii gwach'aa nananzhyaa eenjit chan tr'agohdii shrǫ' . Jidii shih tr'a'aa ts'ą' gwach'aa naraazhii haa jii gwarandaii zhit andaa gwihil'ee kwaa t'oonchy'aa .
40:6:026:0	Zhit dziitsal kwaii nǫh'in , gwanzhįh gąąhshii kwaa , ts'ą' gwanzhįh chan gaahtsii ts'ą' zheh gii'įį ąįį zhit nihdeegiiyilii kwaa , ąįį googaa nihk'it Zheekat Gwiti' gook'ąąhtii ts'ą' gooch'ah'aa t'iginchy'aa . Chiitsal nąįį andaa nakhweegoo'aii t'oonchy'aa !
40:6:027:0	Nakhwatee gwa'an ch'ihłee niighyuk goiihndaii niindhan ts'ą' geenjit tr'igwidii ji' , duuyeh gwintsal niighyuk gwandaii adaatsii t'inchy'aa .
40:6:028:0	“ Ąįįts'ą' jaghaii gwach'aa nahoozhyaa eenjit tr'agohdii ? Zhit gwanzhįh gwinzii vigweech'in nahshii nǫh'in . Ideenjit tr'agwagwah'in kwaa ts'ą' ideenjit chan gwach'aa gahtsii kwaa gooh'in ?
40:6:029:0	Gaa nakhwaagwaldak , King Solomon gaa deegwahtł'oo valaraa gwanlii haa hil'ee gaa gook'it gwach'aa jyaa dahtsu' naazhii kwaa t'inchy'aa .
40:6:030:0	Nakhwak'injigwiighit łyaa natsal , t'agwarahnyąą . Jesus gavahnyąą . Vit'eegwijyąhchy'aa jii nankat gwanzhįh gwinzii vigweech'in kwaii nahshii ts'ą' k'ąąhtii , t'oonchy'aa . Jii gwanzhįh kwaii juk drin gwinzii nahshii gaa nihkaa drin vaa vikeech'arahchy'aa zhit tr'ahahk'an t'inchy'aa . Jii kwaii andaa khadhoo'ee t'oonchy'aa ts'ą' gwach'aa nahoozhyaa nakhwantł'eeheelyaa t'inchy'aa .
40:6:031:0	Nijin gwats'an , shih hoh'aa ts'ą' , chųų khwanjyaa ts'ą' nijin gwats'an gwach'aa nahoozhyaa , geenjit tr'agohdii shrǫ' .
40:6:032:0	Juu Vit'eegwijyąhchy'aa k'injiighit kwaa nąįį t'ee , jii kwaii eenjit tr'igwigwidii ts'ą' eenjit hanagaandaii t'igiinchy'aa , gaa Zheekat Nakhwati' jii kwaii datthak t'ohchy'aa nakhwaandaii t'oonchy'aa .
40:6:033:0	Izhit geh'an , jii Vit'eegwijyąhchy'aa Veegwinii'ee ts'ą' deenahnyąą datthak gwik'it t'akhwa'yaa gwizhrįh gininjich'ohthat , ji' jidii t'oohchy'aa kwaii datthak nakhwats'an hahtsyaa t'inchy'aa .
40:6:034:0	Ąįį geh'an nihkaa drin geenjit tr'agohdii gwat'oohchy'aa kwaa t'oonchy'aa . Juk drin gwinlęįį geenjit tr'agohdii gwanlii t'oonchy'aa , ąįį geeghaih gwinlęįį kwaii vineedohkhan haa tr'igwidii dats'an ohtsii gwat'oohchy'aa kwaa . ”
