40:13:001:1	Jii Jesus Vagwandak T'ee Dinjii Gwahąąhshįį Eenjit Gwanzhįh Gwit'ilii
40:13:015:0	Jii dinjii nąįį łi'deegwidlii gwinzii gaageheendaii geenjit gwik'eegwagwandaii kwaats'ą' goodzee gwanlii gaa jidii gwigwiitth'ak deegwinyąą t'igwinyąą gaagiindaii kwaa , jidii łi'deegwidlii gaagoondaii giindhan kwaa geh'an dagandee haa gwagaah'in kwaa k'it chan t'oonchy'aa , jyaa digii'in kwaa ji' gwinzii deeshi'in gaageheendaii ts'ą' shatr'agwaanduu gwanlii ginyąą ji' neegoohałshii t'oonchy'aa . ’
40:13:016:0	“ Gaa nakhwan ąįį łyaa nakhwats'ą' gwinzii goodlit , nakhwandee haa gooh'in ts'ą' nakhwadzee haa goohtth'ak geh'an .
40:13:003:1	Dinjii Gwanzhįh Gwit'ilii Ąįį Gwagwandak Deegwinyąą T'igwinyąą Jesus Geegwaandak .
40:13:017:0	Datthak ts'ą' łi'haa nakhwaa gwaldak , Vit'eegwijyąhchy'aa Eenjit Ginkhii lęįį nąįį ts'ą' Vit'eegwijyąhchy'aa vigii nąįį haa jidii gǫǫh'ya' ąįį datthak ts'ą' gwarooh'ya' giindhan gaa gwagwąąh'ya' kwaa , ts'ą' jidii gohtth'ak chan gwarootth'ak giindhan gaa gwigwiitth'ak kwaa . ”
40:13:018:0	“ Dinjii gwanzhįh gwiteiinlii vagwandak ałtsii oodǫǫhk'įį .
40:13:019:0	Juu Gwandak Nizįį zhit Vit'eegwijyąhchy'aa Veegwinii'ee eegwiitth'ak gaa deegwinyąą t'igwinyąą gaagiindaii kwaa , nąįį t'ee , tąįį gwinjik gwa'an gwanzhįh li' naadhak k'it t'iginchy'aa ts'ą' ch'anky'aa tr'aanduu gwanzhįh li' goodrii zhit gwats'an goots'į' yuundak t'inchy'aa .
40:13:020:0	Ch'izhii dinjii nąįį chan gwanzhįh kii tee gwa'an niinjil k'it t'igiinchy'aa , Vit'eegwijyąhchy'aa Viginjik giitth'ak gwagwahkhan geenjit łyaa shoo ginlii ,
40:13:021:0	gaa gwint'aii gwagoontą' kwaa , ts'ą' nijin Gwandak Nizįį goovaagogwantrii ts'ą' khaiinjich'agoorahkhit dąį' niighit kwaa gwats'ą' gwizhrįh gwagoontą' ts'ą' akhagagoonjik .
40:13:022:0	Ch'izhii dinjii nąįį gwanzhįh khoh tee niinjil k'it t'igiinchy'aa . Jii nąįį t'ee Vit'eegwijyąhchy'aa viginjik giitth'ak , gaa dzaa nankat nats'ąą gwigweheendaii geenjit gwizhrįh ninjich'agadhat ts'ą' laraa chan gihił'ee ts'ą' geedan deegoo'ya' giindhan gwizhrįh gwik'it t'igii'in ts'ą' Vit'eegwijyąhchy'aa viginjik eenjit gwitr'it t'agwagwah'in kwaa , ts'ą' gwanzhįh vakat gwąąhshii kwaa k'it t'igiinchy'aa
40:13:004:1	Nankat Tł'oo Iizųų Nahshii Gwagwandak
40:13:023:0	Gaa ch'izhii dinjii nąįį , gwanzhįh łųh nizįį kat niinjil t'ee , Vit'eegwijyąhchy'aa Viginjik , gwiinzii giitth'ak ts'ą' digidrii zhit giiyųųntą' Vit'eegwijyąhchy'aa k'eegwagwahthat geh'an goohaa gwintł'oo nahshii yahtsik . Valat 30 , valat 60 ąįįts'ą' valat 100 jii jyaa daanchy'aa yahtsik . ”
40:13:024:0	Jesus gwandak ch'izhii vaageech'oorahtan gavaa gwaandak , “ Zheekat Gweegwinii'ee t'ee jii k'it t'oonchy'aa . Dinjii gwanzhįh nahshii , gwanzhįh deek'it gwanzhįh nizįį gwit'eiinlii .
40:13:025:0	Ch'ihłan tǫǫ juu nąįį tthak iłchųų gwiizhit , dinjii yitr'ii'ee gwanzhįh deek'it gwanzhįh li' iizųų gwit'eiinlii ts'ą' gihłeehoozhii .
40:13:026:0	Nijin gwanzhįh nizįį nahshii dąį' vitsii gwąąhshii gwiizhit chan gwanzhįh iizųų chan khaheełshii .
40:13:027:0	Gwiizhit ąįį dinjii va-slaves nilii nąįį giits'ą' haajil ts'ą' t'igiiyahnyąą , ‘Shik'eedeegwaadhat , gwanzhįh nizįį gwit'ehrinlii , gaa jii gwanzhįh iizųų nats'ahts'ą' gwitee t'iizhik t'inchy'aa ? ’
40:13:028:0	‘Juu shitr'ii'ee t'iizhik t'oonchy'aa . ’ goovahnyąą . Ąįįts'ą' t'igiiyahnyąą , ‘Oo'an gwats'ą' tr'ahoojyaa ts'ą' gwanzhįh iizųų kharoolyaa diinoiinyaa ? ’ giiyahnyąą .
40:13:029:0	‘Nakwaa , zhit gwanzhįh iizųų khohłii ji' duulee gwanzhįh nizįį chan vaa khahoohłyaa t'oonchy'aa ! ’ gavahnyąą .
40:13:005:1	Ch'andih Tsal Mustard Oozhii Gwagwaandak
40:13:030:0	‘Jyaa dohthan , gwanzhįh kharilii ji' nihłaa khareheelyaa geenjit , izhit ji' sha-slave nąįį tł'oo iizųų tr'ookit khohłii gavahaihjyaa , ąįįts'ą' datthak nihłaa dohchaa ts'ą' ohk'an ts'ą' zhit tł'oo li' nizįį ąįį shadraa zhit gwizhit nihdǫhłii goovahihjyaa . ’ ”
40:13:031:0	Jesus chan hee ch'izhii gwandak ąhtsii haa geech'ǫąąhtan goovaagwandak , “ Zheekat Gweegwinii'ee jii k'it doonchy'aa t'oonchy'aa . Dinjii mustard seed oonjik ts'ą' gwanzhįh deek'it gwit'eeyin'ąįį .
40:13:006:1	Łųh Vaaniituu Gwagwandak
40:13:032:0	Ąįį seed ch'andaa t'ahtsal nilii , gaa nijin khaniłshii dąį' gwanzhįh ch'andaa t'ahtsii nilii ts'ą' ts'iivii nitsii dhidlit . Dachan choo hee dhidlit ts'ąįį , dziitsal kwaii gaa yatthoochan kat t'oh ąhtsii . ”
40:13:007:1	Jaghaii Jesus Vaageech'aroahtan Gwagwaandak T'aahchy'aa
40:13:033:0	Jesus chan hee ch'izhii gwandak ąhtsii haa geech'ǫąąhtan goovaagwaandak : “ Zheekat Gweegwinii'ee jyaa doonchy'aa t'oonchy'aa . Tr'injaa tyah choo zhit łųh deedąą'ąį' tee łųh vaaniituu tsal gwiteiinjaa , ąįįtł'ęę ąįį łųh datthak niłshįį . ”
40:13:034:0	Jesus , khit ts'ą' jii k'it t'inchy'aa gwandak kwaii vaageech'aroahtan haa gweedhaa datthak juu yaa łinaadal nąįį haa gwaandak , vaa geech'arǫąąhtan gwandak zhrįh haa goots'ą' ginkhii .
40:13:008:1	Jesus , Geech'ǫąąhtan Zhit Weeds Gwandak Deegwinyąą T'igwinyąą Geegwaandak .
40:13:035:0	Vit'eegwijyąhchy'aa Eenjit Ginkhii yeenii deeginyąą łi'deegwidlii gweheelyaa geenjit jyaa digeenyą' , “ Nijin goots'ą' giihkhii dąį' gwandak deegwinyąą t'igwinyąą nagwąąh'įį zhit geegoovahałchyaa t'eehałchy'aa . Jii nan goodlit dąį' gwats'an nijin gaagiindaii kwaa geenjit gavaa gwahaldak t'igiinchy'aa . ” nyąą .
40:13:036:0	Nijin Jesus , zhit dinjii łeeljil nąįį iłeehoozhii ts'ą' zheh nihdeiinzhii dąį' vitsyaa nąįį t'igiiyahnyąą , “ Jii gwandak vaageech'oahtan ąįį gwanzhįh tr'ąąhshii deek'it jaghaii tł'oo iizųų chan niłshįį , diihaa gwandak ? ” giiyahnyąą .
40:13:037:0	Jesus t'agavahnyąą , “ Zhit dinjii juu gwanzhįh nizįį gwit'inlii t'ee Gwidinji' t'inchy'aa .
40:13:038:0	Jii gwanzhįh deek'it ąįįt'ee jii nankat t'agwarahnyąą , ąįįts'ą' zhit gwanzhįh nizįį gwit'eerinlii ąįįt'ee Vit'eegwijyąhchy'aa Veegwinii'ee gwats'an dhidlit t'oonchy'aa . Ąįįts'ą' zhit gwanzhįh deek'it tł'oo iizųų gwit'eh giinlii ąįį nąįį t'ee Ch'anky'aa Tr'aanduu ts'an dhidlit t'oonchy'aa .
40:13:039:0	Zhit juu nits'į' t'inchy'aa nitr'ii'ee ts'ą' tł'oo iizųų gwiteiinlii ąįįt'ee Ch'anky'aa Tr'aanduu t'inchy'aa . Zhit gwanzhįh kharilii ąįįt'ee nankat ndaagwąą'ąį' drin zhit t'oonchy'aa . Ąįįts'ą' zhit juu gwanzhįh khalii ts'ą' geetr'agwaah'in nąįį t'ee zheekat gwich'in nąįį t'igiinchy'aa .
40:13:040:0	Juk gweendaa jii nankat gwanzhįh tł'oo iizųų khaihłan nigilii ts'ą' kǫ' zhit giiyahk'an k'it nankat ndaagwąą'ąį' drin zhit ji' t'ee jyaa digwehee'yaa t'oonchy'aa .
40:13:041:0	Ąįįtł'ęę Gwidinji' Diveegwinii'ee gwats'an dizheekat gwich'in nąįį yeenjit juu dinjii nąįį ch'izhii dinjii nąįį tr'agwaanduu t'igii'in ąhtsii ts'ą' dinjii dagakhai' tr'agwaanduu t'ii'in nąįį datthak khaihłan nagoogiheelyaa ts'ą'
40:13:042:0	datthak ts'ą' ch'iitsii zhit gwak'an gwizhit googiheelyaa , gwintł'oo khaiinjich'igiheeghit haa izhit t'ee gwintł'oo giheetree ts'ą' dagagho' nihts'ą' łagahoon'al haa neegiiyik'ii k'it t'igihee'yaa t'iginchy'aa .
40:13:009:1	Treasure , Geegoh'ik Dha'aii Gwagwaandak
40:13:043:0	Ąįįtł'ęę t'ee juu Vit'eegwijyąhchy'aa ts'an dhidlit nąįį Zheekat Gooti' Veegwinii'ee zhit shree adrii k'it t'igiheechy'aa . Ch'oodǫǫhk'įį , nakhwadzee gwanlii ji' ! ”
40:13:010:1	Pearl , Ąįį Geech'oorahtan Zhit Eegwagwaandak
40:13:044:0	“ Zheekat Gweegwinii'ee jyaa doonchy'aa t'oonchy'aa . Dinjii ch'ihłak gwanzhįh deek'it treasure agwąh'ąįį ts'ą' it'ee shrit shoodhidlit ts'ąįį , jidii di'įį datthak tr'oonkwat gwiłtsąįį ąįįtł'ęę oo'an neehoozhii ts'ą' ąįį gwanzhįh deek'it goiinkwat . ”
40:13:045:0	“ Ąįįts'ą' chan Zheekat Gweegwinii'ee jyaa doonchy'aa t'oonchy'aa . Dinjii ch'ihłak pearl nizįį kwaii kantii ,
40:13:011:1	Chihvyaa Gwagwaandak
40:13:046:0	ts'ą' nijin pearl łahchy'aa ch'andaa nizįį agwąh'ąįį dąį' , jidii di'įį datthak tr'oonkwat gwiłtsąįį ts'ą' zhit pearl oiinkwat . ”
40:13:047:0	“ Ąįįts'ą' chan hee Zheekat Gweegwinii'ee jii k'it doonchy'aa t'oonchy'aa . Dinjii łuk kee'in lat nąįį digichihvyaa , van kat oondaa chagahtsuu ts'ą' łuk nihłehts'į' t'iichy'aa datthak vizhiinjil .
40:13:048:0	Nijin chihvyaa zhit łuk deedaan'ąįį goodlit dąį' chihvyaa khaneegahtsuu ts'ą' zhat giilk'ii ts'ą' łuk nihtee tr'igilii , jidii łuk nizįį kwaii tyah lęįį zhit ginlii ts'ą' łuk ginilih kwaa , kwaii oo'an gihiłjil .
40:13:049:0	Nankat ndaagwąą'ąį' drin zhit ji' t'ee jyaa digweheenjyaa t'oonchy'aa . Zheekat gwich'in nąįį dinjii tr'agwaanduu tr'agwah'in nąįį dinjii nizįį nąįį ts'an tee tr'agoogiheelyaa , ts'ą' khaihłan nagoogiheelyaa .
40:13:012:1	Łi'deegwidlii K'eejit ąįįts'ą' Yeenii Deegwinyąą Haa
40:13:050:0	ts'ą' nijin gooveenjit ch'iitsii choh zhit gwak'an , ąįį zhit gwizhit googiheelyaa ts'ą' gwintł'oo giheetree ts'ą' dagagho' nihts'ą' łagahoon'al haa neegiiyik'ii k'it t'igihee'yaa t'iginchy'aa . ”
40:13:051:0	“ Jii deihnyąą datthak deihnyąą t'ihnyąą gaakhwandaii ? ” Jesus gavahnyąą . “ Aahą' . ” giiyahnyąą .
40:13:013:1	Jesus , Nazareth gwizhit Gwits'eehoozhii
40:13:052:0	Ąįįts'ą' t'ee chan hee t'agavahnyąą , “ Zhit juu Jews goo-law eech'ǫąąhtan nąįį datthak Zheekat Gweegwinii'ee zhit gwats'an gaadlit ts'ą' t'ee zhat zheh gwigwii'įį k'it t'oonchy'aa , ts'ą' dadraa zhit gwizhit k'eiich'i' k'eejit ts'ą' yeenii gwats'an k'eiich'i' gwizhit iłdlii kwaii datthak vit'eegwahahchy'aa geenjit tth'aii hee nizįį k'it t'oonchy'aa . ”
40:13:053:0	Nijin Jesus , gwaandak kwaii haa geech'ǫąąhtan haa ndaanaahjik dąį' , zhat gihłeehoozhii ,
40:13:054:0	ts'ą' nijin dink'iindhat , gwits'ee hoozhii . Ts'ą' Jews tr'igiinkhii zheh gwizhit geegoovąąhtan , akhai' juu yiitth'ak nąįį gooveenjit łyaa geegwaroolii kwaa t'igwinyąą , “ Jii dinjii nijin gwats'an vigwizhi' gwanlii t'inyąą ? ” giiyahnyąą “ Nats'ahts'ą' gwigweech'in t'ii'in t'ii'in ? ” ginyąą .
40:13:055:0	Dinjii dachan haa gwahtsii nilii ąįį vidinji' lee t'inchy'aa ? Vahan Mary oozhii lee t'inchy'aa ? Ąįįts'ą' James , Joseph , Simon ts'ą' Judas nąįį haa vachaa nąįį lee t'inchy'aa ?
40:13:056:0	Vijuu nąįį datthak dzaa gwigwich'įį lee t'iginchy'aa ? Nijin gwats'an jii gwigwee'in ts'ą' ginjik jiintsii kwaii datthak oonjik t'ii'in ? ” giiyahnyąą ts'ą' ,
40:13:057:0	giits'į' t'inchy'aa , ts'ą' giit'injyah'ee . Ąįįtł'ęę Jesus t'agavahnyąą , “ Juu Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii nijuk datthak giiyihił'ee gaa vanahkat ts'ą' vizheh k'ąą nąįį datthak giits'į' t'inchy'aa ts'ą' giiyihił'ee kwaa t'oonchy'aa . ”
40:13:058:0	Gwik'injigiighit kwaa geh'an izhit Nazareth gwizhit gwintł'oo gwigwee'in jiintsii t'ee'ya' kwaa .
