40:7:001:1	Dinjii Nats'ąą Deerahoonjyaa Goo'aii
40:7:013:0	“ Gindeiinvyaa k'it łyaa gwiints'ik ; hell gwats'ą' gindeiinvyaa ąįį łyaa gwiinchyaa ts'ą' gwinjik hohdaa geenjit gwagwantrii kwaa ts'ą' łyaa dinjii lęįį nąįį gwinjik hijyaa t'oonchy'aa
40:7:004:1	Ts'iivii Vakat Jak Nahshii Eegiihkhii
40:7:014:0	Gaa gwaandaii tr'iheelyaa geenjit gwats'ą' gindeiinvyaa łahchy'aa gwiints'ik ts'ą' vats'a' gwagwantrii ts'ą' dinjii nitsya' nąįį zhrįh giigwah'at t'oonchy'aa . ”
40:7:015:0	“ Vit'eegwijyąhchy'aa Eenjit Ginkhii adaa'įį nąįį ts'į' adak'ǫǫntii . Divii k'it t'igiheechy'aa ts'ą' nijin nats'ą' geedaa ji' goodrii zhit zhoh iizųų k'it t'igiinchy'aa t'igii'in .
40:7:016:0	Nats'ahts'ą' deegii'in gwik'iighai' gavaakhwandaii t'inchy'aa . Khoh duuyeh jak choh ( grapes ) vakat nahshii , ąįį gwik'it jak , Figs duuyeh khoh kat nahshii t'inchy'aa .
40:7:017:0	Dachan vat'an nizįį vakat jak nizįį nahshii , gaa dachan vat'an iizųų ąįį vakat juk iizųų nahshii .
40:7:018:0	Dachan vat'an nizįį duuyeh jak iizųų vakat nahshii ąįį gwik'it dachan vat'an iizųų duuyeh jak nizįį nahshii t'oonchy'aa .
40:7:019:0	Ąįįts'ą' jidii ts'iivii vakat jak nahshii kwaa kwaii kharaheekyaa ts'ą' kǫ' zhit oo'an tr'ahahdaa gwizhrįh goo'aii .
40:7:005:1	Duuyeh Nakhwaashandaii
40:7:020:0	Ąįį gwik'it jidii ts'iivii nats'ahts'ą' vakat gwąąhshii ąįį gwik'it Vit'eegwijyąhchy'aa Eenjit Ginkhii adaa'įį nąįį deegii'in ąįį k'iighai' goovaakhwandaii t'oonchy'aa . ”
40:7:021:0	“ Juu shoozhri' oozhrii ts'ą' ‘K'eegwaadhat , K'eegwaadhat ! ’ Shahnyąą nąįį datthak Zheekat Gweegwinii'ee nihdeeheedaa kwaa t'oonchy'aa . Gaa zhit juu zheekat Shiti' deenyąą gwik'eegwahthat nąįį zhrįh nihdeegiheedaa t'oonchy'aa .
40:7:022:0	Nijin Ch'aroahkat Drin nagwiindhat ji' lęįį nąįį , ‘K'eegwaadhat , K'eegwaadhat , noozhri' zhit Vit'eegwijyąhchy'aa Vagwandak Nizįį eegwaraandak ts'ą' noozhri' zhit ch'anky'aa iizųų chan dinjii nąįį ts'an tr'iriinlii ts'ą' gwinlęįį chan noozhri' zhit nindal gwaahchy'aa gwigwii'in t'igwiizhit . ’ giheenjyaa t'iginchy'aa .
40:7:006:1	Dinjii Neekwaii Zheh Gwagwahtsii
40:7:023:0	Ąįįts'ą' jii jyaa goovahaihjyaa , ‘An shihłeekhwajyaa , dinjii iizųų ǫhłįį ts'ą' nakhwaashandaii kwaa ! ’ t'oonchy'aa . ”
40:7:024:0	“ Ąįįts'ą' t'ee juu shiginjik oołk'įį ts'ą' shik'eegwahthat nąįį t'ee zhit juu kii choh kat zheh gwiłtsąįį k'it googwizhi' gwanlii t'iginchy'aa .
40:7:025:0	Gwint'aii ąhtsin ts'ą' han gwinjik chųų gwintł'oo ndak t'iizhik ts'ą' gehk'aa gaa teiinkhaii , gwiizhit zheh gwats'ą' gwint'aii ahtr'aii , googaa nihk'it zheh needagwaakhaii kwaa , kii kat dagoo'aii geh'an .
40:7:026:0	“ Gaa juu nąįį datthak shiginjik oołk'įį ts'ą' gwik'it t'ii'in kwaa nąįį t'ee zhit juu googwizhi' kwaa haa needdhak kat zheh gwiłtsąįį k'it t'igiinchy'aa .
40:7:007:1	Jesus K'eegwaadhat Haa Vat'aii Gwanlii Ky'aa Geech'ǫąąhtan
40:7:027:0	Gwint'aii ąhtsin ts'ą' han gwinjik chan chųų gwintł'oo ndak t'iizhit ts'ą' teiinkhaii , gwiizhit chan zheh gwats'ą' gwint'aii ahtr'aii , ąįįts'ą' łahchy'aa gwint'aii needagwaanaii . ”
40:7:028:0	Nijin Jesus , geech'ǫąąhtan ndaanaahjik dąį' zhit juu yaa łeeljil nąįį łahchy'aa gooveenjit geegagoolii kwaa t'igwinyąą .
40:7:029:0	Law eech'ǫąąhtan nąįį ( Scribes ) k'it łyaa t'inyąą kwaa , gaa dinjii viginjik nint'aii haa geech'oohtan k'it geech'ǫąąhtan .
