40:20:001:1	Jak Choh ( grapes ) , Tr'ąąhshii Gwa'an Tr'agwah'in Nąįį
40:20:020:0	Ąįįtł'ęę Zebedee va'at Jesus ts'ą' haazhii , vidinji' neekwaii nąįį yaaneehii'oo gwiizhit Jesus ts'ą' nikiigwiintthaii ts'ą' t'iiyahnyąą . “ Łyaa k'eegwiichy'aa geenjit noołkat nihthan . ” yahnyąą .
40:20:021:0	“ Deeyiindhan , ” Jesus yahnyąą . Ch'ahan ąįį jyaa yahnyąą , “ Nijin Neegwinii'ee nihdeiinzhii ji' , shidinji' neekwaii nąįį neeghaii naa goodi' nihthan , ch'ihłak chan nishriits'ąįį heedyaa ts'ą' ch'izhii chan natł'ohts'ąįį heedyaa , jii łyaa gwik'it t'inihi'yaa gwizhrįh t'ihnyąą . ” yahnyąą .
40:20:022:0	Jesus ąįį ch'ahan vidinji' neekwaii nąįį t'ahnyąą , “ Jidii eenjit ch'oohkat , gaakhwandaii kwaa t'ohnyąą , jii chųų tyah zhit vaa khaiinjich'ashiheeghit dhakaii , ąįį shihihjyaa goo'aii , khan khwanjyaa lee t'oonchy'aa ? ” Gavahnyąą . “ Aahą' , khan gwik'it t'igwehee'yaa ! ” ginyąą .
40:20:023:0	“ Łahchy'aa gwik'it gweheelyaa t'ihnyąą , shichųų tyah ts'an chan chųų khwanjyaa gwizhrįh goo'aii gaa shishriits'ąįį ts'ą' shatł'ohts'ąįį haa juu heedyaa ąįį geenjit jyaa dihihjyaa sheegoo'aii kwaa t'ohnyąą , jii nijin oihdi' dohnyąą , ąįį Shiti' ch'adąį' hee juu zhat hahky'aa shrigwiinlik t'inchy'aa . ”
40:20:024:0	Jii ch'achaa ts'ą' ch'oondee haa deeginyąą ąįį vitsyaa 10 nąįį gwigwiitth'ak dąį' goots'ą' shoo gaadlit kwaa .
40:20:025:0	Ąįįts'ą' Jesus aanaii gavahnyąą ts'ą' khaihłan nagoovinlii ts'ą' t'agavahnyąą , “ Dzaa nahkat juu Vit'eegwijyąhchy'aa k'injigiighit kwaa nąįį jidii datthak eenjit kįh giilk'ii ts'ą' k'eedeegwagwaadhat , deegoo'ya' giindhan datthak gwik'it t'agoogah'in gaakhwandaii .
40:20:026:0	Gaa , nakhwan ąįį jyaa dahohchy'aa goo'aii kwaa geh'an , nakhwatee juu gwiintsii sheegoo'ai' nindhan ji' ch'izhii dinjii nąįį eenjit slave heenlyaa gwizhrįh goo'aii t'oonchy'aa .
40:20:027:0	Ąįįts'ą' nakhwatee ch'ihłee juu tr'ookit oihłi' nindhan ji' ch'izhii dinjii nąįį datthak eenjit nakhwa-slave heelyaa gwizhrįh goo'aii t'oonchy'aa .
40:20:004:1	Jesus , Dinjii Neekwaii Vandee Kwaa Nąįį Shrininlik
40:20:028:0	Ąįį gwik'it Gwidinji' veenjit slave tr'iheelyaa geenjit dzaa nankat neiinzhii kwaa t'oonchy'aa gaa dinjii nąįį eenjit gwitr'it t'agwahah'yaa ts'ą' dinjii lęįį nąįį veh'an neeheezhii geenjit giiyęhdaa tr'igwihee'aa t'inchy'aa . ”
40:20:029:0	Ąįįts'ą' Jesus ts'ą' ditsyaa nąįį haa Jericho kwaiik'it gwachoo gihłeegihiijyaa , gwiizhit dinjii lęįį łeeljil nąįį gootąįį geedaa .
40:20:030:0	Dinjii vandee kwaa , neekwaii nąįį tąįį gwinjik geeghaih gaadii , gwiizhit Jesus , goovehgoo hahkhaii gwigwiitth'ak ts'ą' gazhral , “ David vidinji' neeshraahchy'aa diinoiinyaa ! ” ginyąą .
40:20:031:0	Zhit juu Jesus haa adaa nąįį ch'ats'ą' t'agoogahnyąą ts'ą' deegohtsai' kwaa googahnyąą .
40:20:032:0	Jesus , ndaaniinzhii ts'ą' t'agavahnyąą , “ Aanaii , nakhweenjit deesho'yaa nohthan ? ”
40:20:033:0	“ K'eegwaadhat , gwarahaa'yaa geenjit diinantł'eegwiin'ąįį , ” giiyahnyąą .
40:20:034:0	Jesus neeshragaahchy'aa goovoonyąą ts'ą' gavandee aahtrat , gwagwahkhan gwagwah'in neegaadlit ts'ą' giitąįį haa'oo .
