40:9:001:1	Jesus , Dinjii Neehidik Kwaa Neehidik Niłtsąįį
40:9:010:0	Jesus , ditsyaa nąįį haa Matthew vizheh neech'a'aa gwiizhit dinjii tax eenjit laraa oonjii lęįį nąįį ts'ą' zhit gwa'an dinjii vatr'agwaanduu gwanlii googahnyąą nąįį datthak giits'ą' nihdiinjil ts'ą' giiyaaneech'a'aa .
40:9:011:0	Ts'ą' nijin Pharisee nąįį gwagwah'ya' dąį' Jesus vitsyaa nąįį jyaa dagahnyąą , “ Zhit nakhwageech'ǫąąhtan , jaghaii dinjii tax eenjit laraa oonjii nąįį ts'ą' dinjii vatr'agwaanduu gwanlii varahnyąą nąįį haa neech'a'aa t'ii'in ? ”
40:9:012:0	Gaa nijin Jesus gaviitth'ak dąį' t'agavahnyąą , “ Juu dinjii gwinzii gwandaii dinjii k'ahaanjii t'aahchy'aa kwaa t'oonchy'aa . Juu iłts'ik nąįį zhrįh .
40:9:003:1	Adach'ara'aa Kwaa Eenjit Ch'agoahkat
40:9:013:0	Shihłeekhwajyaa ts'ą' Dęhtły'aa Choh zhit nijin gwadanakhwatł'oo gwinkee gooh'in , ‘Ch'eet'igwiniindhan ąįį nihthan gaa nin ataiinjii tr'ahtsii ąįį nihthan kwaa t'oonchy'aa . ’ Dinjii nizįį nąįį eenjit dzaa gwats'ą' hoiizhii kwaa t'oonchy'aa gaa zhit juu vatr'agwaanduu gwanlii nąįį eenjit t'ishi'in . ”
40:9:014:0	Ąįįtł'ęę John , chųų gwats'an ąhtsii ąįį vitsyaa nąįį Jesus ts'ą' gahaajil ts'ą' giiyųąhkat , “ Diikhwan ts'ą' Pharisee nąįį haa khadigireheejyaa geenjit ch'ihłee adach'ara'aa kwaa , gwiizhit jaghaii nitsyaa nąįį jyaa t'igii'in kwaa ? ” giiyahnyąą .
40:9:015:0	Jesus t'agoovahnyąą , “ Dinjii , tr'injaa haa nihłeegoorahchįį dąį' juu goovaach'ihee'aa nąįį tr'igwidii t'igiheechy'aa goovohnyąą ? Duuyeh jyaa t'igiinchy'aa gaakhwandaii , dinjii goonjik gavaa dhidii gwizhit jyaa digihee'yaa kwaa goo'aii . ”
40:9:016:0	“ Dinjii ch'ihłak gaa duuyeh ch'adak ik k'eejit nilii kwaa kat gwach'aa k'eejit k'aahkaii t'oonchy'aa jyaa diizhik ji' zhit gwach'aa k'eełkaii ąįį natsal nahaadhal ts'ą' gwandaa łeeheech'aa t'inchy'aa .
40:9:004:1	Jairus Vigii Nich'it Tsal , ąįįts'ą' Tr'injaa Juu Jesus Vi'ik Kat Naanjik Nąįį Eegwagwaandak
40:9:017:0	Duuyeh gaa jak chų' k'eejit ąįį jak tyah ch'aa zhit tr'injyaa t'oonchy'aa jyaa t'igwiizhik ji' , jak tyah ch'aa łeeheech'aa ts'ą' jak chų' neheenjaa ts'ą' an heelyaa : gaa jak chų' k'eejit ąįį jak tyah k'eejit zhit reheenjaa gwizhrįh goo'aii . Nihłaa heezyaa ts'ą' niighyuk heekaa . ”
40:9:018:0	Jesus goots'ą' ginkhii gwiizhit , Jews tr'igiinkhii zheh gwats'ą' k'eedeegwaadhat yats'ą' haazhii ts'ą' yats'ą' nikiigwiintthaii ts'ą' t'iiyahnyąą , “ Shigii nich'it tsal t'ohju' zhat shaa niindhat , gaa shaa oo'an neehiindii ts'ą' vak'aa naanjii ąįį ji' vineegwahąhdaii geenjit . ” yahnyąą .
40:9:019:0	Ąįįts'ą' Jesus ndak needhikhin ts'ą' ditsyaa nąįį haa giiyaahaajil .
40:9:020:0	Tr'injaa ch'ihłak 12 years gahkhyuk dah vats'an an ilii haa khaiinjich'iighit , Jesus ant'ii niinzhii ts'ą' yach'adak ik tsii naanjik .
40:9:021:0	“ Vi'ik kat naaljik ji' gwizhrįh sheenjit gwinzii neegweheelyaa ! ” adaanyąą .
40:9:022:0	Jesus yats'ą' nil'ee ts'ą' yah'ya' , “ Naanjat kwaa shichi' , nigwik'iinjigwiighit neenjit gwinzii neegwiłtsąįį t'oonchy'aa ! ” yahnyąą . Gwagwahkhan ąįį tr'injaa veenjit gwinzii neegahoodlit .
40:9:023:0	Ts'ą' nijin Jesus , k'eedeegwaadhat vizheh k'idik dąį' , dinjii gwanlii ts'ą' flute ach'ahłii nąįį nah'in zhat dinjii diłk'ii nąįį datthak tr'igwigwidii haa gwiizųų gwigwił'ąįį gwąąh'in .
40:9:024:0	ts'ą' Jesus jyaa gavahnyąą , “ Datthak ts'ą' cheekhwajyaa yaagha' nich'it tsal niindhat kwaa ts'ą' zhyaa dhichįį t'inchy'aa ! ” Gavahnyąą akhai' datthak giiyeedlaa .
40:9:025:0	Gaa nijin dinjii nąįį cheehaadlii , gwagwahkhan Jesus nich'it tsal ts'ą' niinzhii ts'ą' yanli' oonjik ts'ą' khakee'ąįį ts'ą' needhikhin . ”
40:9:005:1	Jesus , Dinjii Neekwaii , Vandee Kwaa Nąįį Shrineiinlik .
40:9:026:0	Aiizhit zhat gwa'an nahkat datthak dinjii nąįį geenjit gwigwiitth'ak .
40:9:027:0	Jesus , zhat gihłeehoozhii ts'ą' k'ii'an tr'ineezhii gwiizhit dinjii vandee kwaa neekwaii nąįį giitąįį adaa ts'ą' gazhral haa jyaa ginyąą , “ King David ts'an deedhaa , neeshraahchy'aa diinoiinyaa ! ” giiyahnyąą .
40:9:028:0	Nijin Jesus zheh nihdeiinzhii dąį' dinjii vandee kwaa neekwaii nąįį giits'ą' niin'oo nąįį jyaa dahnyąą , “ Shrineenakhwahihłyaa nohthan lee t'akhwa'in ? ” “ Aahą' , K'eegwaadhat ! ” giiyahnyąą .
40:9:029:0	Ąįįtł'ęę Jesus gavandee kat naanjik ts'ą' t'agavahnyąą . “ Gwik'injukhit geh'an gwik'it gooli' ! ” nyąą ts'ą'
40:9:030:0	t'ee gwagwahkhan shrineegaazhik . Ąįįts'ą' Jesus gwint'aii goots'ą' khagiinkhee , dinjii ch'ihłak gaa haa goondak shrǫ' ! ” gavahnyąą .
40:9:006:1	Jesus , Dinjii Ginkhii Kwaa Shrininlik .
40:9:031:0	Googaa aiizhit nahkat gwa'an datthak giiyeeginkhii ts'ą' juu nąįį datthak Jesus eenjit gwigwiitth'ak .
40:9:032:0	Dinjii vizhit ch'anky'aa iizųų k'iighai' khyų' ginkhii , dinjii lat nąįį Jesus ts'ą' nigiiyahchįį , it'ee łyaa dinjii nąįį cheehiijyaa gwiizhit t'igiizhit .
40:9:033:0	Gaa zhat gwagwahkhan ch'anky'aa iizųų yats'an chahaadlii ts'ą' ąįį dinjii ginkhii needhidlit , ts'ą' juu nąįį datthak łyaa geegagoolii kwaa t'igwiizhik . “ Israel nahkat gwizhit jyaa doonchy'aa gwa'an ch'ihłok gaa gwaraah'in kwaa ! ” ginyąą .
40:9:007:1	Jesus , Dinjii Nąįį Eenjit Tr'igwidii Di'įį
40:9:034:0	Gaa Pharisee nąįį jyaa giiyahnyąą , “ Ch'anky'aa iizųų nąįį datthak ts'ą' k'eedeegwaadhat Beelzebul oaazhii ąįį vat'aii haa ch'anky'aa iizųų cheehilii t'ii'in , ” ginyąą .
40:9:035:0	Jesus , kwaiik'it gwachoo ts'ą' kwaiik'it gwatsal kwaii datthak gwitee neehihdik ts'ą' Jews tr'igiinkhii zheh gwizhit geech'ǫąąhtan ts'ą' Gwandak Nizįį , zhit Gwigwiniin'ee geegwaandak ts'ą' dinjii juu ts'ik nihłehjuk haa iłts'ik nąįį shrineiinlik .
40:9:036:0	Dinjii lęįį łeeljil nąįį nah'in dąį' , vidrii zhit gooveenjit tr'igwidii dha'aii naanaii , tr'ihkhit gooveenjit neeshreegaahchy'aa ts'aii idits'igiheenjyaa geenjit gaa goot'aii kwaa , divii nąįį , divii k'ąąhtii gii'įį kwaa k'it t'igiinchy'aa .
40:9:037:0	Ąįįts'ą' ditsyaa nąįį t'ahnyąą , “ Dinjii nąįį gwanzhįh tr'ąąhshii ts'ą' khaihłan nirilii k'it t'iginchy'aa , gaa dinjii yahahtsyaa lęįį ąįį kwaa .
40:9:038:0	Datthak ts'ą' Vit'eegwijyąhchy'aa gwanzhįh nahshii gwats'ą' k'eedeegwaadhat vats'a' khagadǫhjii ts'ą' dinjii lęįį nąįį gwanzhįh khaihłan nigiheelyaa geenjit gwats'ą' heelyaa geenjit . ”
