40:22:001:1	Geegwarahchįį Dąį' Ch'ara'aa Gwarahtsii Gwagwandak Haa Geech'ǫąąhtan .
40:22:018:0	Jesus ąįį giits'ą' gwiizųų t'igihee'yaa gwik'eegogwandaii goovaandaii ts'ą' t'inyąą , “ Gwik'injiighit adaa'įį nąįį ! Jaghaii gwiizųų t'ihihjyaa ji' geenjit , goodhaii nashahohthal gwik'eegǫhdaii ?
40:22:019:0	Ąįį laraa ghoo tsal ( silver ) noił'ya' ! ” Ąįįts'ą' laraa ghoo tsal giiyantł'eiin'ąįį ,
40:22:020:0	ts'ą' goovahkat , “ Juu vinin ts'ą' voozhri' haa vakat dha'aii ? ”
40:22:021:0	“ Caesar's reh , ” ginyąą . Ąįįts'ą' Jesus t'agoovahnyąą , “ Akwaa ji' Caesar jidii vats'an nilii haa vagohkwat ts'ą' Vit'eegwijyąhchy'aa jidii vats'an nilii haa vagohkwat . ”
40:22:003:1	Niriindhat Gwats'an Neegwiriindaii Eenjit Gach'agwaahkat .
40:22:022:0	Nijin jii gwigwiitth'ak dąį' , deegiheenjyaa gaa gaagiindaii kwaa , ts'ą' akhagiiyuunyąą ts'ą' giihłeehoojil .
40:22:023:0	Zhat drin Sadducee lat nąįį nineegwaalii kwaa ginyąą ts'ą' Jesus ts'ą' gahaajil ts'ą' giiyųąhkat .
40:22:024:0	“ Geech'ǫąąhtan , Moses jii Law diineenjit diyaantł'oo , dinjii niindhat gwiizhit vigii kwaa gaa va'at gwanlii ji' ąįį vachaa , doondee'at nooheendal ts'ą' tr'iinin gihee'yaa ąįį ch'oondee vigii k'it dink'igiihahthaa .
40:22:025:0	Ch'ihłan nihchaa 7 nąįį gwanlii ; ch'oondee ąįį tr'injaa oonjik ts'ą' vigii kwaa gwiizhit niindhat , dachaa nąįį ts'ą' da'at akhoonyąą .
40:22:026:0	Ąįįtł'ęę vachaa yats'ąįį ya'at noonjik , ts'ą' gwats'ąįį ch'achaa chan gwik'it t'iizhik , ndaagwąą'ąį' dąį' nihchaa 7 nąįį datthak neegiiyuunjik gaa googii kwaa ts'ą' nigiinjik .
40:22:027:0	Ąįįtł'ęę ąįį tr'injaa chan niindhat .
40:22:028:0	Nijin drin niindhat nąįį neegogwandaii neegahoodlit nigwiindhat ji' nihchaa 7 datthak neegiiyuunjik ts'ą' juu zhrįh va'at heelyaa t'inchy'aa , ” giiyahnyąą .
40:22:029:0	Gaa Jesus goodii ginkhii , “ Dęhtły'aa Choo zhit deegwinyąą akwat Vit'eegwijyąhchy'aa vat'aii jiintsii kwaii gaakhwandaii kwaa geh'an gwinzii dohnyąą kwaa t'oonchy'aa .
40:22:030:0	Nigiindhat gwats'an neegwigwiindaii nąįį izhit ji' zheekat Gwich'in k'it t'igiheechy'aa ts'ą' nihłagooheendal kwaa t'oonchy'aa .
40:22:031:0	ts'ą' Dęhtły'aa Choo kat nik'ee nigiindhat gwats'an neegwigwiindaii gwinyąą gooh'in ts'ą' Vit'eegwijyąhchy'aa jii jyaa nyąą ,
40:22:032:0	‘Shįį t'ee Abraham , Isaac ts'ą' Jacob haa Goovit'eegwijyąhchy'aa ihłii . ’ nyąą , niindhat nąįį eenjit Vit'eegwijyąhchy'aa nilii kwaa gaa gwandaii nąįį eenjit gwizhrįh Vit'eegwijyąhchy'aa nilii . ”
40:22:004:1	Moses Va-law Zhit Jidii Shrit Ch'andaa Jiintsii
40:22:033:0	Jesus łyaa gooveenjit geegwaroolii kwaa , geech'ǫąąhtan .
40:22:034:0	Nijin Jesus , Sadducee nąįį deegiheenjyaa gaagiindaii kwaa gooviłtsąįį dąį' , Pharisee nąįį gwigwiitth'ak ts'ą' datthak nihłaa khaihłak gaadlit ,
40:22:035:0	ts'ą' gootee ch'ihłak , Law geech'ǫąąhtan nilii ąįį goodhaii niyahahtthal geenjit yuahkat ,
40:22:036:0	“ Geech'ǫąąhtan , jidii Moses va-law zhrįh ch'andaa jiintsii t'oonchy'aa ? ” yahnyąą .
40:22:037:0	Jesus t'iiyahnyąą , “ ‘K'eegwaadhat Nivit'eegwijyąhchy'aa nidrii datthak , ts'ą' nizhin datthak , ts'ą' niyinji' datthak haa veet'ihiinghyaa goo'aii ! ’
40:22:038:0	Jii t'ee tr'ookit jyaa digwehee'yaa gwinyąą ąįį jiintsii nilii t'inchy'aa .
40:22:039:0	Gwats'ąįį chan vik'it t'iiyiinchy'aa , ‘Deegwahtł'oo ideet'iindhan googwahtł'oo ninee'ok dinjii nąįį datthak eet'ihiinghyaa goo'aii . ’
40:22:005:1	Messiah ( Christ ) , Eenjit Ch'agoahkat
40:22:040:0	Ąįį gwik'it Moses va-law datthak , ts'ą' Dęhtły'aa Choh zhit Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį jidii eech'agǫąąhtan datthak jii law neekwaii ts'an t'ee gwizhrįh gwit'eegaahchy'aa t'oonchy'aa . ”
40:22:041:0	Nijin Pharisee nąįį nihłaa nineegeejil dąį' Jesus gavaahkat ,
40:22:042:0	“ Christ eenjit deeyųųhthan ? Juu ts'an neezheeneedijii t'inchy'aa . ” yahnyąą . “ Yeenii King David vizhehk'aa gwats'an ahaa t'inchy'aa , ” giiyahnyąą .
40:22:043:0	Jesus gavahkat , “ Akwaa ji' jaghaii , Ch'anky'aa Shroodiinyąą zhit King David Shik'eegwaadhat yahnyąą ? ” Dęhtły'aa Choo zhit David jii jyaa nyąą ,
40:22:044:0	‘K'eegwaadhat ąįį Shik'eegwaadhat jyaa dahnyąą , dzaa shriits'ąįį sheeghaii dhindii , dahthee juu nits'į' t'inchy'aa nąįį nakwai' t'eh nihihłyaa gwats'ą' datthak . ’ yahnyąą .
40:22:045:0	King David , adan gaa Shik'eegwaadhat yahnyąą gwiizhit nats'ahts'ą' Christ ąįį yeenii David ts'an diheedhaa ? ” Jesus gavahnyąą .
40:22:046:0	Ch'ihłak gaa Jesus deegahaanjyaa gaagiindaii kwaa , ąįį zhit drin gwats'an giiyuuhaahkat gwits'į' adak'agaantii .
