41:10:001:1	Jesus Juu Da'at akwat Dakai' Akhoonyąą Nąįį Eenjit Geech'ǫąąhtan
41:10:022:0	Nijin ąįį dinjii jii gwiitth'ak dąį', vinin ch'ijuk t'iizhik ts'ą' łyaa valaraa gwanlii geh'an tr'igwidii haa gihłeehoozhii. 
41:10:023:0	Ąįįtł'ęę Jesus ditsyaa nąįį tee gwąąh'in ts'ą' jyaa gavahnyąą, “Deegwahtł'oo gwagwantrii li', dinjii valaraa gwanlii Vit'eegwijyąhchy'aa Veegwinii'ee nihdeeheehaa geenjit.” 
41:10:024:0	Vitsyaa nąįį łyaa geegwagoolii kwaa gooveenjit t'inyąą, gaa Jesus chan hee t'agoovahnyąą, “Shigii nąįį, Vit'eegwijyąhchy'aa Veegwinii'ee nihdeereheedaa geenjit łyaa gwagwantrii t'oonchy'aa! 
41:10:025:0	Camel ąįį tthah tsal tł'i'tsii gwinkee heekhaa, ąįį zhit ts'ąįį gwagwantrii kwaa gaa Vit'eegwijyąhchy'aa Veegwinii'ee izhit dinjii valaraa gwanlii nihdeeheehaa, ąįį ts'ąįį łyaa gwagwantrii t'oonchy'aa.” 
41:10:026:0	Jyaa nyąą dąį' vitsyaa nąįį gwandaa gooveenjit geegwagoolii kwaa t'iinyąą, ąįįts'ą' t'inihłagaanyąą, “Akwaa ji' juu dee neeheezhii?” ginyąą. 
41:10:027:0	Jesus goovah'in ts'ą' t'agoovahnyąą, “Jii nankat dinjii nąįį eenjit gach'agwadhan kwaa gaa Vit'eegwijyąhchy'aa ąįį jidii datthak veenjit gach'agwadhan t'oonchy'aa.” 
41:10:028:0	Ąįįtł'ęę, Peter khagiinkhee, “Dzaa gwąąh'in, diikhwan jidii datthak akharoonyąą ts'ą' naa tr'ahaajil ts'ą' nitsyaa tr'aadlit.” 
41:10:029:0	Jesus t'agavahnyąą, “Aahą', jii datthak geenjit nakhwaagwahaldak, juu dizheh, akwat dachaa akwat dijuu akwat diti' akwat dahan, akwat digii, akwat dagwanzhih dehk'it, kwaii datthak sheenjit, ąįįts'ą' Gwandak Nizįį eenjit datthak akhagoonyąą ji', 
41:10:030:0	juk drin gweedhaa gwizhit gwandaa neegooheendal t'oonchy'aa. 100 gwandaa t'ąąnchy'aa: zheh, dachaa, dijuu, dahan, digii, dagwanzhih dehk'it jii kwaii datthak gwandaa t'agwaanchy'aa neegooheendal ts'ą' chan gwintł'oo sheenjit khaiinjich'igiheeghit gaa ąįįtł'ęę yeendaa ji' gwandaii ndaanąą'ąį' kwaa hee'yaa. 
41:10:004:1	Jesus Juk T'ee Tik Gwagwaanchy'aa Niheedhaa Geeginkhii
41:10:031:0	Lęįį nąįį juk tr'ookit nilii ąįį nąįį t'ee ji' khaiinkǫǫ nineegoorahahchyaa gaa yeendaa ji' juu lęįį nąįį juk ji' khaiinkǫǫ dilk'ii nąįį tr'ookit nineegooraheelyaa t'oonchy'aa.” 
41:10:032:0	Jesus, ts'ą' ditsyaa nąįį haa taih kat k'iidak Jerusalem gwats'ą' geedaa gwiizhit, Jesus ditsyaa nąįį ts'ii ahaa, ąįįts'ą' vitsyaa nąįį nijuk gwats'ą' geedaa gaagiindaii geh'an gąąnjat, ts'ą' zhit juu gootąįį adaa nąįį chan gąąnjat. Jesus tąįį gwinjik geeghaih gwa'an ditsyaa 12 nąįį khaihłan niinlii ts'ą' chan hee deegiiheelyaa datthak gavaa gwaandak. 
41:10:033:0	Jesus t'agoovahnyąą, “Ch'oodǫǫhk'įį, yeedee Jerusalem gwats'ą' tr'iheedaa, izhit t'ee giinkhih kįh dilk'ii nąįį, ts'ą' Law eech'ǫąąhtan nąįį haa Gwidinji' gavantł'eehahchyaa. Tr'agwaanduu t'ii'in giihaanjyaa ts'ą' giiyęhdaa tr'igwihee'aa ts'ąįį gwinzii ts'ą' Jews nilii kwaa nąįį giiyęhdaa tr'igwiheedaa geenjit antł'eegiihahchyaa. 
41:10:005:1	James ts'ą' John Haa K'eegwiichy'aa Geenjit Giiyųąhkat
41:10:034:0	Izhit zhat giiyeeheedlaa, ts'ą' gik'aa gaa heezhree ts'ą' viitrii k'it t'inchy'aa haa giiyahahtrii ąįįtł'ęę giiyęhdaa tr'igwihee'aa. Gaa drin tik gwahaadhat tł'ęę neegweheendaii t'inchy'aa.” gavahnyąą. 
41:10:035:0	Ąįįtł'ęę, Zebedee vidinji' James ts'ą' John haa Jesus ts'ą' gahaa'oo ts'ą' t'igiiyahnyąą, “Geech'ǫąąhtan, k'eegwiichy'aa geenjit naroohkat gwiindhan.” ginyąą. 
41:10:036:0	“Nakhweenjit deesho'ya' shohnyąą?” Jesus gavahkat. 
41:10:037:0	ts'ą' t'iginyąą, “Nijin Neegwinii'ee Ch'eegwąhndit nihdeiinzhii ji' k'eedeegwaadhat yakat doodii kat doiindii gwiizhit nishriits'ąįį ts'ą' natł'ohts'ąįį haa tr'oodi'.” giiyahnyąą. 
41:10:038:0	Jesus, t'agavahnyąą, “Jidii geenjit ch'oohkat t'ohnyąą gaakhwandaii kwaa. Khaiinjich'ireheeghit gwichųų tyah ts'an chųų shihinjyaa khan akhwanjyaa lee t'oonchy'aa? Nats'ahts'ą' chųų shats'an tr'ahahtsyaa gwik'it khan chųų nakhwats'an tr'ahahtsyaa lee t'oonchy'aa?” 
41:10:039:0	“Khan gwik'it t'igwehee'yaa t'oonchy'aa.” giiyahnyąą.Jesus, jyaa gavahnyąą, “Łahchy'aa gwik'it gweheelyaa, jidii chųų tyah zhit chųų shihinjyaa nakhwan chan khahoonjyaa gwizhrįh goo'aii. Ąįįts'ą' chan nats'ahts'ą' khaiinjich'ireheeghit chųų shats'an tr'iłtsąįį gwik'it nakhwan chan chųų nakhwats'an tr'ahahtsyaa t'oonchy'aa. 
41:10:040:0	Gaa shishriits'ąįį ts'ą' shatł'ohts'ąįį haa hohdyaa ąįį nakhwantł'eegwihih'aa eenjit gwik'it sheegoo'aii kwaa. Jii t'ee Vit'eegwijyąhchy'aa thok dinjii vats'an heelyaa neekwaii eenjit ch'adąį' hee gwiłtsąįį, ąįį Vit'eegwijyąhchy'aa adan zhrįh gavantł'eegwehee'aa goo'aii t'oonchy'aa.” 
41:10:041:0	Nijin vitsyaa 10 nąįį gwigwiitth'ak dąį', James ts'ą' John haa ts'ą' zhigaants'įį. 
41:10:042:0	Ąįįts'ą' Jesus dats'a' nagoovinlii ts'ą' jyaa gavahnyąą, “Zhit juu gwik'injiighit kwaa nąįį t'ee goots'ą' k'eedeegwagwaadhat ts'ą' juu goots'ą' k'eedeegwaadhat nilii t'ee shruk haa goots'ą' k'eedeegwaadhat gaakhwandaii. 
41:10:043:0	Jii jyąhts'ą' t'igii'in, ąįį nakhwan t'ee jyaa dakhwa'yaa kwaa t'oonchy'aa, nakhwatee ch'ihłee khaihkwaii oihłi' yindhan ji', nijin geenjit khaihkwaii nilii geenjit slave heelyaa gwizhrįh goo'aii. 
41:10:044:0	Ąįįts'ą' nakhwatee ch'ihłee, adan tr'ookit oihłi' yindhan ji' gooveenjit datthak slave khohłyaa gwizhrįh goo'aii. 
41:10:006:1	Jesus, Dinjii Bartimaeus Vandee Kwaa Ąįį Gwąąh'in Niłtsąįį
41:10:045:0	Gwidinji' gaa dinjii nąįį yeenjit slave heelyaa geenjit dzaa nankat gwats'ą' haazhii kwaa. Gooveenjit gwitr'it t'agwahaah'yaa ts'ą' dinjii lęįį nąįį neeheezhii geenjit giihaahkhwaa.” goovahnyąą. 
41:10:046:0	Jericho kwaiik'it gwachoo k'eegiidal ts'ą' Jesus, ditsyaa ts'ą' dinjii lęįį nąįį łeeljil haa gihłeehidii, gwiizhit dinjii vandee kwaa Timaeus vidinji', Bartimaeus oozhii laraa eenjit ch'oodiikwat nilii, tąįį gwinjik geeghaih dhidii. 
41:10:047:0	Nijin Jesus, Nazareth gwats'an t'ii'in gwiitth'ak dąį', azhral, “Jesus, yeenii David vidinji', neeshraahchy'aa shǫįįnyąą!” nyąą. 
41:10:048:0	Dinjii lęįį nąįį shruk haa “Deegwahtsai' kwaa!” giiyahnyąą. Gaa nihk'it gwint'aii azhral ts'ą' jyaa nyąą, “David vidinji' neeshraahchy'aa shǫįįnyąą!” 
41:10:049:0	Jesus, ndaaniinzhii ts'ą' jyaa nyąą, “Aanaii vohnyąą.” goovahnyąą. Ąįįts'ą' dinjii vandee kwaa aanaii agahnyąą ts'ą', “Ndak ninkhaii ts'ą' shoo iinlii, aanaii nahnyąą t'inchy'aa.” giiyahnyąą. 
41:10:050:0	Dach'adak ik neetr'aanąįį tł'ęę ndak niltłee ts'ą' Jesus ts'ą' haazhii. 
41:10:051:0	“Neenjit deesho'ya' shǫįįnyąą?” Jesus, yahnyąą “Geech'ǫąąhtan, chan hee gwał'in neeshooli' nihthan.” yahnyąą. 
41:10:052:0	“Oo'an neehindii, nigwik'iinjigwiighit neenjit gwinzii neegwiłtsąįį t'oonchy'aa.” Jesus yahnyąą. Gwagwahkhan gwąąh'in neekhwadlit ts'ą' tąįį gwinjik Jesus tąįį haazhii.
