41:14:001:1	Jesus Giiyęhdaa Tr'igwihee'aa Gwik'eegwagwandaii
41:14:059:0	Jyaa ginyąą, googaa nihk'it geedan gaa googwandak nihk'it t'iichy'aa kwaa googwagwah'ąįį. 
41:14:060:0	Ndak khii giinkhih choh ndak nigiilzhii ts'ą' Jesus goots'ą' nadhat gwiizhit giiyųąhkat, “Jaghaii jii dinjii nąįį gwiizųų neegigiinkhii gwiizhit goodii ginkhii kwaa?” yahnyąą. 
41:14:061:0	Gaa nihk'it Jesus hahchįį kwaa ts'ą' goodii ginkhii kwaa. Ąįįtł'ęę googaa zhit ndak khii giinkhih choh jyaa neeyaanyąą, “Nan lee Christ inlii, Vit'eegwijyąhchy'aa gwintł'oo deerihił'e' Vidinji' inlii lee t'inchy'aa.” yahnyąą. 
41:14:062:0	“Shįį t'ee adan ihłii, Gwidinji' t'ee Vit'eegwijyąhchy'aa datthak geenjit t'aih di'įį vishriits'ąįį dhidii khoh'yaa, k'iidąą zheekat gwats'an zheek'ǫh tee neeheedyaa khooh'yaa t'inchy'aa.” Jesus gavahnyąą. 
41:14:063:0	Ndak khii giinkhih choo vik'įį gwanlii haa dagwach'aa adak'ach'iłch'aa, ts'ą' jyaa nyąą. “Dinjii nąįį nats'ąą tr'agwaanduu t'ii'in yaandaii giiyeeginkhii gwit'eegwaahchy'aa kwaa! 
41:14:064:0	Vit'eegwijyąhchy'aa vinehts'į' ginkhii dohtth'ak? Datthak ts'ą' geenjit deehohjyaa?” nyąą. Zhat dilk'ii nąįį datthak vęhdaa tr'agwaroo'aa giiyahnyąą. 
41:14:010:1	Peter, Jesus Vaashandaii Kwaa Nyąą
41:14:065:0	Goolat nąįį Jesus k'ąą gihizhree ts'ą' giiyindee tł'an dich'iłchaa ąįįtł'ęę giiyahgwat ts'ą' t'igiiyahnyąą, “Juu neełgwat diihaa gwandak!” giiyahnyąą, gwiizhit niveet'ah'in nąįį giiyuaahjik ts'ą' giiyaant'an. 
41:14:066:0	Peter, chiitąįį tthał niin'ee zhit tth'aii hee dhidii, nijin tr'injaa ndak khii giinkhih choo eenjit gwitr'it t'agwah'in zhat yehgoo hahkhaii dąį', 
41:14:067:0	ąįį tr'injaa, Peter kǫ' ts'ą' needaaghwaii nah'in dąį' gwinzii yąąh'in ts'ą' t'iiyahnyąą, “Nan chan Jesus, Nazareth gwats'an ahaa vaa inlii.” yahnyąą. 
41:14:068:0	Gaa Peter nakwaa yahnyąą, “Deiinyąą t'iinyąą gaashandaii kwaa, jidii eeginkhii t'iinyąą naashandaii kwaa,” yahnyąą. Ts'ą' chigweedii k'ii'an cheehoozhii, gwiizhit łąą rooster hahchik. 
41:14:069:0	Ąįį tr'injaa Giinkhih Choo eenjit gwitr'it t'agwah'in nilii izhit yąąh'in ts'ą' dinjii zhat gwa'an neelzhii nąįį t'ahnyąą, “Jii dinjii adan t'ee ch'ihłee nilii t'inchy'aa.” 
41:14:070:0	Gaa Peter chan hee gaashandaii kwaa nyąą, ąįįtł'ęę niighit kwaa chan hee ch'izhii dinjii nąįį jyaa giiyahnyąą, “Nan t'ee Galilee gwats'an inkhaa geh'an goovaa ihłii kwaa diinyąą t'oonchy'aa!” yahnyąą. 
41:14:071:0	“Łi'deegwidlii haagwaldak kwaa ji', Vit'eegwijyąhchy'aa shagohshii! Łi'deegwidlii haa nakhwaa gwaldak t'inyąą! Ąįį dinjii veegohkhii vaashandaii kwaa t'ohnyąą.” Peter t'agoovahnyąą. 
41:14:072:0	Jyaa nyąą gwiizhit Rooster neekwat gwitee gwąąnchy'aa hahchik. Nijin rooster diitth'ak dąį' Jesus deeyaiinyą' chy'aa ganaanjik, rooster neekwat hahchik gwehkįį tik gwagwaanchy'aa naashandaii kwaa, shakhaiinjyaa t'oonchy'aa, Jesus yaiinyą' ganaanjik, ts'ą' neetreeyahchįį.
