41:11:001:1	Jerusalem Gwich'in Nąįį Shoo Haa Jesus Kat Gahaajil
41:11:002:1	Jesus, Jak Fig Dachan Nats'an Neech'irehee'aa Kwaa Ahnyąą.
41:11:011:0	Nijin Jesus Jerusalem kwaiik'it gwachoo nihdeiinzhii dąį' Kharigidiinjii Zheh nihdeiinzhii, ts'ą' gwizhit datthak gwąąh'in, Gaa ch'adąį' hee drin tł'an gehtł'ee goodhat geh'an, Bethany kwaiik'it gwats'ą' ditsyaa 12 nąįį haa gwits'eehoozhii. 
41:11:012:0	Gęhdaa drin gwandaa, Bethany gwats'an neegeedaa gwiizhit Jesus vizhit gwiłts'ik, 
41:11:013:0	ts'ą' niighit gwats'an Fig dachan vakat ch'at'an gwanlii neeł'in ąįįts'ą' yats'ą' haazhii vakat Figs shrǫǫ yuunyąą eenjit, gaa yakat ch'at'an zhrįh agwąh'ąįį, tth'aii hee Figs hahshii nagwaaghyii kwaa geh'an. 
41:11:003:1	Jesus, Kharigidiinjii Zheh gwats'ą' Haazhii
41:11:014:0	Jesus, Fig dachan ts'ą' khaginkhee, “Chan ch'ihłok gaa nats'an Figs neerahee'aa kwaa t'oonchy'aa!” ąįį jyaa nyąą vitsyaa nąįį giiyiitth'ak. 
41:11:015:0	Nijin Jerusalem k'eegiidal dąį' Jesus, juu vaa adaa nąįį haa Kharigidiinjii Zheh nihdeiinzhii ts'ą' juu ch'ookwat nąįį ts'ą' zhit vach'arookwat nąįį datthak Kharigidiinjii Zheh gwats'an cheehaanzhit. Ch'adanh nahkat gwalaraa ookwat nąįį vakaii'aa khatąąnahjil, ts'ą' chan vakat daraadii ts'ą' chiitsal pigeons ąįį vizhit dilk'ii kwaii gavarahookwat nilii kwaii datthak khatąąnahjil. 
41:11:016:0	Ts'ą' ch'ihłee gaa Kharigidiinjii Zheh gwizhit k'eiich'ii nihdeegiheelyaa goots'ą' t'agwahthan kwaa. 
41:11:017:0	Ąįįtł'ęę dinjii nąįį gwąąhtan, ts'ą' jyaa nyąą, “Jii t'ee Dęhtły'aa Choh kat dagwanakhwatł'oo ts'ą' Vit'eegwijyąhchy'aa jyaa nyąą, ‘Shizheh t'ee jii nankat dinjii nihłehjuk t'iichy'aa nąįį datthak eenjit khadigireheejyaa zheh gwarahaanjyaa t'oonchy'aa.’ Gaa nakhwan ąįį juu ch'an'įį nąįį gwizhit geegoh'ik ch'agahaan'yaa ąįį geenjit zheh nagoo'aii.” 
41:11:018:0	Jii giinkhih kįh dilk'ii ts'ą' Law eech'ǫąąhtan nąįį haa nijin deezhik giiyeegwiitth'ak dąį', gwagwahkhan giiyęhdaa tr'igwihee'yaa giiyeenjit gwankagantii. Gaa dinjii lęįį łeeljil nąįį datthak geegwaroolii kwaa gooveenjit geech'oorahtan geh'an Jesus agąąnjat. 
41:11:004:1	Fig Dachan, Gwandak Haa Geech'ǫąąhtan
41:11:019:0	Zhat khaa nagwaanąįį dąį', Jesus ts'ą' ditsyaa nąįį haa kwaiik'it gwachoo gihłeegahoojil. 
41:11:020:0	Gęhdaa vanh dąį' hee tąįį gwinjik geedaa gwiizhit ts'iivii vakat Figs nahshii gah'in ąįį dachan vaghat gwats'ą' datthak dahkyaa łee gwagwah'in. 
41:11:021:0	Peter ąįį gwehkįį dąį' deegwiizhik ganaandaii ts'ą' Jesus, t'ahnyąą, “Geech'ǫąąhtan, dzaa gwąąh'in, yagha' Fig dachan chan ch'ihłok gaa vakat neegwahaanzhii kwaa vaiinyąą chy'aa chan an dhidlit łee!” 
41:11:022:0	Jesus ąįį jyaa goovahnyąą, “Vit'eegwijyąhchy'aa deehee'yaa datthak gwik'it t'ihee'yaa vik'injuhkhit. 
41:11:023:0	Łyaa nakhwaagwahaldak, juu nijin ch'ihłee didrii zhit gwik'injihkhit ts'ą' jii ddhah ndak ninkhaii ts'ą' chųų choh zhit oodaa hinkhaii vaihnyąą ji' gwik'injiighit geh'an gwik'it t'igweheenjyaa ts'ą' gwik'it gwehee'yaa t'oonchy'aa. 
41:11:024:0	Jii geenjit nakhwaagwaldak t'ihnyąą, nijin khagadǫhjii dąį' gwik'injigwiighit haa k'eegwiichy'aa eenjit ch'oohkat ji' nakhwantł'eegwirehee'aa gwik'injohkhit ji' jidii ach'oohkat datthak nakhwantł'eegwireheelyaa t'oonchy'aa. 
41:11:025:0	Ąįįts'ą' nijin, ndak nohthat haa khagadǫhjii dąį' nakhwanee'ok dinjii ch'ihłee haa nakhwaa gwit'igwiin'ee ji' datthak geenjit oo'an gwahohłii, jyąhts'ą' gwik'iighai' Zheekat Nakhwati' nakhwatr'agwaanduu datthak nakhweenjit oo'an gweheelyaa t'oonchy'aa. 
41:11:005:1	Jesus, Jidii T'aih Haa T'ii'in Giiyųąhkat
41:11:026:0	Gaa nakhwanee'ok dinjii nąįį nakhwats'ą' tr'agwaanduu t'ii'in gooveenjit oo'an gwahoolii kwaa ji', Zheekat Nakhwati' chan duuyeh nakhwatr'agwaanduu nakhweenjit oo'an gwihihlii t'inchy'aa.” 
41:11:027:0	Chan hee Jerusalem k'ineegiidal. Ąįįtł'ęę Jesus Kharigidiinjii Zheh nihdeiinzhii ts'ą' zhit gwa'an neehidik gwiizhit, giinkhih kįh dilk'ii nąįį, ts'ą' Law eech'ǫąąhtan nąįį, ts'ą' Israel kįh dilk'ii nąįį haa Jesus ts'ą' nigiinjil. 
41:11:028:0	Ąįįts'ą' giiyųąhkat, “Jii jyaa deeni'yaa geenjit juu t'aih nantł'eiin'ąįį t'ini'in?” giiyahnyąą. 
41:11:029:0	Jesus t'agoovahnyąą, “Jii ch'ihłak eenjit nakhwahałkat, ąįį deihnyąą t'ihnyąą shaagoondak ji' juu vats'an t'aih haa t'ishi'in nakhwaagwahaldak. 
41:11:030:0	Jii shaagoondak, nijin gwats'an John t'aih oonjik t'ii'in chųų gwats'an hahtsyaa geenjit. Vit'eegwijyąhchy'aa vats'an akwat dzaa nankat dinjii nąįį ts'an?” 
41:11:031:0	Deegiheenjyaa li' geenjit nihzheedagąąn'ee, “Vit'eegwijyąhchy'aa vats'an gwinyąą ji' chan jaghaii John vik'injuhkhit kwaa? Diinahąąnjyaa t'inchy'aa.” ginyąą. 
41:11:032:0	Gaa jii nankat dinjii nąįį ts'an gwinyąą ji'…” (Zhat dinjii nąįį datthak John, Vit'eegwijyąhchy'aa Eenjit Ginkhii t'inchy'aa ginyąą ts'ą' gwik'injigiighit geh'an. Zhat dinjii nąįį agąąnjat.). 
41:11:033:0	Ąįįts'ą' Jesus “Gaagwiindaii kwaa.” agahnyąą. Ąįįtł'ęę Jesus t'agoovahnyąą, “Shant'ee jii t'aih haa gwitr'it t'agwał'in, nijin gwats'an t'ishi'in nakhwaagwahaaldak kwaa t'oonchy'aa.”
