41:4:001:1	Jii Jesus Vagwandak T'ee Dinjii Gwahąąhshįį Eenjit Gwanzhįh Gwit'eiinlii
41:4:012:0	Jii Dęhtły'aa Choh zhit deegwinyąą ąįį gwik'it t'igweheenjyaa geenjit jii jyaa nyąą,“Gwinzii googwąąh'in gaa gwinzii goovaa gweheechy'aa kwaa ts'ą' chan gwinzii ch'agoołk'įį gaa deegwinyąą t'igwinyąą gaagiindaii kwaa, jii kwaii datthak gaagiindaii ji', Vit'eegwijyąhchy'aa ts'ą' łihts'eedagahaa'ee ąįįts'ą' t'ee gootr'agwaanduu datthak gooveenjit oo'an gweheelyaa t'inchy'aa,” gavahnyąą. 
41:4:013:0	Ąįįtł'ęę Jesus, goovaahkat, “Jii gwandak ałtsii haa geech'ǫąąłtan deegwinyąą t'igwinyąą gaakhwandaii? Nakwaa, ji' nats'ahts'ą' gwandak ałtsii eegwaldak kwaii deihnyąą t'ihnyąą gaahahkhwandaii? 
41:4:014:0	Zhit juu, dinjii gwanzhįh nahshii, ąįįt'ee Vit'eegwijyąhchy'aa Viginjik, Gwandak Nizįį nilii t'inchy'aa. 
41:4:015:0	Dinjii lat nąįį gwanzhįh tąįį gwinjik gwa'an niłshįį k'it t'igiinchy'aa, Vit'eegwijyąhchy'aa Viginjik giitth'ak gwagwahkhan Satan zhat goots'ą' khakhat ts'ą' goots'į' yuundak. 
41:4:016:0	Ch'izhii dinjii nąįį, gwanzhįh kii tee gwa'an niinjil k'it t'igiinchy'aa, Vit'eegwijyąhchy'aa Viginjik giitth'ak gwagwahkhan geenjit łyaa shoo ginlii, 
41:4:017:0	gaa gwint'aii Vit'eegwijyąhchy'aa Viginjik goontą' kwaa, ąįįts'ą' googwik'injigwiighit geh'an goovaagogwantrii ts'ą' khaiinjich'igiighit dąį' niighit kwaa gwats'ą' gwizhrįh gwagoontą' ts'ą' akhagagoonjik. 
41:4:018:0	Ch'izhii dinjii nąįį gwanzhįh khoh tee niinjil k'it t'igiinchy'aa. Jii nąįį t'ee Vit'eegwijyąhchy'aa Viginjik giitth'ak, 
41:4:019:0	gaa dzaa nankat nats'ąą gwigweheendaii geenjit gwizhrįh ninjich'agadhat ts'ą' laraa chan gihił'ee ts'ą' geedan deegoo'ya' giindhan gwizhrįh gwik'it t'igii'in ts'ą' Vit'eegwijyąhchy'aa eenjit gwitr'it t'agwagwah'in kwaa, ts'ą' gwanzhįh vakat gwąąhshii kwaa k'it t'igiinchy'aa. 
41:4:004:1	Khwaiidaak'a' Aadrii Ch'ityah T'eh Nigiin'ąįį
41:4:020:0	Gaa ch'izhii dinjii nąįį, gwanzhįh łųh nizįį kat niinjil t'ee, Vit'eegwijyąhchy'aa Viginjik, gwiinzii giitth'ak ts'ą' digidrii zhit giiyųųntą' Vit'eegwijyąhchy'aa k'eegwagwahthat geh'an goohaa nahshii gwintł'oo yahtsik. Valat 30, valat 60 ąįįts'ą' valat 100 jii jyaa daanchy'aa yahtsik.” 
41:4:021:0	Jesus, tth'aii hee goots'ą' ginkhii ts'ą' jyaa nyąą, “Dinjii ch'ihłee khan aadrii daak'a' ąįį tyah tł'oo haa iltsąįį t'eh akwat dehk'it gwit'eh nihee'aa lee t'oonchy'aa? Vats'anh ch'ahaadrii kwaa geenjit. Nakwaa! Vats'anh ch'ahaadrii geenjit aadrii daak'a' vakat doo'aii kat deeyahee'aa t'oonchy'aa. 
41:4:022:0	Jidii nagwarah'įį ts'ą' geegoh'it goodlii kwaii datthak aadrii zhit gwizhrįh nigweheedaa t'oonchy'aa. 
41:4:023:0	Ch'oodǫǫhk'įį, nakhwadzee gwanlii ji'!” 
41:4:024:0	Ąįįtł'ęę chan hee jyaa goovahnyąą; “Jidii dohtth'ak geenjit tseenjyaa ch'oodǫǫhk'įį! Nats'ahts'ą' ch'izhii dinjii nakhweenjit dinjii nilii ąįį gwik'it Vit'eegwijyąhchy'aa, jyąhts'ą' dinjii ǫhłįį nakhwahaanjyaa ts'ą' gwandaa gwiizųų gwak'oonakhwahahchy'aa t'inchy'aa. 
41:4:005:1	Gwanzhįh Tr'ąąhshii Gwagwandak
41:4:025:0	Zhit juu jidii gwii'įį, ąįį gwandaa vantł'ee neegwireheelyaa ąįįts'ą' juu vaach'akwaa, akwat, jidii tsal zhrįh gwii'įį ji' gaa, vits'į' neerahoondal t'inchy'aa.” 
41:4:026:0	Jesus, tth'aii hee ginkhii ts'ą' jyaa goovahnyąą, “Vit'eegwijyąhchy'aa Veegwinii'ee, jii k'it t'oonchy'aa. Dinjii ch'ihłak dagwanzhih, gwanzhįh deek'it gwit'eiinlii. 
41:4:027:0	Ąįįts'ą' tǫǫ gwitee gwagwaanchy'aa dhichįį, ąįįts'ą' vanh dąį' hee khakii'ak, ts'ą' drin datthak deehee'yaa goo'aii datthak gwik'it t'ii'in, gwiizhit vagwanzhih datthak haahshii ts'ą' nahshii, gaa nats'ahts'ą' nahshii t'ii'in yaandaii kwaa. 
41:4:028:0	Nankat łųh t'ee gwanzhįh nahshii ąhtsii ąįį t'ee gwanzhįh gwinzii vakat datthak nahshii. Gwanzhįh nahshii dąį', vatthoochan tr'ookit agwaakit, ąįį gwats'an t'ee vikiitth'an k'it t'inchy'aa vakat nadal ąįįtł'ęę t'ee vakat datthak lęįį ilik. 
41:4:006:1	Ch'andih Tsal Mustard Oozhii, Gwagwandak
41:4:029:0	Nijin gwanzhįh kharaheelyaa eenjit gwinzii nagwaadhat dąį', zhit dinjii, jidii vaa gwanzhįh kharaht'ii haa khayaht'ii, it'ee gwanzhįh kharaheelyaa nigwiindhat geh'an.” 
41:4:030:0	Jesus ch'oahkat, “Vit'eegwijyąhchy'aa Veegwinii'ee jidii k'it t'oonchy'aa t'agwarahnyąą gweheenjyaa? Jidii gwandak tr'ahtsii haa geegwarahaandak li'? 
41:4:031:0	Jii k'it t'oonchy'aa, “Dinjii ąįį mustard seed tsal oonjik ts'ą' nijin nankat gwit'eh yiin'ąįį (mustard seed ąįį ch'andaa t'ahtsal nilii), 
41:4:032:0	Ąįįtł'ęę nahshii dąį', gwanzhįh vach'ahtsii kwaa dhidlit. It'ee shrit vatthoochan nitsii dhidlit ts'ąįį dziitsal nąįį giikat t'oh ąhtsii.” 
41:4:033:0	Jesus, jii k'it t'inchy'aa haa gwandak ąhtsii haa dinjii nąįį Vagwandak Nizįį ts'ą' geech'ǫąąhtan, deegwahtł'oo gaagweheendaii gwagwahtł'oo gwizhrįh goots'ą' ginkhii. 
41:4:007:1	Jesus Ahtr'aii Choh Neet'aanąįį
41:4:034:0	Dinjii gwanlii tee gwa'an gwandak ąhtsii haa zhrįh geech'ǫąąhtan, gaa nijin ditsyaa nąįį haa tthan dhidii dąį' gwandak ąhtsii zhit deenyąą t'inyąą gavaa gwaandak. 
41:4:035:0	Zhat drin khaa nigwiindhat dąį', Jesus ditsyaa nąįį t'ahnyąą, “Oonjik van ndųhts'ąįį gwats'ą' tr'ahoojyaa.” 
41:4:036:0	Ts'ą' dinjii lęįį tr'ihchoo eeghaii łagaajil nąįį ihłeegahoojil, Jesus dahaa gihiłchįį. Ts'ą' ch'izhii dinjii nąįį tr'ihchoh kwaii goiinjik ts'ą' goovaa gahaajil. 
41:4:037:0	Ts'ą' khan hee gwint'aii teiintr'aii nagwaanąįį, gwiizhit chųų lęįį tr'ihchoh zhit t'iinjii, tr'ihchoh zhit tit choh kwaii haa chųų deedąą'ąį' gwilii. 
41:4:038:0	Gaa jyaa digwii'in gwiizhit, Jesus, tr'ihchoh tł'i' zhit, tsuh kat diki' dił'aii ts'ą' gwinzii dhichįį. Ts'ą' vitsyaa nąįį khakigiiyiin'ąįį ts'ą' t'igiiyahnyąą. “Geech'ǫąąhtan, it'ee tr'ahahchyaa nagwaanąįį nik'ee diineenjit tr'igwiindii?” 
41:4:039:0	Ts'ą' Jesus khakee'ąįį ts'ą' ahtr'aii choo niint'aii ts'ą' van kat tit ginjik niint'aii haa goots'ą' khaginkhee, “Ahtr'aii, khaihłan jyaa dohchy'aa! Tit choh kwaii, tsinehdan gooli'!” nyąą gwiizhit ahtr'aii nint'aii neet'aanąįį ts'ą' datthak tsinehdan nagwaanąįį. 
41:4:040:0	Ąįįtł'ęę Jesus ditsyaa nąįį t'ahnyąą, “Nakhwagwik'injigwiighit kwaa geh'an noojat t'akhwa'in?” 
41:4:041:0	Ts'ą' gwintł'oo gwihil'ee t'iizhik ts'ą' gihilghaa haa jyaa dinihłagaanyąą, “Jii juu dinjii t'inchy'aa? Ahtr'aii choh, ts'ą' tit choh kwaii gaa giik'eegwahthat!”
