5:12:001:1	T'ááłáhígi t'éiyá nahadlá bá haz'ą́
5:12:012:0	Áko Bóhólníihii nihiDiyin God binááł nihił nidahoozhǫǫh doo ; nihí áádóó nihiye'ké áádóó nihitsi'ké áádóó diné nihá nidaal'a'í áádóó asdzání nihá nidaal'a'í índa Líívai dine'é nihitahgi kééhat'ínígíí éí nihíí' dadooleełii doo bił ałts'ą́ą́' da'nołk'iiz daígíí ałdó' bił nihił nidahoozhǫǫh doo .
5:12:013:0	Ádaa ádahołyą́ągo t'ááká didlidgo nááhániihii t'áá áhoodzaagi náádahołniih lágo .
5:12:014:0	Nidi nihitahgi t'ááłá'í dine'é dah yikahígíí biníi'gi Bóhólníihii náhodii'ánígi ákwii t'éiyá didlidgo náádahaniihii náádahołniih doo , índa nihich'į' bee haasdzí'ígíí áadi t'áá ałtso bida'íínóhsin doo .
5:12:015:0	Ákondi t'áá danihiníghanígi aałk'ee áńdahooł'įįhgo da'ołghał , danohsinii éí Bóhólníihii nihiDiyin God nihik'ijidlíigo nihaidii'aahígíí bik'ehgo doo bi'didéehii , doodaii' bi'didéehii danohłíinii éí jádí bitsį' , doodaii' bįįh bitsį' daohsą́ą doo .
5:12:016:0	T'áá hazhó'ó bidił t'éí t'áadoo daohsání , łeeshtahjį' tó yaadzi'ígi át'éego łeeshtahjį' yadahoosíid doo .
5:12:017:0	Danihiníghangóó díí t'áadoo daohsání : éí tł'oh naadą́ą́' neeznáá daníjoolgo t'ááłá'ígo shijoolii , éí Bóhólníihii baa nídahidoh'aahii , doodaii' wáin ániidíii , doodaii' áliv tsin naazkaadii bineest'ą' bik'ah neeznáá daníką́ągo t'ááłá'í sikánígíí , éí Bóhólníihii baa nídahidoh'aahii , doodaii' nihilį́į́' áádóó nihidibé alą́ąjį' nidahaazhchíinii náádahołniihii , doodaii' t'áá ha'át'íhída bee ádee hadasoohdzíi'ii bee náádaho łniihii , doodaii' t'áá nihí ádeinohsingo náádahołniihii , doodaii' bił dah ní'diilnihgo náádahołniihii ,
5:12:018:0	nidi Bóhólníihii nihiDiyin God hólǫ́ǫgi Bóhólníihii nihiDiyin God náhodidoo'áłígi ákwii daohsą́ą doo ; ni áádóó niye' áádóó nitsi' áádóó diné ná naal'a'í áádóó asdzání ná naal'a'í índa Líívai dine'é nilíinii t'áá nighangi nił yah e'etiingóó nił kééhat'íinii Bóhólníihii nihiDiyin God hólǫ́ǫgi baa nidaahkaígíí t'áá ałtso baa nihił nidahoozhǫǫh doo .
5:12:019:0	Ádaa ádahołyą́ągo t'ááká Líívai dine'é yóó'adadooh'ááł lágo , yidiiską́ą́góó nahasdzáán bikáa'gi ákót'éego dahinohnáa doo .
5:12:020:0	Áko Bóhólníihii nihiDiyin God éí kéyah hótsaago nihá yínéidoozohgo , jó , ákót'éego yee niha'di'ní'ą́ , áádóó ádadidoohniił , Adeeshghał , háálá atsį' bídin danohłį́ , áko t'áá deeshghał danohsinígíí daołghał doo .
5:12:021:0	Bóhólníihii nihiDiyin God náhodidoo'áłígi ákwii Bóhólníihii bízhi' dólzingo íidoolíłígóó nihá nízaad ládą́ą́' , t'áá nihí nihibéégashii , doodaii' nihidibé hólǫ́ǫgo aałk'ee ádahwíínóhsin doo biniyé Bóhólníihii nihaidiní'ánígíí t'áá éí bee nihá hoséł'ą́ , áko t'áá danihiníghanígi , T'áá deeshį́į́ł , danohsinígíí daołghał doo .
5:12:022:0	Jádí bitsį' , doodaii' bįįh bitsį' daołghałígi át'éego béégashii , doodaii' dibé bitsį' daołghałgo yá'át'ééh ; doo bi'didéehii , doodaii' bi'didéehii danohłíinii éí atsį'ígíí daoł ghałgo yá'át'ééh .
5:12:023:0	T'áá hazhó'ó diłígíí t'éí t'ááká daohsą́ą́' lágo , háálá dił éí iiná át'é , áko iiná éí atsį' t'áá bił doo daohsą́ą́' át'ée da .
5:12:024:0	Dił t'éí t'ááká daohsą́ą́' lágo , łeeshtahjį' tó yaadzídígi át'éego łeeshtahjį' yadahoosíid doo .
5:12:025:0	Ts'ídá t'ááká daohsą́ą́' lágo , áko niha'áłchíní náás da'ahílchíihii bił nihá yá'át'éehgo áhooníił doo , háálá Bóhólníihii binááł ts'ídá t'áá ákóne' ádanoht'ée doo .
5:12:026:0	T'áá hazhó'ó dadílyingo nidaahjaahii áádóó bee ádee hadadidoohdzihgo náádahołniihii t'éí Bóhólníihii náhodidoo'áłíjį' nidahohjááh .
5:12:027:0	Didlidgo náádahaniihii náádahołniihgo , ííshją́ą́ Bóhólníihii bibikáá' náá'iiniihí bikáa'jį' atsį'ígíí dił t'áá bił náádahołniih doo , áádóó náádahołniihígíí bidił éí Bóhólníihii bibikáá' náá'iiniihí bikáa'jį' yadahoosíid doo , índa atsį'ígíí t'éí nídaohdį́įh doo .
5:12:002:1	Be'elyaii bich'į' nahadlá yóweh ho'doo'niid
5:12:028:0	Díí saad nihich'į' bee haasdzí'ígíí t'áá ałtso hazhó'ó ádaa daohsįįhgo deísółts'ą́ą́' , áko niha'áłchíní náás da'ahílchíihii bił yá'át'éehgo nihá áhooníiłgo ahool'áa doo , háálá Bóhólníihii nihiDiyin God binááł ts'ídá yá'át'éhígi índa t'áá ákóne' ádanoht'ée doo .
5:12:029:0	Bóhólníihii nihiDiyin God nihilą́ąjį' ana'í áyoołdįįłgo bikéyah bighadahididooht'áałgo nihíí' ádadoohłííł áádóó ákwii kéédahoht'į́į doo .
5:12:030:0	Ádaa ádahołyą́ągo nihilą́ąjį' ana'í ábi'disdįįdgo biloh doo biih doohkah da , índa bidiyin dabidi'níinii yich'į' nidahałáhígíí t'áadoo bínda'ídółkidgo kódadohníní , Haadashą' yit'éego díí ana'í danilíinii dabidiyin yá nidaal'a' nít'éé' ? Shí ałdó' ákósht'į́įgo naash'a' doo .
5:12:031:0	Bóhólníihii nihiDiyin God bich'į' t'áadoo ákódaaht'íní , háálá Bóhólníihii bich'į' ts'ídá doo haldinígi ádáát'įįdgo bąą bijoołxáhígíí bidiyin dabidi'níinii yá ádáát'įįd ; jó , biye'ké índa bitsi'ké deidiłidgo bidiyin dabidi'níinii yich'į' náádayiiłniihgo yaa naaskai .
5:12:032:0	Nihich'į' bee haasdzí'ígíí ádaa daahsįįhgo bida'íínóhsin ; doo ła' bíidooh'áał da , doodaii' doo ła' bididooh'áał da .
