5:29:001:1	Mó'ab kéyahgi Bóhólníihii éí Ízrel dine'é yił aha'deet'ą́
5:29:016:0	Jó , díí nihił béédahózin : haash yit'éego Ííjip kéyahdi kééhwiit'į́į́ nít'éé' índa haash yit'éego ał'ąą dine'é bitahgóó hadii'náago bik'ee'ąą ahéédahisooná .
5:29:017:0	Áádóó doo haldin yaa nidaakaii índa bida'alyaii danóoł'į́į́' ; jó , éí tsin , doodaii' tsé , doodaii' béésh łigaii , doodaii' óola yee eda' alyaii ádayiilaago dabitahgóó bich'į' nidahadlá .
5:29:018:0	Áko diné ła'da , doodaii' asdzánída , doodaii' hooghandóó dah ooldahii , doodaii' ła' dine'é díí jį́ Bóhólníihii nihiDiyin God doo yits'áhidookah da biniyé áádóó ał'ąą dine'é bidiyin dabidi'níinii doo yich'į' nidahałáa da doo biniyé , áádóó nihitahdóó ehétł'óól bits'ą́ą́dóó báhádzidgo na'ałtseedii índa dích'íi'ii doo hodooleeł da biniyé .
5:29:019:0	Ákondi éí díí saad bee hóyée'go á ha'iidziihii yidiizts'ą́ą'go éí t'áá bí ádík'ijidlíigo nitsíkeesgo kódidooniił , Hózhǫ́ǫgo naasháa doo ; azhą́ ádík'eh honish'į́įgo yisháał nidi t'áadoo át'éhí da . Díí áhá'nínígíí la' kót'é , Dahoditłé'ígíí éí dahóółtseii t'áá yił yidoołchxǫǫł .
5:29:020:0	Áko ájínínígíí éí Bóhólníihii doo há yóó'iididoo'áał da , nidi Bóhólníihii báháchį'go áádóó łe'nízingo diné yich'į' bił hodoochxih , áádóó hóyée'go á ha'iisdzíi'ii t'áá át'é díí naaltsoos biyi' bee ak'e'ashchínígíí hak'ijį' si'ą́ą doo , índa Bóhólníihii éí yádiłhił biyaagi yízhí bee hwéého'dílzinígíí k'éé'iidoołchxǫǫł .
5:29:021:0	Áádóó Bóhólníihii éí Ízrel dine'é t'áá ałtso bitahdóó ats'áhodoołt'eełgo atíhodoolííł ; éí hóyée'go á ha'iisdzíi'ii t'áá át'é bee aha'deet'áanii naaltsoos bee si'ánígíí bii' díí bee haz'áanii bee ak'e'ashchíinii bik'ehgo ákó'doolííł .
5:29:022:0	Áko niha'áłchíní nihikéé'dóó náás da'ahidoolchíiłii áádóó dé'éyóní kéyah nízaadę́ę́' nidahidookahígíí ádadidooniił : kéyah bikáa'gi naałniih báádahadzidii índa ąąh dahaz'ą́ bik'e'íyée'ii deiníł'į́įgo éí Bóhólníihii t'áá bí kéyah yikáa'jį' kóyiilaii át'é ;
5:29:023:0	kéyah t'áá át'éé nít'éé' bikáá' tsékǫ' áádóó áshįįh índa dook'ą́ąłii doo bikáá' k'i'dólyééł át'éégóó ch'il nidi doo bikáá' hólǫ́ǫ́góó , doodaii' ch'il dootł'izhii nidi doo ła' hanósééł át'éégóó haz'ánígíí deiníł'į́įgo , t'áá Sádam áádóó Gomárah áádóó Ádmah índa Ziibówim kin hadaas'áii t'áá bił adahizdeezk'ą́'ígíí nahalingo Bóhólníihii báhóóchįįdgo áádóó hashké niidzį́į'go é'ésdįįd yę́ęgi áhoot'éego deiníł'į́į doo .
5:29:024:0	Ał'ąą dine'é t'áá ałtso ałdó' nida'ídíłkidgo kódadidooniił , Ha'át'íishą' biniinaa Bóhólníihii éí díí kéyah kóyiilaa ? Ha'át'éegoshą' ayóó át'éego bik'e'íyée'go báhóóchįįd ?
5:29:025:0	Áko diné ła' ádadidooniił , Dabizhé'é yę́ę biBóhólníihii Diyin God yił ahada'deest'áanii yóó'adeideez'ą́ągo biniinaa ákóhóót'įįd ; éí Ííjip kéyahdę́ę́' ch'íbiní'eezh yę́ędą́ą́' yił ahada'deest'ą́ą́ nít'éé' .
5:29:026:0	Jó , diyin dabidi'níinii yikéé' dah dahidiikai áádóó yá chodao'į́įgo yich'į' nidahałá ; éí diyin dabidi'níinii doo yéédahósingóó índa Bóhólníihii doo beidiní'ą́ą́góó ádaat'į́ .
5:29:027:0	Áko Bóhólníihii báhóóchįįdgo díí kéyah yiih hodíínil ; éí kéyahígíí bikáa'gi hóyée'go á ha'iisdzíi'ii t'áá át'é díí naaltsoos biyi' bee ak'e'ashchínígíí yee yiih hodíínil .
5:29:028:0	Áádóó Bóhólníihii báhóóchįįdgo áádóó hashké niidzį́į'go índa ts'ídá ayóó át'éego báháchį'go hakédaayahdóó hahoniiskaadgo náánáła' kéyahgóó ahoniiskaad ; dííshjį́į́góó ákót'é .
5:29:029:0	Nidanil'inii éí Bóhólníihii nihiDiyin God daabí , nidi nihich'į' yit'íní ádaalyaii éí niha'áłchíní bił hool'áágóó danihíí' , áko díí saadígíí t'áá át'é bee haz'áanii bits'ą́ą́dóóígíí bik'eh dahoniil'į́į doo .
