5:14:001:1	Doo da'oodláanii k'ehgo t'áadoo yínííł nídaohdleehí
5:14:018:0	tábąąsdísí bijáás'nézí áádóó tábąąsdísí ał'ąą ádaat'éii áádóó tsé noolch'óshii áádóó jaa'abaní
5:14:019:0	áádóó ch'osh nidaat'a'ii doo nihá yá'ádaat'éeh da , éí doo daadą́ą da .
5:14:020:0	Nidi nidaat'a'ii yá'ádaat'éehii t'áá ałtso daohsą́ .
5:14:003:1	Neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa'jí bee haz'áanii
5:14:021:0	T'áá ha'át'íhída t'áá bíni'ídi daaztsáanii t'áadoo daohsání ; dé'éyóní bił kéédahoht'ínígíí baa dahidoh'aahgo éí deiyą́ą doo , doodaii' dé'éyóní danilíinii bich'į' nidahołniih doo , háálá Bóhólníihii nihiDiyin God bidine'é diyinii danohłį́ . Tł'ízí yázhí bitsį' t'áadoo bimá bibe' bee daałbézhí .
5:14:022:0	T' áádóo nídí nínádanołt'į́hígíí t'áá át'é bits'ą́ą́dóó neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' ninádahidoh'aah ; éí t'áá nináhah bik'eh ákódaaht'į́į doo .
5:14:023:0	Bóhólníihii nihiDiyin God binááł díí nídaahdį́įh doo : éí náhodidoo' áłígi ákwii bízhi' dólzingo haz'ą́ągi tł'oh naadą́ą́' neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' áádóó wáin ániidíii neeznáá daníką́ągo t'ááłá'í siką́ągo áádóó tsin áliv bineest'ą' bik'ah neeznáá daníką́ągo t'ááłá'í siką́ągo índa nihilį́į́' áádóó nihidibé alą́ąjį' nidahaazhchíinii náádahołniihii daahsą́ą doo . Ákódaaht'į́įgo díí bídahooł'aah doo : Bóhólníihii nihiDiyin God t'áá áłahjį' dadíínóhsin doo .
5:14:024:0	Nihighandóó diyingo haz'áníjį' atiinígíí nihá doo deighání dago áádóó baa nídahidoh'aahígíí nidahohjáahgo doo bídanoo ł'ą́ą́góó , doodaii' éí haz'ánígóó nihá aláahgo nízaadgo éí Bóhólníihii Diyin God náhodidoo'áłígi ákwii bízhi' dólzingo haz'áníjį' biyah hóyée'go Bóhólníihii nihiDiyin God nihik'ijisdli'go
5:14:025:0	baa nídahidoh'aahígíí éí béeso bił ałghááda'ayoh'níiłgo ałch'į' bida'astł'ǫ́ǫgo Bóhólníihii nihiDiyin God náhodidoo'áłígóó nídadohkah doo .
5:14:026:0	Áádóó béeso nihaa dahindéhígíí bee nihił bidáádahaníinii nishódahoołt'eeh ; éí béégashii , doodaii' dibé , doodaii' wáin , doodaii' yidlą́ bitsxe'ii éí Bóhólníihii nihiDiyin God binááł niha'áłchíní bił nihił nidahoozhǫǫhgo nídaahdį́įh doo .
5:14:027:0	Líívai dine'é nihił kééhat'ínígíí t'ááká yóó'adadooh'ááł lágo , háálá éí nihíí' dooleełii doo bił ałts'ą́ą́' da'nołk'iiz da .
5:14:028:0	Táá' náhááh góne' nínádanołt'į́įhii t'áá át'é bits'ą́ą́dóó neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' t'áá éí yihahígíí binih nihikin hadaas'áá góne' nooh ná'áchíihgi hasht'e'nidahohnííł .
5:14:029:0	Áko nihíí' dooleełii Líívai dine'é doo bił ałts'ą́ą́' da'nołk'iizii áádóó dé'éyóní áádóó áłchíní bizhé'é ádaadinii índa asdzání bąąh áhásdįįdii nihikintahgi nihił kéédahat'íinii nídaakahgo nihił nída'adį́įhgo hwiih nídaadleeh doo ; ákódaoht'į́įgo Bóhólníihii nihiDiyin God éí naanish baa nidaahkaígíí t'áá ałtso yił nihik'ijidlíi doo .
