5:1:001:1	Bóhólníihii éí Ízrel dine'é Hórebdi yee yá nihoní'áanii Mózes nináyósta'
5:1:016:0	Íídą́ą́' ánihwii'aahii danilíinii ádabidííniid , Nihik'isóó danilíinii bitahgi ahé'éts'ihgo hazhó'ó bá deísółts'ą́ą́' áádóó diné bik'is yił índa ła' dé'éyóní yił ałch'į' saad hółǫ́ǫgo t'áá ákogi át'éego bá hasht'éédaał'į́į doo .
5:1:017:0	Aa hwiinít'į́įgo ánihwiit'aahgi diné doo ła' a'ohgo baa nitsídoohkos da , nidi a'ohgo í'dólzinii , doodaii' aláahgo í'dólzinii t'áá aheełt'éego yínółts'ą́ą́' ; diné ánoolninígíí t'áadoo béédaałdzidí , háálá ánihodiit'aahígíí Diyin God bee bóhólnííh . Nidi ahé'éts'ihígíí nihá nantł'ago shaa didooh'áałgo hazhó'ó baa nídéesht'įįłgo hwíídéests'įįł .
5:1:003:1	Kéídesh-barníyagi naalchi'í dabi'dool'aad
5:1:018:0	Jó , í'doołíłígíí t'áá ałtso nihich'į' bee haasdzíí' .
5:1:019:0	Dził Hóreb hoolyéédóó dah dii'ná yę́ędą́ą́' ts'ídá ayóó át'éego áádóó t'óó báhádzidgo honoojí t'áá át'é dahoołtsą́ ; Bóhólníihii nihiDiyin God ánihidííniidígi át'éego Ámor dine'é bidził ní'áhígóó nii'náago Kéídesh-barníyajį' ninii'ná .
5:1:020:0	Áádóó ánihidííniid , Ámor dine'é bidził daní'áhígóó éí Bóhólníihii nihiDiyin God nihaa hodiní'áníjį' nooná .
5:1:021:0	Jó , Bóhólníihii nihiDiyin God nihilą́ąjį' kéyah nihá hasht'eyiilaago ákóde dohnéehgo nihíí' ádaahłééh ; éí danihizhé'é yę́ę biBóhólníihii Diyin God nihich'į' yee haadzíi'go ání , T'áadoo nihił daayé'í ; t'áadoo nihąąh nidahwiikaadí .
5:1:022:0	Áko t'áá ánółtso shich'į' ninoohkaigo ádashidooniid , Diné ła' nihilą́ąjį' dadiil'aałgo nihá kéyah hadeidoosił , áko áádę́ę́' nákaigo háádóogo ákóde yah adii'néłígíí índa kin hadaas'áá góne' yah ahidii'néłígíí yee nihił nídahodoolnih .
5:1:023:0	Ákóhodoo'niidígíí shił hóóshǫǫdgo nihitahdóó diné naakits'áadah yilt'éego ał'ąą dine'é nohłínígíí nihik'eh nítį́įgo nídiinil .
5:1:024:0	Nít'éé' dziłghą́ą́'góó haaskai , áádóó Éshkol honíteel góyaa yíkaigo kéyah hadeisid .
5:1:025:0	Áádóó éí kéyahdę́ę́' aneest'ą' ła' nihá nídeizhjaa' áádóó saad yee nihił nídahoolne'go ádaaní , Kéyah yá'áhoot'ééh léi'gi Bóhólníihii nihiDiyin God nihaa hodee'aah lá .
5:1:026:0	Azhą́ ákót'ée nidi t'áadoo ákóde yah adahisoonáa da ; Bóhólníihii nihiDiyin God yee haadzíi'ii bich'į' nídadoołtee' .
5:1:027:0	Nihiníbaal góne' saad dahonohłǫ́ǫgo ádadooniid , Bóhólníihii nihijoołáago biniinaa Ííjip kéyahdę́ę́' hanihíí'eezhgo Ámor dine'é yílák'ee nihididoo'áałgo ádanihidoołdįįł .
5:1:028:0	Háajigo yee' dah didii'nééł ? Nihik'isóó yee' t'óó nihąąh nidahwiiskaadgo kódaaní , Nihiláahgo diné ayóida ádaat'é áádóó ayóó ádaníłnééz , áádóó ayóó át'éego kin hadaas'á ; tsé ditą́ągo binaa ahéédaastł'inígíí k'asdą́ą́' yá bidadiitł'in , áádóó yé'iitsoh bada'áłchíní áadi nidaakaigo hadasiilzid .
5:1:029:0	Áádóó ánihidishní , T'áadoo bik'ee nihił daayé'í índa t'áadoo béédaałdzidí .
5:1:030:0	Bóhólníihii nihiDiyin God nihilą́ąjį' hooleełii nihá ana'ał'į́į doo ; jó , nihinááł Ííjip kéyahgi nihá áát'įįdígi át'éego nihá ááníił doo .
5:1:031:0	Áádóó honoojíigi t'áá ałtsogóó naanááh'néełgo Bóhólníihii nihiDiyin God kojį' anihíí'eezhjį' diné biye' yaa áhályánígi át'éego náás nihiníjaa'go baa ákodanohsin .
5:1:032:0	Azhą́ díigi ádzaa nidi Bóhólníihii nihiDiyin God doo deinohdlą́ą da nít'éé' .
5:1:004:1	Diyin God éí Ízrel dine'é atíyiilaa
5:1:033:0	Wohnééłgóó nihá hojoo'į́įgo nihiníbaal ninádaahnił doo biniyé tł'ée'go kǫ' yee nihilą́ąjį' hooleełgo áádóó jį́įgo dah náádidoohnééłgóó k'os yee nihilą́ąjį' hooleełgo nihiní'eezh .
5:1:034:0	Áko Bóhólníihii éí nihizaad yidiizts'ą́ą'go yik'ee báhóóchįįd áádóó ádee hadoodzíi'go ání ,
5:1:035:0	T'áá aaníí díí doo yá'át'ééhgóó ahijoolchíiłii doo ła' kéyah yá'áhoot'éehgi hwiizdoołtséeł da ; éí danihizhé'é yę́ę baa dideesh'áałgo bich'į' bee ádee hadeesdzíí' nít'éé' .
5:1:036:0	T'áá hazhó'ó Jiifáneh biye' Kéíleb joolyéii éí t'éí hwiizdoołtsééł , áádóó bí t'éiyá kéyah yikáá' tádííyáhígíí bąą ba'áłchíní t'áá bił kéyah baa dideesh'ááł , háálá ts'ídá t'áá dzizį́į́ nít'éé' Bóhólníihii bikéé' joogááł nít'éé' .
5:1:037:0	Áádóó ałdó' nihiniinaa Bóhólníihii shich'į' báhóóchįįdgo áshíłní , Ni ałdó' kéyah doo biih díínáał da .
5:1:038:0	Nidi Nan biye' Jáshowa wolyéii nihiląąjį' sizínígíí éí díí kéyah yiih doogááł ; éí chánah ádeínóhsin ; jó , éí kéyahígíí Ízrel dine'é bíí' dooleełgo íidoolííł .
5:1:039:0	Áádóó ałdó' niha'áłchíní yázhí , Yisnááh dadooleeł , dadooniid yę́ę , éí íídą́ą́' doo yá'át'éehii índa yá'át'éehii doo yaa ákodanízinii , éí kéyah yiih dahidoonééł áádóó baa dideesh'áałgo bíí' dadooleeł .
5:1:005:1	Hórmahgi Ízrel dine'é bik'eh hodeesdlį́į́'
5:1:040:0	Nidi nihí t'ą́ą́' háádoohnée łgo Tónteel Łichíí' bich'į'go ahééhonít'i'jí honoojí góne' adoohnééł .
5:1:041:0	Áádóó shich'į' hadasoohdzíi'go ádadooniid , Nihí Bóhólníihii bich'į' ádił da'siilziih . Ákóde hidiikahgo anaa' ádahodiilnííł ; Bóhólníihii nihiDiyin God yee nihich'į' haadzí'ígíí t'áá ałtso bik'ehgo ádadii'nííł . T'ááłá'í nootínígo bee na'abaahii bee áká daałzisgo t'áadoo nitsahadáhí dził daní'áágóó hadahishoojéé' .
5:1:042:0	Nít'éé' Bóhólníihii áshidííniid , Kóbididííniił , T'ááká ákóde dadohkááh lágo áádóó t'ááká anaa' ádahohłééh lágo , háálá doo nihitah honishłǫ́ǫ da ; t'áá nihí ákǫ́ǫ́ dasidoohkaigo nihi'ana'í nidanihidoołtsił .
5:1:043:0	Áko nihich'į' haasdzíi' nidi t'áadoo dashisidoots'ą́ą' da , ákondi Bóhólníihii yee hahaasdzí'ígíí bich'į' nidasoołtee'go t'áadoo tsíhodeeskézí dził ní'áágóó hahishoojéé' .
5:1:044:0	Áádóó dziłghą́ą'di Ámor dine'é kéédahat'ínígi tsés'ná ádaat'ínígi át'éego nihich'į' dah diijéé' índa Síyer kin haal'áádóó Hórmah hoolyéejį' danihiníłtseed .
5:1:045:0	Áádóó t'ą́ą́' nánoohkaigo Bóhólníihii binááł daahcha nít'éé' ; nidi Bóhólníihii t'áadoo nihidiizts'ą́ą' da .
5:1:046:0	Áko íídą́ą́' Kéídeshgi kéédahoht'į́įgo lą'í danihiiską́ ; éí yoołkáłígíí bik'ehgo áadi kéédahoht'į́į́ nít'éé' .
